id_season,team_id,season_name,country,championship_name,team_code,team_logo,attacking_overall__played,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_set_pieces__goals,attacking_set_pieces__shots,attacking_set_pieces__xg,attacking_set_pieces__goal_pct,attacking_set_pieces__shot_pct,attacking_set_pieces__xg_pct,attacking_misc__touches_in_box,attacking_misc__hit_post,attacking_misc__offsides,attacking_misc__penalties__total,attacking_misc__penalties__goals,attacking_misc__free_kicks__total,attacking_misc__free_kicks__goals,attacking_misc__headers__total,attacking_misc__headers__goals,attacking_misc__fast_breaks__total,attacking_misc__fast_breaks__goals,passing__avg_poss,passing__all_passes__pct,passing__final_third_passes__successful,passing__final_third_passes__pct,passing__pass_direction__fwd,passing__pass_direction__bwd,passing__pass_direction__left,passing__pass_direction__right,passing__crosses__total,passing__crosses__successful,passing__crosses__pct,passing__through_balls,pressing__pressed_seqs,pressing__ppda,pressing__start_distance_m,pressing__total,pressing__high_turnovers__shot_ending,pressing__high_turnovers__goal_ending,pressing__high_turnovers__pct_end_in_shot,sequences__ten_plus_passes,sequences__direct_speed,sequences__passes_per_seq,sequences__sequence_time,sequences__build_ups__total,sequences__build_ups__goals,sequences__direct_attacks__total,sequences__direct_attacks__goals,misc.__subs_used,misc.__subs_goals,misc.__errors_lead_to_shot,misc.__errors_lead_to_goal,misc.__fouled,misc.__yellows,misc.__reds,misc.__pens_won,misc.__fouls,misc.__opp_yellows,misc.__opp_reds,misc.__pens_conceded,defending_overall__goals,defending_overall__xg,defending_overall__goals_vs_xg,defending_overall__shots,defending_overall__sot,defending_overall__conv_pct,defending_overall__xg_per_shot,defending_overall__shots_in_box_pct,defending_overall__goals_in_box_pct,defending_set_pieces__goals,defending_set_pieces__shots,defending_set_pieces__xg,defending_set_pieces__goal_pct,defending_set_pieces__shot_pct,defending_set_pieces__xg_pct,defending_defensive_actions__avg_poss,defending_defensive_actions__tackles,defending_defensive_actions__interceptions,defending_defensive_actions__recoveries,defending_defensive_actions__blocks,defending_defensive_actions__clearances,defending_defensive_actions__ground_duels_won,defending_defensive_actions__aerial_duels_won,defending_misc__touches_in_box,defending_misc__hit_post,defending_misc__offsides,defending_misc__penalties__total,defending_misc__penalties__goals,defending_misc__free_kicks__total,defending_misc__free_kicks__goals,defending_misc__headers__total,defending_misc__headers__goals,defending_misc__fast_breaks__total,defending_misc__fast_breaks__goals,% Estimated,Annual Wages,Weekly Wages
1,429,2025/26,France,Ligue 1,Lille,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=be2k34rut1lz79jxenabttqlc,6,2.17,2.27,-0.1,16.5,4.83,13.13,0.14,0.17,5.0,0.3,7.69,30.3,13.25,33.17,0.33,1.5,0.33,0.17,0.33,0.0,2.33,0.17,1.33,0.17,58.3,84.7,100.17,72.8,31.1,15.5,26.2,27.3,14.67,2.67,18.2,2.33,13.67,8.6,46.5,6.83,0.5,0.17,7.32,12.0,1.81,3.93,10.59,2.33,0.17,1.83,0.0,4.33,0.83,1.33,0.33,14.17,2.33,0.0,0.33,12.67,2.67,0.17,0.17,1.5,1.61,-0.11,9.83,3.33,15.25,0.16,69.49,100.0,0.5,2.5,0.31,33.33,25.42,19.19,58.3,14,10,45,2,19,50.0,58.0,16.17,0.17,1.83,0.17,0.0,0.17,0.0,1.5,0.33,1.0,0.0,96%,21480000.0,413077.0
1,142,2025/26,France,Ligue 1,Lens,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3xedluek08t2ka7oypwuullcn,6,1.33,2.03,-0.7,15.5,4.83,8.6,0.13,0.33,4.67,0.51,25.0,30.11,25.13,30.0,0.17,1.83,0.33,0.33,0.5,0.0,2.5,0.0,1.5,0.0,44.8,82.4,80.67,74.6,32.5,14.8,26.3,26.4,14.0,3.0,21.4,1.17,11.33,12.9,42.6,8.0,1.33,0.17,16.67,7.17,2.18,3.16,8.06,1.0,0.17,2.17,0.0,4.33,0.17,0.5,0.17,13.17,1.67,0.17,0.33,11.5,2.67,0.17,0.0,0.83,1.42,-0.59,13.83,3.67,6.02,0.1,66.27,60.0,0.17,4.0,0.2,20.0,28.92,14.12,44.8,20,12,53,5,24,54.5,45.9,28.0,0.5,0.83,0.0,0.0,0.33,0.0,1.83,0.0,0.83,0.0,100%,10220000.0,196538.0
1,146,2025/26,France,Ligue 1,Monaco,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4t4hod56fsj7utpjdor8so5q6,6,2.33,1.8,0.54,10.83,3.17,21.54,0.17,0.17,2.83,0.23,7.14,26.15,12.48,24.33,0.33,2.33,0.17,0.17,0.5,0.0,2.5,0.67,0.83,0.17,55.0,85.7,97.83,72.3,28.4,16.4,28.4,26.8,13.5,2.83,21.0,1.17,13.83,8.6,45.8,10.33,1.5,0.17,14.52,16.0,1.79,4.05,10.56,2.67,0.0,0.67,0.17,4.83,1.0,0.67,0.0,9.5,2.0,0.17,0.17,12.67,1.0,0.33,0.5,1.67,1.66,0.01,12.5,3.67,13.33,0.13,62.67,90.0,0.17,3.33,0.25,10.0,26.67,14.89,55.0,17,10,50,4,19,44.2,50.4,22.0,0.17,0.83,0.5,0.33,0.17,0.0,1.0,0.0,0.67,0.0,76%,45090000.0,867115.0
1,144,2025/26,France,Ligue 1,Marseille,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=27xvwccz8kpmqsefjv2b2sc0o,6,2.0,1.79,0.21,13.33,4.83,15.0,0.13,0.5,3.83,0.35,25.0,28.75,19.39,25.17,0.83,1.0,0.5,0.33,0.17,0.0,3.0,0.17,0.83,0.0,56.5,89.0,138.83,81.0,28.2,14.9,28.1,28.8,13.17,2.67,20.3,2.17,11.67,12.7,45.8,9.0,2.5,0.33,27.78,16.17,1.55,5.08,13.55,4.83,0.17,2.33,0.0,4.67,0.33,0.67,0.0,10.0,2.67,0.17,0.5,12.67,1.5,0.33,0.0,0.83,1.18,-0.35,10.5,3.67,7.94,0.11,63.49,100.0,0.0,2.33,0.13,0.0,22.22,11.1,56.5,14,5,39,3,18,49.3,58.3,15.5,0.33,1.67,0.0,0.0,0.67,0.0,1.5,0.0,0.83,0.0,83%,65120000.0,1252308.0
1,143,2025/26,France,Ligue 1,Lyon,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=121le8unjfzug3iu9pgkqa1c7,6,1.33,1.76,-0.43,11.83,4.83,11.27,0.15,0.33,3.0,0.3,25.0,25.35,16.96,22.83,0.5,0.83,0.0,0.0,0.33,0.0,2.67,0.33,0.83,0.0,53.2,86.8,78.5,74.5,30.0,15.5,28.2,26.4,11.33,2.5,22.1,2.17,8.83,10.6,40.1,3.83,1.0,0.0,26.09,12.33,1.67,4.37,12.14,2.67,0.0,1.0,0.0,3.83,0.33,0.83,0.0,13.33,2.17,0.17,0.0,16.33,2.33,0.17,0.0,0.5,1.26,-0.76,13.5,3.17,3.7,0.09,62.96,100.0,0.17,3.17,0.33,33.33,23.46,26.37,53.2,14,8,39,6,24,48.8,52.9,26.17,0.0,2.33,0.0,0.0,0.33,0.0,1.67,0.17,0.33,0.0,92%,26140000.0,502692.0
1,862,2025/26,France,Ligue 1,Brest,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3adj8hkws0z1al232bg2h6tk0,6,1.83,1.7,0.13,14.0,4.17,13.1,0.12,0.33,5.83,0.37,18.18,41.67,21.63,19.0,0.33,1.17,0.33,0.33,0.33,0.0,3.5,0.0,0.67,0.17,43.0,76.7,55.83,58.4,35.9,16.8,22.5,24.8,9.17,2.83,30.9,1.67,10.83,12.1,42.0,8.5,1.17,0.17,13.72,6.17,1.54,2.93,8.18,0.5,0.0,0.67,0.17,3.83,0.17,0.5,0.5,10.0,1.33,0.17,0.33,11.33,1.5,0.17,0.17,1.83,1.88,-0.04,14.17,4.83,12.94,0.13,78.82,100.0,0.33,4.83,0.41,18.18,34.12,21.73,43.0,20,9,51,5,25,48.4,55.2,28.0,0.17,1.83,0.17,0.17,0.33,0.0,3.5,0.0,0.5,0.0,100%,11490000.0,220962.0
1,2338,2025/26,France,Ligue 1,Paris FC,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=8v00fx2zwhiwm05tqqkt122p5,6,1.67,1.7,-0.03,14.5,5.5,11.49,0.12,0.0,2.33,0.16,0.0,16.09,9.56,24.5,0.33,1.33,0.33,0.33,0.17,0.0,1.83,0.17,1.17,0.17,54.9,87.7,89.0,75.8,30.8,16.8,25.8,26.6,13.67,2.67,19.5,1.83,10.67,17.6,42.7,6.17,1.83,0.0,29.73,14.17,1.72,4.53,12.11,3.0,0.33,1.5,0.17,5.0,0.5,1.0,0.83,10.17,1.17,0.17,0.33,9.67,1.67,0.33,0.5,2.17,1.92,0.24,12.5,4.67,17.33,0.15,70.67,92.31,0.5,4.5,0.48,23.08,36.0,24.79,54.9,14,7,45,4,24,51.1,43.5,22.5,0.17,1.17,0.5,0.33,0.33,0.0,2.0,0.17,0.5,0.17,100%,7720000.0,148462.0
1,149,2025/26,France,Ligue 1,Paris S-G,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=2b3mar72yy8d6uvat1ka6tn3r,6,2.0,1.57,0.43,15.5,5.83,12.9,0.1,0.83,3.33,0.35,41.67,21.51,22.38,31.83,0.5,0.67,0.5,0.33,1.0,0.0,1.67,0.17,0.33,0.0,72.1,92.3,212.67,86.0,24.5,16.3,29.5,29.8,9.17,1.67,18.2,1.83,16.33,8.3,48.7,12.83,2.5,0.17,19.48,28.5,1.44,6.53,18.35,6.0,0.0,1.5,0.0,4.33,0.0,0.33,0.17,8.83,0.67,0.0,0.5,8.5,1.5,0.0,0.17,0.67,0.94,-0.27,9.0,2.17,7.41,0.1,62.96,75.0,0.17,3.0,0.24,25.0,33.33,25.89,72.1,17,6,52,3,13,47.1,47.7,15.5,0.33,1.33,0.17,0.0,0.17,0.0,1.33,0.0,0.83,0.0,42%,157940000.0,3037308.0
1,427,2025/26,France,Ligue 1,Toulouse,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4aghw9tyi8ba3ju1ne83gmf9w,6,1.5,1.56,-0.06,12.0,4.17,12.5,0.13,0.17,4.0,0.27,11.11,33.33,17.26,26.17,0.33,1.33,0.5,0.17,0.17,0.0,3.67,0.17,1.17,0.0,41.8,82.1,60.83,65.0,34.3,13.0,26.3,26.4,11.0,2.33,21.2,2.0,9.83,13.9,43.2,7.67,0.67,0.0,8.7,6.83,2.0,3.06,8.58,1.0,0.0,1.67,0.17,4.67,0.33,0.33,0.0,10.67,2.67,0.17,0.5,12.5,1.5,0.17,0.5,1.83,1.46,0.37,13.33,3.33,13.75,0.11,61.25,90.91,0.5,4.83,0.34,27.27,36.25,22.94,41.8,18,8,48,6,29,49.7,54.3,25.67,0.17,0.67,0.5,0.5,0.5,0.0,3.0,0.17,0.83,0.0,100%,8220000.0,158077.0
1,694,2025/26,France,Ligue 1,Lorient,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=70nn27vgkt6l48lvv5e66q7ww,6,1.5,1.54,-0.04,12.17,4.17,12.33,0.13,0.5,3.83,0.27,33.33,31.51,17.62,23.0,0.17,1.5,0.17,0.0,0.33,0.0,1.83,0.17,1.0,0.0,43.8,85.0,81.0,75.3,32.6,16.9,24.6,26.0,11.0,1.67,15.2,1.67,7.0,17.9,40.6,5.67,0.83,0.17,14.71,8.5,1.8,3.7,10.14,2.33,0.0,1.17,0.0,4.5,0.67,0.5,0.17,14.17,3.5,0.17,0.17,11.5,2.17,0.5,0.67,2.33,1.78,0.56,10.67,4.5,21.88,0.17,64.06,71.43,0.5,3.33,0.43,21.43,31.25,24.15,43.8,13,10,43,3,24,52.1,39.7,20.5,0.67,1.0,0.67,0.33,0.0,0.0,2.67,0.33,0.83,0.17,100%,10020000.0,192692.0
