Competition,Squad,#_Pl__std,Age__std,Poss__std,Playing_Time_MP__std,Playing_Time_Starts__std,Playing_Time_Min__std,Playing_Time_90s__std,Performance_Gls__std,Performance_Ast__std,Performance_G+A__std,Performance_G_PK__std,Performance_PK__std,Performance_PKatt__std,Performance_CrdY__std,Performance_CrdR__std,Expected_xG__std,Expected_npxG__std,Expected_xAG__std,Expected_npxG+xAG__std,Progression_PrgC__std,Progression_PrgP__std,Per_90_Minutes_Gls__std,Per_90_Minutes_Ast__std,Per_90_Minutes_G+A__std,Per_90_Minutes_G_PK__std,Per_90_Minutes_G+A_PK__std,Per_90_Minutes_xG__std,Per_90_Minutes_xAG__std,Per_90_Minutes_xG+xAG__std,Per_90_Minutes_npxG__std,Per_90_Minutes_npxG+xAG__std,#_Pl__poss,Poss__poss,90s__poss,Touches_Touches__poss,Touches_Def_Pen__poss,Touches_Def_3rd__poss,Touches_Mid_3rd__poss,Touches_Att_3rd__poss,Touches_Att_Pen__poss,Touches_Live__poss,Take_Ons_Att__poss,Take_Ons_Succ__poss,Take_Ons_Succ%__poss,Take_Ons_Tkld__poss,Take_Ons_Tkld%__poss,Carries_Carries__poss,Carries_TotDist__poss,Carries_PrgDist__poss,Carries_PrgC__poss,Carries_1/3__poss,Carries_CPA__poss,Carries_Mis__poss,Carries_Dis__poss,Receiving_Rec__poss,Receiving_PrgR__poss,#_Pl__keeper,Playing_Time_MP__keeper,Playing_Time_Starts__keeper,Playing_Time_Min__keeper,Playing_Time_90s__keeper,Performance_GA__keeper,Performance_GA90__keeper,Performance_SoTA__keeper,Performance_Saves__keeper,Performance_Save%__keeper,Performance_W__keeper,Performance_D__keeper,Performance_L__keeper,Performance_CS__keeper,Performance_CS%__keeper,Penalty_Kicks_PKatt__keeper,Penalty_Kicks_PKA__keeper,Penalty_Kicks_PKsv__keeper,Penalty_Kicks_PKm__keeper,Penalty_Kicks_Save%__keeper,#_Pl__ptime,Age__ptime,Playing_Time_MP__ptime,Playing_Time_Min__ptime,Playing_Time_Mn/MP__ptime,Playing_Time_Min%__ptime,Playing_Time_90s__ptime,Starts_Starts__ptime,Starts_Mn/Start__ptime,Starts_Compl__ptime,Subs_Subs__ptime,Subs_Mn/Sub__ptime,Subs_unSub__ptime,Team_Success_PPM__ptime,Team_Success_onG__ptime,Team_Success_onGA__ptime,Team_Success_+/___ptime,Team_Success_+/_90__ptime,Team_Success_(xG)_onxG__ptime,Team_Success_(xG)_onxGA__ptime,Team_Success_(xG)_xG+/___ptime,Team_Success_(xG)_xG+/_90__ptime,#_Pl__shoot,90s__shoot,Standard_Gls__shoot,Standard_Sh__shoot,Standard_SoT__shoot,Standard_SoT%__shoot,Standard_Sh/90__shoot,Standard_SoT/90__shoot,Standard_G/Sh__shoot,Standard_G/SoT__shoot,Standard_Dist__shoot,Standard_FK__shoot,Standard_PK__shoot,Standard_PKatt__shoot,Expected_xG__shoot,Expected_npxG__shoot,Expected_npxG/Sh__shoot,Expected_G_xG__shoot,Expected_np:G_xG__shoot,#_Pl__misc,90s__misc,Performance_CrdY__misc,Performance_CrdR__misc,Performance_2CrdY__misc,Performance_Fls__misc,Performance_Fld__misc,Performance_Off__misc,Performance_Crs__misc,Performance_Int__misc,Performance_TklW__misc,Performance_PKwon__misc,Performance_PKcon__misc,Performance_OG__misc,Performance_Recov__misc,Aerial_Duels_Won__misc,Aerial_Duels_Lost__misc,Aerial_Duels_Won%__misc,#_Pl__pass,90s__pass,Total_Cmp__pass,Total_Att__pass,Total_Cmp%__pass,Total_TotDist__pass,Total_PrgDist__pass,Short_Cmp__pass,Short_Att__pass,Short_Cmp%__pass,Medium_Cmp__pass,Medium_Att__pass,Medium_Cmp%__pass,Long_Cmp__pass,Long_Att__pass,Long_Cmp%__pass,Ast__pass,xAG__pass,Expected_xA__pass,Expected_A_xAG__pass,KP__pass,1/3__pass,PPA__pass,CrsPA__pass,PrgP__pass,#_Pl__gca,90s__gca,SCA_SCA__gca,SCA_SCA90__gca,SCA_Types_PassLive__gca,SCA_Types_PassDead__gca,SCA_Types_TO__gca,SCA_Types_Sh__gca,SCA_Types_Fld__gca,SCA_Types_Def__gca,GCA_GCA__gca,GCA_GCA90__gca,GCA_Types_PassLive__gca,GCA_Types_PassDead__gca,GCA_Types_TO__gca,GCA_Types_Sh__gca,GCA_Types_Fld__gca,GCA_Types_Def__gca,#_Pl__def,90s__def,Tackles_Tkl__def,Tackles_TklW__def,Tackles_Def_3rd__def,Tackles_Mid_3rd__def,Tackles_Att_3rd__def,Challenges_Tkl__def,Challenges_Att__def,Challenges_Tkl%__def,Challenges_Lost__def,Blocks_Blocks__def,Blocks_Sh__def,Blocks_Pass__def,Int__def,Tkl+Int__def,Clr__def,Err__def,Weekly Wages,Annual Wages,% Estimated
Premier League,Arsenal,21,25.9,54.6,5,55,450,5.0,10,7,17,9,1,1,8,0,7.1,6.3,3.7,10.1,117,194,2.0,1.4,3.4,1.8,3.2,1.43,0.75,2.17,1.27,2.01,21,54.6,5.0,3108,288,899,1410,832,150,3107,100,41,41.0,48,48.0,1773,10404,5500,117,75,31,84,28,2082,190,1,5,5,450,5.0,2,0.4,15,13,86.7,3,1,1,3,60.0,0,0,0,0,,21,25.9,5,450,90,100,5.0,55,78,31,24,28,21,2.0,10,2,8,1.6,7.1,3.3,3.8,0.77,21,5.0,10,65,16,24.6,13.0,3.2,0.14,0.56,15.4,2,1,1,7.1,6.3,0.1,2.9,2.7,21,5.0,8,0,0,56,49,8,99,30,48,1,0,0,195,60,59,50.4,21,5.0,2122,2545,83.4,38329,12017,904,1002,90.2,999,1116,89.5,188,329,57.1,7,3.7,4.5,3.3,42,148,35,4,194,21,5.0,111,22.2,75,9,9,11,6,1,19,3.8,11,1,3,2,1,1,21,5.0,77,48,34,29,14,33,68,48.5,35,59,17,42,30,107,90,1,3324132.0,172854883.0,54%
Premier League,Aston Villa,22,28.5,59.6,5,55,450,5.0,1,1,2,1,0,0,9,1,3.7,3.7,3.0,6.7,80,213,0.2,0.2,0.4,0.2,0.4,0.74,0.6,1.34,0.74,1.34,22,59.6,5.0,3095,337,867,1387,865,116,3095,90,26,28.9,51,56.7,1932,9755,4825,80,56,16,63,56,2079,209,2,5,5,450,5.0,5,1.0,15,10,73.3,0,3,2,2,40.0,1,1,0,0,0.0,22,28.5,5,450,90,100,5.0,55,82,35,20,21,25,0.6,1,5,-4,-0.8,3.7,8.3,-4.6,-0.92,22,5.0,1,52,12,23.1,10.4,2.4,0.02,0.08,18.4,1,0,0,3.7,3.7,0.07,-2.7,-2.7,22,5.0,9,1,0,52,64,7,105,29,40,0,1,0,185,67,78,46.2,22,5.0,2128,2583,82.4,37102,11826,984,1072,91.8,913,1033,88.4,193,360,53.6,1,3.0,3.7,-2.0,36,198,43,11,213,22,5.0,95,19.0,79,7,1,4,3,1,2,0.4,2,0,0,0,0,0,22,5.0,63,40,29,27,7,22,51,43.1,29,52,24,28,29,92,101,1,2384073.0,123971811.0,85%
Premier League,Bournemouth,22,26.0,48.6,5,55,450,5.0,6,5,11,5,1,1,14,0,6.4,5.6,4.7,10.3,71,168,1.2,1.0,2.2,1.0,2.0,1.28,0.94,2.23,1.13,2.07,22,48.6,5.0,2813,279,884,1246,718,126,2812,107,38,35.5,50,46.7,1407,7070,3777,71,55,22,72,42,1607,167,1,5,5,450,5.0,5,1.0,15,10,66.7,3,1,1,3,60.0,0,0,0,0,,22,26.0,5,450,90,100,5.0,55,83,32,23,18,22,2.0,6,5,1,0.2,6.4,3.7,2.7,0.55,22,5.0,6,67,19,28.4,13.4,3.8,0.07,0.26,18.2,7,1,1,6.4,5.6,0.09,-0.4,-0.6,22,5.0,14,0,0,59,57,11,98,45,56,1,0,0,228,76,96,44.2,22,5.0,1618,2155,75.1,29088,10485,699,792,88.3,707,837,84.5,172,398,43.2,5,4.7,3.8,0.3,49,144,42,13,168,22,5.0,123,24.6,90,8,6,6,8,5,11,2.2,8,0,1,0,1,1,22,5.0,93,56,37,42,14,45,90,50.0,45,54,7,47,45,138,172,1,951078.0,49456037.0,90%
Premier League,Brentford,20,25.2,39.6,5,55,450,5.0,6,3,9,5,1,2,9,0,5.8,4.3,3.5,7.8,67,111,1.2,0.6,1.8,1.0,1.6,1.16,0.71,1.87,0.86,1.57,20,39.6,5.0,2384,364,1003,953,457,91,2382,94,38,40.4,46,48.9,1142,6347,3212,67,44,24,76,42,1297,110,1,5,5,450,5.0,10,2.0,19,10,52.6,1,1,3,1,20.0,1,1,0,0,0.0,20,25.2,5,450,90,100,5.0,55,84,33,22,15,23,0.8,6,10,-4,-0.8,5.8,6.7,-0.9,-0.19,20,5.0,6,39,14,35.9,7.8,2.8,0.13,0.36,13.8,0,1,2,5.8,4.3,0.12,0.2,0.7,20,5.0,9,0,0,64,43,6,82,31,44,1,1,1,183,71,87,44.9,20,5.0,1313,1759,74.6,24913,9852,523,604,86.6,591,713,82.9,163,347,47.0,3,3.5,2.6,-0.5,27,91,20,8,111,20,5.0,62,12.4,39,11,5,5,2,0,8,1.6,5,2,0,1,0,0,20,5.0,87,44,37,36,14,35,68,51.5,33,68,25,43,31,118,158,2,800297.0,41615446.0,96%
Premier League,Brighton,20,26.3,45.8,5,55,450,5.0,6,3,9,4,2,3,13,0,8.0,5.7,4.7,10.4,68,141,1.2,0.6,1.8,0.8,1.4,1.6,0.94,2.54,1.15,2.09,20,45.8,5.0,2672,354,1028,1122,552,99,2669,83,36,43.4,37,44.6,1547,7815,4055,68,39,29,90,52,1637,140,1,5,5,450,5.0,8,1.6,16,9,56.3,1,2,2,0,0.0,1,1,0,0,0.0,20,26.3,5,450,90,100,5.0,55,78,31,24,26,21,1.0,6,8,-2,-0.4,8.0,6.7,1.3,0.26,20,5.0,6,50,18,36.0,10.0,3.6,0.08,0.22,19.5,1,2,3,8.0,5.7,0.12,-2.0,-1.7,20,5.0,13,0,0,67,63,10,55,33,63,1,1,1,207,60,82,42.3,20,5.0,1653,2081,79.4,29379,10801,735,815,90.2,720,830,86.7,150,312,48.1,3,4.7,2.9,-1.7,39,127,27,7,141,20,5.0,91,18.2,63,6,10,5,4,3,9,1.8,5,0,2,1,1,0,20,5.0,98,63,49,35,14,48,95,50.5,47,58,9,49,33,131,142,1,1093159.0,56844285.0,94%
Premier League,Burnley,19,27.4,34.2,5,55,450,5.0,5,4,9,5,0,0,8,1,4.1,4.1,3.3,7.4,41,122,1.0,0.8,1.8,1.0,1.8,0.82,0.66,1.48,0.82,1.48,19,34.2,5.0,2305,375,871,947,509,79,2305,58,26,44.8,25,43.1,1050,4588,2504,41,25,12,58,42,1186,119,1,5,5,450,5.0,8,1.6,25,18,76.0,1,1,3,1,20.0,2,2,0,0,0.0,19,27.4,5,450,90,100,5.0,55,84,34,20,15,25,0.8,5,8,-3,-0.6,4.1,10.3,-6.2,-1.24,19,5.0,5,42,14,33.3,8.4,2.8,0.12,0.36,17.1,3,0,0,4.1,4.1,0.1,0.9,0.9,19,5.0,8,1,1,47,45,9,67,50,47,0,2,1,163,83,93,47.2,19,5.0,1193,1693,70.5,20638,8199,596,684,87.1,433,558,77.6,122,326,37.4,4,3.3,2.8,0.7,32,93,26,11,122,19,5.0,70,14.0,46,9,3,5,7,0,8,1.6,5,0,1,2,0,0,19,5.0,75,47,43,24,8,30,64,46.9,34,71,31,40,50,125,178,0,612401.0,31844864.0,100%
Premier League,Chelsea,22,24.5,61.4,5,55,450,5.0,10,7,17,9,1,1,12,1,8.1,7.3,5.9,13.2,100,214,2.0,1.4,3.4,1.8,3.2,1.62,1.19,2.81,1.46,2.65,22,61.4,5.0,3511,296,968,1810,758,127,3510,94,36,38.3,43,45.7,2078,10064,5339,100,47,28,76,51,2528,213,2,5,5,448,5.0,5,1.0,17,12,70.6,2,2,1,2,40.0,0,0,0,0,,22,24.5,5,450,90,100,5.0,55,74,32,23,34,22,1.6,10,5,5,1.0,8.1,5.5,2.6,0.52,22,5.0,10,64,21,32.8,12.8,4.2,0.14,0.43,16.1,2,1,1,8.1,7.3,0.12,1.9,1.7,22,5.0,12,1,0,54,59,11,89,54,50,0,0,0,182,79,61,56.4,22,5.0,2547,2969,85.8,43125,12875,1201,1297,92.6,1136,1249,91.0,171,318,53.8,7,5.9,5.0,1.1,45,210,39,5,214,22,5.0,113,22.6,83,9,6,10,2,3,18,3.6,12,3,1,2,0,0,22,5.0,82,50,36,36,10,41,70,58.6,29,37,14,23,54,136,120,4,3285857.0,170864578.0,58%
Premier League,Crystal Palace,20,26.8,42.2,5,55,450,5.0,6,2,8,5,1,1,13,0,8.3,7.5,5.6,13.0,53,149,1.2,0.4,1.6,1.0,1.4,1.66,1.11,2.77,1.5,2.61,20,42.2,5.0,2575,355,991,1097,514,91,2574,48,21,43.8,17,35.4,1345,6414,3574,53,42,7,65,41,1566,147,1,5,5,450,5.0,2,0.4,10,8,80.0,2,3,0,3,60.0,0,0,0,0,,20,26.8,5,450,90,100,5.0,55,86,41,14,18,31,1.8,6,2,4,0.8,8.3,4.6,3.7,0.73,20,5.0,6,56,20,35.7,11.2,4.0,0.09,0.25,17.1,0,1,1,8.3,7.5,0.14,-2.3,-2.5,20,5.0,13,0,0,52,50,6,78,40,62,1,0,0,178,82,78,51.3,20,5.0,1575,2004,78.6,29193,10701,644,726,88.7,733,843,87.0,168,336,50.0,2,5.6,4.5,-3.6,37,103,33,11,149,20,5.0,98,19.6,68,15,2,8,5,0,11,2.2,8,1,0,1,1,0,20,5.0,94,62,59,26,9,46,96,47.9,50,54,15,39,40,134,172,3,1261338.0,65589561.0,94%
Premier League,Everton,19,28.5,44.4,5,55,450,5.0,6,6,12,6,0,0,13,0,7.0,7.0,6.0,13.0,72,161,1.2,1.2,2.4,1.2,2.4,1.4,1.21,2.6,1.4,2.6,19,44.4,5.0,2639,300,916,1041,709,117,2639,112,43,38.4,43,38.4,1385,6834,3105,72,55,26,80,46,1525,159,1,5,5,450,5.0,5,1.0,15,9,73.3,2,1,2,2,40.0,2,1,1,0,50.0,19,28.5,5,450,90,100,5.0,55,86,40,15,15,30,1.4,6,5,1,0.2,7.0,6.8,0.2,0.03,19,5.0,6,57,12,21.1,11.4,2.4,0.11,0.5,16.1,2,0,0,7.0,7.0,0.12,-1.0,-1.0,19,5.0,13,0,0,52,62,6,78,41,60,0,2,0,193,109,81,57.4,19,5.0,1535,2038,75.3,29260,10929,644,746,86.3,671,808,83.0,190,381,49.9,6,6.0,4.7,0.0,47,134,35,9,161,19,5.0,107,21.4,73,13,7,6,7,1,12,2.4,12,0,0,0,0,0,19,5.0,88,60,47,33,8,42,71,59.2,29,62,28,34,41,129,135,6,1326869.0,68997203.0,79%
Premier League,Fulham,19,27.9,51.2,5,55,450,5.0,4,3,7,4,0,0,11,0,5.3,5.3,4.5,9.8,93,179,0.8,0.6,1.4,0.8,1.4,1.06,0.9,1.97,1.06,1.97,19,51.2,5.0,2955,378,1037,1279,669,109,2955,79,24,30.4,44,55.7,1786,8840,4738,93,66,13,84,42,1935,175,1,5,5,450,5.0,5,1.0,19,15,84.2,2,2,1,1,20.0,3,2,0,1,0.0,19,27.9,5,450,90,100,5.0,55,82,31,24,19,21,1.6,6,5,1,0.2,5.3,6.6,-1.3,-0.26,19,5.0,4,50,12,24.0,10.0,2.4,0.08,0.33,14.9,2,0,0,5.3,5.3,0.11,-1.3,-1.3,19,5.0,11,0,0,75,64,8,97,28,53,0,3,1,169,69,80,46.3,19,5.0,1946,2401,81.0,34524,12091,838,950,88.2,874,986,88.6,191,346,55.2,3,4.5,4.3,-1.5,38,145,52,12,179,19,5.0,86,17.2,63,8,0,10,3,2,6,1.2,4,0,0,2,0,0,19,5.0,97,53,56,28,13,44,66,66.7,22,43,15,28,28,125,122,4,1464892.0,76174360.0,87%
