NAME,team,league,apps,minutes,player_id,fotmob_rating,fotmob_mins_played,fotmob_accurate_passes,fotmob_key_passes,fotmob_xa,fotmob_xa_p90,fotmob_xg_xa_p90,fotmob_dribbles_won,fotmob_tackles,fotmob_clearances,fotmob_penalties_conceded,fotmob_clean_sheets,fotmob_save_pct,fotmob_saves,fotmob_goals_prevented,fotmob_goals_conceded,fotmob_fouls,fotmob_yellow_cards,fotmob_interceptions,fotmob_xg,fotmob_xg_p90,fotmob_xgot,fotmob_shots_on_target,fotmob_shots,fotmob_big_chances_created,fotmob_accurate_long_balls,fotmob_big_chances_missed,fotmob_blocks,fotmob_goals,fotmob_goals_assists,fotmob_goals_p90,fotmob_poss_won_att_3rd,fotmob_assists,fotmob_red_cards,fotmob_penalties_won,defensive_contributions,ball_recovery,fotmob_phys_top_speed,fotmob_phys_distance,fotmob_phys_sprints,fotmob_phys_distance_p90,fotmob_phys_sprints_p90,norm_name,source
Bart Verbruggen,,Premier League,,,1131987,6.96,2790.0,30.9,1.0,0.1,0.0,0.0,0.0,0.0,0.8,1.0,7.0,70.2,2.8,1.1,1.2,0.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,bart verbruggen,fotmob
Bernd Leno,,Premier League,,,215168,6.76,2790.0,28.5,,0.0,0.0,0.0,,0.1,1.1,,6.0,63.6,2.5,-5.8,1.4,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,bernd leno,fotmob
David Raya,,Premier League,,,562727,7.22,2790.0,19.5,3.0,0.1,0.0,0.0,0.0,0.0,1.0,,15.0,69.4,1.6,-0.9,0.7,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,david raya,fotmob
Djordje Petrovic,,Premier League,,,1067256,6.91,2790.0,15.5,,0.0,0.0,0.0,,,1.8,,9.0,66.2,3.0,-1.9,1.5,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,djordje petrovic,fotmob
Guglielmo Vicario,,Premier League,,,538501,6.68,2790.0,23.2,1.0,0.1,0.0,0.0,,0.0,1.2,,7.0,62.4,2.7,-5.2,1.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,guglielmo vicario,fotmob
Jordan Pickford,,Premier League,,,303919,7.09,2790.0,23.4,,0.2,0.01,0.01,,0.1,1.3,,11.0,71.1,2.8,5.1,1.1,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,jordan pickford,fotmob
Martin Dúbravka,,Premier League,,,72241,6.76,2790.0,18.8,,0.1,0.0,0.0,,0.0,1.7,,4.0,64.5,3.6,-3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,martin dubravka,fotmob
Nikola Milenkovic,,Premier League,,,766611,6.68,2790.0,35.7,1.0,0.5,0.02,0.04,0.0,0.7,5.8,,,,,,,0.4,6.0,0.8,0.8,0.03,0.1,0.0,0.5,1.0,2.3,2.0,0.9,,,,,,,,,,,,,,,nikola milenkovic,fotmob
Virgil van Dijk,,Premier League,,,209405,7.23,2790.0,67.3,11.0,1.1,0.04,0.12,0.1,0.6,7.5,1.0,,,,,,0.5,4.0,0.6,2.7,0.09,3.2,0.3,0.7,,4.1,6.0,0.5,3.0,3.0,0.1,0.0,,,,,,,,,,,virgil van dijk,fotmob
James Garner,,Premier League,,,950474,7.48,2784.0,40.7,44.0,4.8,0.15,0.22,0.5,3.0,2.4,,,,,,,0.9,7.0,1.6,1.9,0.06,1.3,0.4,1.3,11.0,1.6,,0.3,2.0,8.0,0.06,0.3,6.0,,,,,,,,,,james garner,fotmob
Jarrod Bowen,,Premier League,,,523825,7.13,2778.0,15.8,32.0,4.1,0.13,0.33,1.5,1.3,1.1,,,,,,,0.6,5.0,0.6,6.2,0.2,6.4,0.7,2.2,9.0,0.4,5.0,0.2,8.0,14.0,0.26,0.7,6.0,,,,,,,,,,jarrod bowen,fotmob
Elliot Anderson,,Premier League,,,1089691,7.5,2774.0,55.7,48.0,3.5,0.11,0.19,1.3,2.9,1.2,1.0,,,,,,1.5,6.0,1.1,2.5,0.08,1.5,0.3,1.2,6.0,3.4,1.0,0.4,2.0,4.0,0.06,0.6,2.0,,,,,,,,,,elliot anderson,fotmob
Morgan Rogers,,Premier League,,,883080,7.01,2757.0,21.9,40.0,3.5,0.11,0.3,1.1,1.0,0.9,1.0,,,,,,1.2,6.0,0.4,5.8,0.19,7.0,1.0,2.4,10.0,1.1,3.0,0.1,8.0,13.0,0.26,0.7,5.0,,,,,,,,,,morgan rogers,fotmob
Adrien Truffert,,Premier League,,,1177358,7.05,2750.0,34.5,24.0,2.4,0.08,0.09,0.9,2.7,4.0,,,,,,,1.0,3.0,1.3,0.4,0.01,0.5,0.1,0.4,4.0,1.0,,0.3,,3.0,,0.2,3.0,,,,,,,,,,adrien truffert,fotmob
Caoimhín Kelleher,,Premier League,,,776689,6.88,2700.0,22.5,2.0,0.2,0.01,0.01,0.1,0.0,1.2,2.0,8.0,67.8,2.7,-2.8,1.3,0.1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,caoimhin kelleher,fotmob
James Tarkowski,,Premier League,,,243138,7.18,2700.0,34.0,14.0,1.3,0.04,0.12,0.1,1.3,6.8,1.0,,,,,,0.8,5.0,0.9,2.3,0.08,1.8,0.2,0.5,1.0,2.7,4.0,1.4,1.0,2.0,0.03,0.1,1.0,,,,,,,,,,james tarkowski,fotmob
Ezri Konsa,,Premier League,,,710159,6.78,2676.0,58.5,5.0,0.6,0.02,0.06,0.2,0.7,3.6,,,,,,,0.4,,0.8,1.2,0.04,0.9,0.1,0.4,1.0,1.7,1.0,0.9,,,,0.1,,1.0,,,,,,,,,ezri konsa,fotmob
Tyrick Mitchell,,Premier League,,,1120224,7.07,2669.0,21.7,22.0,1.6,0.05,0.09,0.5,2.7,2.7,,,,,,,0.6,5.0,0.9,1.1,0.04,1.7,0.2,0.4,2.0,1.0,2.0,0.3,1.0,2.0,0.03,0.1,1.0,,,,,,,,,,tyrick mitchell,fotmob
Marcos Senesi,,Premier League,,,785411,7.11,2660.0,48.6,21.0,4.1,0.14,0.19,0.1,1.7,7.4,,,,,,,0.9,8.0,1.6,1.4,0.05,0.5,0.2,0.5,6.0,5.2,2.0,1.3,,4.0,,0.1,4.0,,,,,,,,,,marcos senesi,fotmob
Igor Thiago,,Premier League,,,1302005,7.2,2654.0,12.2,19.0,1.7,0.06,0.65,0.9,1.0,1.7,,,,,,,2.0,6.0,0.3,17.5,0.59,17.8,1.3,2.4,5.0,0.3,17.0,0.2,19.0,20.0,0.64,0.5,1.0,,,,,,,,,,igor thiago,fotmob
Morgan Gibbs-White,,Premier League,,,789502,7.02,2646.0,29.3,44.0,2.1,0.07,0.36,0.8,0.5,1.0,,,,,,,0.7,1.0,0.4,8.3,0.28,10.2,0.8,2.2,3.0,1.3,6.0,0.1,9.0,11.0,0.31,0.5,2.0,,1.0,,,,,,,,morgan gibbs-white,fotmob
Michael Kayode,,Premier League,,,1429912,7.06,2634.0,27.1,29.0,2.6,0.09,0.11,1.5,1.9,3.1,2.0,,,,,,0.8,6.0,1.1,0.6,0.02,1.1,0.1,0.2,3.0,1.0,,0.3,1.0,1.0,0.03,0.2,,,,,,,,,,,michael kayode,fotmob
Luke Shaw,,Premier League,,,362694,6.88,2626.0,43.9,15.0,1.5,0.05,0.07,0.2,2.1,2.4,,,,,,,1.3,5.0,1.1,0.5,0.02,0.0,0.1,0.2,1.0,1.6,,0.3,,1.0,,0.1,1.0,,,,,,,,,,luke shaw,fotmob
Neco Williams,,Premier League,,,1078788,7.06,2620.0,31.2,30.0,3.3,0.11,0.17,0.9,2.7,2.5,1.0,,,,,,0.9,5.0,1.2,1.7,0.06,2.5,0.5,1.2,5.0,1.2,2.0,0.5,1.0,4.0,0.03,0.3,3.0,1.0,,,,,,,,,neco williams,fotmob
Dean Henderson,,Premier League,,,719330,7.15,2610.0,17.0,1.0,0.1,0.0,0.0,0.0,,1.4,1.0,10.0,71.1,3.0,4.4,1.2,0.0,3.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,dean henderson,fotmob
Martín Zubimendi,,Premier League,,,1031325,7.27,2604.0,51.6,16.0,2.2,0.08,0.17,0.2,1.9,2.2,,,,,,,0.9,4.0,1.2,2.8,0.1,3.6,0.3,0.9,1.0,1.7,2.0,0.2,5.0,6.0,0.17,0.2,1.0,,,,,,,,,,martin zubimendi,fotmob
Dominik Szoboszlai,,Premier League,,,846005,7.48,2603.0,54.8,58.0,5.2,0.18,0.31,0.8,1.5,1.8,,,,,,,1.0,7.0,0.8,3.9,0.13,2.8,0.7,2.0,7.0,3.7,3.0,0.3,5.0,8.0,0.17,0.5,3.0,1.0,,,,,,,,,dominik szoboszlai,fotmob
Sander Berge,,Premier League,,,540963,6.68,2596.0,48.1,16.0,1.2,0.04,0.09,0.3,1.8,1.6,1.0,,,,,,1.1,5.0,0.7,1.3,0.04,0.2,0.1,0.3,3.0,1.7,2.0,0.5,,1.0,,0.2,1.0,,,,,,,,,,sander berge,fotmob
Antoine Semenyo,,Premier League,,,933576,7.39,2588.0,19.9,33.0,2.3,0.08,0.42,1.3,1.4,0.9,1.0,,,,,,1.8,6.0,0.3,9.9,0.34,11.4,1.3,2.4,6.0,0.9,7.0,0.2,15.0,19.0,0.52,0.7,4.0,,,,,,,,,,antoine semenyo,fotmob
Declan Rice,,Premier League,,,654096,7.64,2585.0,54.9,58.0,6.1,0.21,0.31,0.4,2.0,2.3,,,,,,,0.7,2.0,1.0,2.9,0.1,4.3,0.4,1.3,14.0,2.5,3.0,0.4,4.0,9.0,0.14,0.4,5.0,,,,,,,,,,declan rice,fotmob
Trai Hume,,Premier League,,,1067763,6.84,2583.0,22.5,19.0,1.5,0.05,0.12,0.1,2.0,3.0,1.0,,,,,,0.9,8.0,0.8,1.9,0.07,1.0,0.2,1.0,1.0,1.3,4.0,0.3,,1.0,,0.3,1.0,,,,,,,,,,trai hume,fotmob
Enzo Fernández,,Premier League,,,1137705,7.29,2583.0,50.5,51.0,6.0,0.21,0.57,0.4,1.7,0.9,,,,,,,1.0,8.0,0.6,10.4,0.36,11.5,0.9,2.1,10.0,2.5,8.0,0.0,8.0,11.0,0.28,0.3,3.0,,,,,,,,,,enzo fernandez,fotmob
Jan Paul van Hecke,,Premier League,,,974618,7.16,2581.0,60.4,10.0,1.2,0.04,0.12,0.1,1.5,5.4,1.0,,,,,,0.8,7.0,1.1,2.2,0.08,3.8,0.3,0.7,2.0,3.7,2.0,0.9,3.0,5.0,0.1,0.1,2.0,,,,,,,,,,jan paul van hecke,fotmob
Lewis Dunk,,Premier League,,,201690,6.95,2565.0,71.6,6.0,0.5,0.02,0.06,0.1,1.2,4.6,1.0,,,,,,0.5,10.0,1.0,1.2,0.04,0.1,0.1,0.7,1.0,2.6,,0.9,,,,0.1,,,1.0,,,,,,,,lewis dunk,fotmob
Trevoh Chalobah,,Premier League,,,793907,7.12,2552.0,69.4,4.0,1.0,0.04,0.08,0.2,1.2,5.8,,,,,,,0.7,3.0,1.2,1.3,0.05,2.5,0.2,0.5,1.0,1.7,2.0,0.5,3.0,3.0,0.11,0.1,,1.0,,,,,,,,,trevoh chalobah,fotmob
Jake O'Brien,,Premier League,,,1098607,6.8,2549.0,24.2,13.0,0.8,0.03,0.06,0.2,1.7,4.3,1.0,,,,,,0.5,2.0,0.4,0.9,0.03,0.8,0.1,0.3,,1.3,,0.5,,1.0,,0.1,1.0,1.0,,,,,,,,,jake o brien,fotmob
Kyle Walker,,Premier League,,,159833,6.69,2549.0,30.5,10.0,1.1,0.04,0.04,0.4,1.5,3.1,,,,,,,1.0,8.0,1.3,0.1,0.0,,,0.1,3.0,2.6,,0.4,,2.0,,0.1,2.0,,,,,,,,,,kyle walker,fotmob
Joe Rodon,,Premier League,,,717174,6.72,2547.0,41.1,5.0,0.4,0.01,0.06,0.0,1.1,5.8,,,,,,,0.4,1.0,1.0,1.2,0.04,1.3,0.1,0.5,1.0,1.3,1.0,0.6,2.0,2.0,0.07,0.0,,,,,,,,,,,joe rodon,fotmob
Robert Sánchez,,Premier League,,,789571,7.16,2525.0,26.7,5.0,0.1,0.0,0.0,,0.1,0.8,,9.0,70.2,2.9,2.1,1.2,0.1,3.0,0.0,,,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,robert sanchez,fotmob
