season,league,name,team,position,apps,minutes,goals,npg,assists,shots,key_passes,yellow_cards,red_cards,xG,npxG,xA,xGChain,xGBuildup,xG90,npxG90,xA90,xG90_xA90,npxG90_xA90,xGChain90,xGBuildup90
2024,Premier League,Mohamed Salah,Liverpool,F M,38,3392,29,20,18,130,89,1,0,27.7063,20.8557,15.8583,48.5359,16.2068,0.7351,0.5534,0.4208,1.1559,0.9742,1.2878,0.43
2024,Premier League,Alexander Isak,Newcastle United,F,34,2822,23,19,6,99,42,1,0,22.357,19.3123,5.4487,26.2096,3.5792,0.713,0.6159,0.1738,0.8868,0.7897,0.8359,0.1141
2024,Premier League,Erling Haaland,Manchester City,F,31,2749,22,19,3,109,29,2,0,23.9546,20.9099,3.5812,22.8452,3.5354,0.7843,0.6846,0.1172,0.9015,0.8018,0.7479,0.1157
2024,Premier League,Chris Wood,Nottingham Forest,F S,36,3024,20,17,3,68,22,1,0,15.6387,13.3551,3.0441,14.7202,1.6692,0.4654,0.3975,0.0906,0.556,0.4881,0.4381,0.0497
2024,Premier League,Bryan Mbeumo,Brentford,D F M,38,3419,20,15,7,86,70,3,0,13.6322,9.0651,10.3765,24.3771,9.3518,0.3588,0.2386,0.2731,0.6319,0.5117,0.6417,0.2462
2024,Premier League,Yoane Wissa,Brentford,F M S,35,2943,18,18,4,90,28,5,0,20.7311,20.7311,3.4495,27.7268,5.427,0.634,0.634,0.1055,0.7395,0.7395,0.8479,0.166
2024,Premier League,Ollie Watkins,Aston Villa,F S,38,2666,16,14,8,84,25,2,0,18.6325,17.1101,3.8764,18.9005,3.2909,0.629,0.5776,0.1309,0.7599,0.7085,0.6381,0.1111
2024,Premier League,Matheus Cunha,Wolverhampton Wanderers,F M S,33,2617,15,15,6,110,56,4,0,8.4463,8.4463,7.4111,18.0231,7.1014,0.2905,0.2905,0.2549,0.5454,0.5454,0.6198,0.2442
2024,Premier League,Cole Palmer,Chelsea,M S,37,3228,15,11,8,126,87,7,0,15.7742,11.9684,12.9544,29.9998,9.8023,0.4398,0.3337,0.3612,0.801,0.6949,0.8364,0.2733
2024,Premier League,Jean-Philippe Mateta,Crystal Palace,F S,37,2690,14,12,2,69,29,2,0,15.8326,14.3103,3.8528,18.6026,3.6145,0.5297,0.4788,0.1289,0.6586,0.6077,0.6224,0.1209
2024,Premier League,Jørgen Strand Larsen,Wolverhampton Wanderers,F S,35,2624,14,14,4,54,19,4,0,11.6897,11.6897,3.3586,16.568,3.4464,0.4009,0.4009,0.1152,0.5161,0.5161,0.5683,0.1182
2024,Premier League,Jarrod Bowen,West Ham,F M,34,2993,13,12,8,87,50,1,0,9.8161,9.0549,7.6333,15.4567,3.2646,0.2952,0.2723,0.2295,0.5247,0.5018,0.4648,0.0982
2024,Premier League,Luis Díaz,Liverpool,F M S,36,2433,13,13,5,71,56,2,0,12.3563,12.3563,6.2452,27.0609,10.241,0.4571,0.4571,0.231,0.6881,0.6881,1.001,0.3788
2024,Premier League,Raúl Jiménez,Fulham,F S,38,2531,12,9,3,96,25,4,0,14.4054,12.1219,4.0792,17.4313,5.3986,0.5122,0.431,0.1451,0.6573,0.5761,0.6198,0.192
2024,Premier League,Justin Kluivert,Bournemouth,M S,34,2390,12,6,6,63,44,8,0,10.4416,5.8746,5.5129,15.8159,6.403,0.3932,0.2212,0.2076,0.6008,0.4288,0.5956,0.2411
2024,Premier League,Liam Delap,Ipswich,F S,37,2671,12,10,2,68,20,11,0,11.931,10.4086,2.7845,14.707,3.1533,0.402,0.3507,0.0938,0.4958,0.4445,0.4956,0.1063
2024,Premier League,Kevin Schade,Brentford,F M S,38,2332,11,11,2,55,23,3,0,9.468,9.468,3.7145,15.7675,4.1054,0.3654,0.3654,0.1434,0.5088,0.5088,0.6085,0.1584
2024,Premier League,Brennan Johnson,Tottenham,F M S,33,2178,11,11,3,54,19,5,0,11.1626,11.1626,2.9487,16.4776,3.7469,0.4613,0.4613,0.1218,0.5831,0.5831,0.6809,0.1548
2024,Premier League,Antoine Semenyo,Bournemouth,F M S,37,3219,11,11,5,126,46,9,0,14.5493,14.5493,6.6088,26.1798,7.8842,0.4068,0.4068,0.1848,0.5916,0.5916,0.732,0.2204
2024,Premier League,Danny Welbeck,Brighton,F S,30,2152,10,9,4,59,23,4,0,10.456,9.6949,2.0768,15.518,5.8725,0.4373,0.4055,0.0869,0.5242,0.4924,0.649,0.2456
2024,Premier League,João Pedro,Brighton,F M S,27,1975,10,5,6,47,30,4,1,8.8636,5.0578,5.6185,15.9104,7.6452,0.4039,0.2305,0.256,0.6599,0.4865,0.725,0.3484
2024,Premier League,Nicolas Jackson,Chelsea,F S,30,2294,10,10,5,76,28,7,1,13.8341,13.8341,3.4724,16.8951,3.0803,0.5428,0.5428,0.1362,0.679,0.679,0.6628,0.1208
2024,Premier League,Kaoru Mitoma,Brighton,F M S,36,2608,10,10,4,57,37,1,0,10.2227,10.2227,4.9492,21.4071,8.4278,0.3528,0.3528,0.1708,0.5236,0.5236,0.7387,0.2908
