Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,CrdY_per90,CrdR_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,Cmp_per90,1/3_per90,PPA_per90,CrsPA_per90,Sw_per90,Crs_per90,Tkl_per90,Int_per90,Clr_per90,Blocks_stats_defense_per90,Err_per90,Fld_per90,Touches_per90,Succ_per90,Carries_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,Recov_per90,GA_per90,SoTA_per90,Saves_per90,PKm_per90,PKsv_per90,Thr_per90,Stp_per90,Won_per90,#OPA_per90,PSxG_per90,G-xG_per90,team_code,passing__avg_poss,Tkl_per90_Padj,Int_per90_Padj,Clr_per90_Padj,Blocks_stats_defense_per90_Padj,Born_year,Player_clean
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,2.0,0.4,0.4,0.9,39,79,12,0.0,0.23,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,2,9,3,33.3,0.86,0.29,0.0,0.0,26.0,0,2,2,2.0,0.4,0.05,0.0,-0.4,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,544,628,86.6,9153,2632,0,0.4,0.7,-0.4,8,57,12,0,79,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,628,595,32,17,4,1,9,5,5,4,1,0,544,1,9,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,31,2.96,24,3,2,2,0,0,4,0.38,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,21,16,8,9,4,20,75.0,5,15,3,12,14,35,12,1,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,751,23,195,445,125,9,749,32,15,46.9,17,53.1,426,2425,1523,39,26,1,13,11,526,12,5,dz ALG,MF,fr Ligue 1,26-056,1999.0,13,943,73,61.6,10.5,11,81.0,4,2,25.0,0,1.38,12,13,-1,-0.1,0.06,10.8,19.5,-8.8,-0.84,4,dz ALG,MF,fr Ligue 1,26-056,1999.0,10.5,1,0,0,16,12,1,9,14,16,0,0,0,65,8,3,72.7,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.19,0.0,0.19,0.0,0.19,0.1,0.0,0.04,0.04,3.72,7.54,1.15,0.86,0.29,51.92,5.44,1.15,0.0,0.1,0.86,2.0,1.34,1.15,1.43,0.1,0.0,71.68,1.43,40.66,1.24,1.05,1.53,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,Angers SCO,,0.0,0.0,0.0,0.0,1999,himad abdelli
21,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001.0,9,7,446,5.0,1,1,2,1,0,0,1,0,1.6,1.6,1.2,2.7,2,4,28,0.4,0.55,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,1,7,3,42.9,1.41,0.61,0.14,0.33,9.6,0,0,0,1.6,1.6,0.23,-0.6,-0.6,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,49,85,57.6,642,110,1,1.2,0.2,-0.2,4,1,2,1,4,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,85,81,3,0,0,0,2,0,0,0,0,0,49,1,6,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,9,1.82,6,0,0,2,0,1,2,0.4,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,11,6,8,3,0,3,66.7,1,3,2,1,6,17,6,0,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,168,12,26,78,66,21,168,14,5,35.7,7,50.0,83,392,89,2,4,1,25,3,115,28,24,at AUT,FW,de Bundesliga,24-220,2001.0,9,446,50,31.0,5.0,7,61.0,0,2,9.0,7,1.44,7,4,3,0.61,0.88,7.7,5.0,2.7,0.55,21,at AUT,FW,de Bundesliga,24-220,2001.0,5.0,1,0,0,10,9,6,2,6,6,0,0,0,14,23,28,45.1,,,,,,,,,,,,,,,67.71,,,,,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,33.53,,,,6.63,,,,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.32,0.24,0.4,0.81,5.65,1.41,0.61,9.89,0.2,0.4,0.2,0.0,0.4,2.22,1.21,1.21,0.61,0.0,0.0,33.9,1.01,16.75,5.04,0.61,2.02,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,-0.12,Freiburg,48.0,2.13,1.16,1.16,0.59,2001,junior adamu
25,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,24.0,2002.0,14,9,653,7.3,1,0,1,1,0,0,2,0,0.3,0.3,0.9,1.2,25,8,67,0.14,0.17,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,16.8,0,0,0,0.3,0.3,0.06,0.7,0.7,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,130,192,67.7,1899,297,0,0.9,0.6,-0.9,7,3,6,2,8,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,192,188,3,0,1,0,27,3,0,0,0,0,130,1,13,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,14,1.93,13,0,1,0,0,0,1,0.14,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,11,8,5,4,2,15,40.0,9,11,0,11,2,13,11,0,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,290,7,45,106,142,16,290,27,7,25.9,19,70.4,180,1257,636,25,14,4,12,12,204,67,29,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,14,653,47,34.6,7.3,9,64.0,0,5,16.0,6,1.07,6,8,-2,-0.28,-0.35,7.2,11.1,-3.9,-0.54,25,ci CIV,"FW,MF",eng Premier League,24-011,2002.0,7.3,2,0,0,17,3,4,27,2,8,0,0,0,20,9,14,39.1,,,,,,,,,,,,,,,65.16,,,,,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,37.59,,,,6.36,,,,0.14,0.0,0.14,0.14,0.0,0.28,0.0,0.04,0.12,3.45,1.1,9.23,0.83,0.28,17.92,0.41,0.83,0.28,0.0,3.72,1.52,0.28,1.52,1.52,0.0,0.0,39.97,0.96,24.81,1.65,1.65,2.34,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.1,Sunderland,44.1,1.36,0.25,1.36,1.36,2002,simon adingra
31,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27.0,1998.0,7,1,150,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,7,7,19,0.0,0.45,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,0,4,2,50.0,2.4,1.2,0.0,0.0,19.7,0,0,0,0.6,0.6,0.15,-0.6,-0.6,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,50,75,66.7,858,159,0,0.1,0.2,-0.1,2,5,2,1,7,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,75,74,0,0,1,0,10,0,0,0,0,0,50,1,6,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,7,4.23,5,0,0,2,0,0,0,0.0,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,4,2,1,0,3,0,51.18,0,4,1,3,0,4,2,0,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,111,3,6,36,70,7,111,13,2,15.4,10,76.9,81,532,246,7,3,3,8,7,101,19,36,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,7,150,21,11.1,1.7,1,45.0,0,6,18.0,3,0.57,1,3,-2,-1.2,-0.38,1.4,2.3,-1.0,-0.58,31,eng ENG,"MF,FW",de Bundesliga,27-334,1998.0,1.7,1,0,0,2,6,0,10,0,2,0,0,0,4,3,4,42.9,,,,,,,,,,,,,,,67.71,,,,,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,33.53,,,,6.63,,,,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.36,0.06,4.2,4.2,11.4,2.4,1.2,30.0,3.0,1.2,0.6,0.0,6.0,2.4,0.0,1.2,2.4,0.0,0.0,66.6,1.2,48.6,4.8,4.2,1.2,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,-0.36,St. Pauli,,0.0,0.0,0.0,0.0,1998,oladapo afolayan
32,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997.0,13,11,1011,11.2,0,0,0,0,0,0,1,1,0.5,0.5,0.2,0.6,5,37,7,0.0,0.06,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,0,9,3,33.3,0.8,0.27,0.0,0.0,19.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,510,633,80.6,10851,4234,0,0.2,0.3,-0.2,3,60,7,3,37,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,633,597,33,21,2,5,14,11,0,0,0,0,510,3,6,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,9,0.8,9,0,0,0,0,0,0,0.0,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,28,17,15,10,3,24,75.0,6,17,14,3,12,40,65,2,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,777,107,366,365,52,10,777,5,4,80.0,1,20.0,437,2010,946,5,11,0,9,4,505,7,37,ci CIV,DF,eng Premier League,28-209,1997.0,13,1011,78,53.5,11.2,11,85.0,10,2,38.0,2,0.15,6,25,-19,-1.69,-0.97,9.4,16.5,-7.1,-0.63,32,ci CIV,DF,eng Premier League,28-209,1997.0,11.2,1,1,0,10,5,0,14,12,17,0,0,0,62,23,12,65.7,,,,,,,,,,,,,,,65.16,,,,,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,37.59,,,,6.36,,,,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.04,0.02,0.45,3.29,0.62,0.8,0.27,45.4,5.34,0.62,0.27,0.45,1.25,2.49,1.07,5.79,1.51,0.18,0.0,69.17,0.36,38.9,0.8,0.36,0.89,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,-0.04,Wolves,43.5,2.2,0.95,5.12,1.34,1997,emmanuel agbadou
53,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21.0,2004.0,9,2,188,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,9,7,20,0.0,0.62,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,0,6,2,33.3,2.87,0.96,0.0,0.0,19.1,0,0,0,0.6,0.6,0.1,-0.6,-0.6,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,56,72,77.8,939,220,0,0.7,0.4,-0.7,5,4,5,2,7,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,72,64,6,3,1,0,9,0,3,2,0,0,56,2,1,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,9,4.33,4,2,0,2,1,0,0,0.0,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,8,4,4,4,0,3,100.0,0,6,2,4,0,8,2,0,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,116,5,20,39,58,9,116,11,0,0.0,9,81.8,80,490,316,9,5,4,6,8,86,20,67,ma MAR,"MF,FW",es La Liga,21-271,2004.0,9,188,21,11.6,2.1,2,45.0,0,7,14.0,5,2.78,2,3,-1,-0.48,-1.8,2.6,4.4,-1.7,-0.84,53,ma MAR,"MF,FW",es La Liga,21-271,2004.0,2.1,0,0,0,9,7,0,9,0,4,0,0,0,10,1,1,50.0,,,,,,,,,,,,,,,69.16,,,,,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,,,,5.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.34,4.31,3.35,9.57,2.87,0.96,26.81,1.91,2.39,0.96,0.0,4.31,3.83,0.0,0.96,2.87,0.0,0.48,55.53,0.0,38.3,2.87,3.83,4.31,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,-0.29,Villarreal,43.5,3.39,0.0,0.85,2.54,2004,ilias akhomach
86,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29.0,1996.0,14,10,888,9.9,2,0,2,2,0,0,4,0,1.0,1.0,0.7,1.7,19,35,72,0.2,0.17,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,2,9,2,22.2,0.91,0.2,0.22,1.0,15.1,1,0,0,1.0,1.0,0.11,1.0,1.0,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,409,499,82.0,6646,1610,0,0.7,0.9,-0.7,10,25,10,4,35,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,499,430,69,5,3,1,24,64,0,0,0,0,409,0,12,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,23,2.33,18,1,3,0,1,0,5,0.51,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,18,12,6,9,3,12,58.3,5,10,2,8,6,24,20,0,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,592,20,107,278,209,26,592,18,7,38.9,10,55.6,366,1411,732,19,14,6,15,7,392,72,110,pa PAN,DF,fr Ligue 1,29-335,1996.0,14,888,63,58.0,9.9,10,79.0,6,4,24.0,1,2.0,21,9,12,1.22,0.23,18.3,13.4,4.9,0.5,86,pa PAN,DF,fr Ligue 1,29-335,1996.0,9.9,4,0,0,22,14,2,24,6,12,1,0,0,40,9,12,42.9,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.2,0.0,0.2,0.2,0.0,0.41,0.0,0.1,0.07,1.93,3.55,7.3,0.91,0.2,41.45,2.53,1.01,0.41,0.1,2.43,1.82,0.61,2.03,1.01,0.0,0.1,60.0,0.71,37.09,1.52,0.71,2.23,0.1,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.1,Marseille,57.1,2.12,0.71,2.37,1.18,1996,michael amir murillo
120,Jhon Arias,co COL,"FW,MF",Wolves,eng Premier League,28.0,1997.0,20,13,1048,11.6,1,0,1,1,0,0,1,0,3.3,3.3,0.6,3.9,19,33,45,0.09,0.33,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,1,16,3,18.8,1.37,0.26,0.06,0.33,15.2,3,0,0,3.3,3.3,0.2,-2.3,-2.3,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,354,412,85.9,5407,961,0,0.6,0.6,-0.6,11,23,8,3,33,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,412,375,37,5,0,2,29,3,16,12,2,0,354,0,11,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,27,2.32,18,4,2,1,0,2,2,0.17,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,40,25,16,16,8,30,53.3,14,28,2,26,8,48,16,0,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,580,17,97,281,215,36,580,23,8,34.8,11,47.8,295,1603,717,19,18,3,22,24,343,45,155,co COL,"FW,MF",eng Premier League,28-113,1997.0,20,1048,52,55.4,11.6,13,73.0,2,7,15.0,1,0.35,11,18,-7,-0.6,1.43,11.6,13.5,-1.9,-0.16,120,co COL,"FW,MF",eng Premier League,28-113,1997.0,11.6,1,0,0,22,9,3,29,8,25,0,0,0,51,9,17,34.6,,,,,,,,,,,,,,,65.16,,,,,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,37.59,,,,6.36,,,,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.28,0.05,1.63,2.83,3.86,1.37,0.26,30.4,1.98,0.69,0.26,0.17,2.49,3.44,0.69,1.37,2.4,0.0,0.0,49.81,0.69,25.33,1.89,2.06,1.89,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,-0.2,Wolves,43.5,3.04,0.61,1.21,2.12,1997,jhon arias
130,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23.0,2002.0,15,13,1129,12.5,0,0,0,0,0,1,3,0,1.4,0.6,0.8,1.4,7,60,10,0.0,0.18,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,0,19,3,15.8,1.51,0.24,0.0,0.0,29.7,1,0,1,1.4,0.6,0.03,-1.4,-0.6,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,535,677,79.0,11468,3663,0,0.8,1.3,-0.8,15,59,9,1,60,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,677,568,105,55,3,7,52,4,31,12,18,0,535,4,3,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,29,2.31,16,10,1,1,0,1,2,0.16,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,21,14,12,5,4,20,45.0,11,6,1,5,12,33,10,2,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,767,21,185,454,132,6,766,7,3,42.9,3,42.9,400,1574,610,7,11,1,10,4,468,10,168,al ALB,MF,it Serie A,23-309,2002.0,15,1129,75,62.7,12.5,13,82.0,5,2,29.0,4,1.27,13,20,-7,-0.56,-0.02,15.9,17.3,-1.4,-0.11,130,al ALB,MF,it Serie A,23-309,2002.0,12.5,3,0,0,7,14,0,52,12,14,0,0,0,63,1,9,10.0,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.05,0.06,0.56,4.78,0.8,1.51,0.24,42.65,4.7,0.72,0.08,0.56,4.15,1.67,0.96,0.8,0.48,0.16,0.0,61.14,0.24,31.89,0.8,0.32,0.56,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,-0.11,Torino,43.9,1.49,0.86,0.71,0.43,2002,kristjan asllani
131,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26.0,1999.0,7,2,217,2.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0,2,5,0.0,0.28,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,0,4,1,25.0,1.66,0.41,0.0,0.0,13.4,0,0,0,0.6,0.6,0.16,-0.6,-0.6,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,23,38,60.5,313,60,0,0.1,0.2,-0.1,1,1,0,0,2,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,38,35,3,0,0,1,1,1,0,0,0,0,23,0,3,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,5,2.07,3,0,0,2,0,0,0,0.0,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,55,2,5,26,24,6,55,4,1,25.0,3,75.0,25,135,23,0,1,1,4,1,37,5,169,se SWE,FW,fr Ligue 1,26-260,1999.0,7,217,31,14.2,2.4,2,61.0,0,5,19.0,2,1.0,2,6,-4,-1.66,-0.56,2.0,4.4,-2.4,-1.01,131,se SWE,FW,fr Ligue 1,26-260,1999.0,2.4,0,0,0,2,1,2,1,0,0,0,0,0,2,3,11,21.4,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0,0.83,2.07,1.66,0.41,9.54,0.41,0.0,0.0,0.41,0.41,0.0,0.0,0.83,0.41,0.0,0.0,22.81,0.41,10.37,1.66,0.41,0.83,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,-0.25,FC Metz,,0.0,0.0,0.0,0.0,1999,joel asoro
