player_id,player_name,nationality,dateOfBirth,age,club_name,club_id,position,position_other,height,foot,shirtNumber,joinedOn,contract,marketValue,imageUrl,agent_name,outfitter,status,birth_year,name_clean
76158,Alexander Meyer,Germany,1991-04-13,34.0,Dortmund,16,Goalkeeper,,195.0,right,#33,2022-01-07,2027-06-30,800000.0,https://img.a.transfermarkt.technology/portrait/header/76158-1716381651.jpg?lm=1,AKA Global GmbH,,,1991,alexander meyer
94192,Patrick Drewes,Germany,1993-04-02,33.0,Dortmund,16,Goalkeeper,,194.0,right,#30,2025-01-07,2027-06-30,400000.0,https://img.a.transfermarkt.technology/portrait/header/94192-1721851751.jpg?lm=1,BMS Sportconsulting ...,Uhlsport,,1993,patrick drewes
684116,Silas Ostrzinski,Germany,2003-11-19,22.0,Dortmund,16,Goalkeeper,,198.0,right,#31,2025-04-01,2027-06-30,200000.0,https://img.a.transfermarkt.technology/portrait/header/684116-1657285206.jpg?lm=1,Stuckmann Consulting,,,2003,silas ostrzinski
1074990,Luca Reggiani,Italy,2008-09-01,18.0,Dortmund,16,Centre-Back,Right-Back,194.0,right,#49,2026-03-20,,5000000.0,https://img.a.transfermarkt.technology/portrait/header/1074990-1771366237.jpg?lm=1,TMP SOCCER srl,Puma,,2008,luca reggiani
119296,Emre Can,Germany,1994-12-01,32.0,Dortmund,16,Centre-Back,"Defensive Midfield, Central Midfield",186.0,right,#23,2020-01-07,2027-06-30,4000000.0,https://img.a.transfermarkt.technology/portrait/header/119296-1709561046.jpg?lm=1,ISM Int. Soccer ...,,Team captain; Cruciate ligament tear - Return unknown,1994,emre can
166601,Niklas Süle,Germany,1995-03-09,30.0,Dortmund,16,Centre-Back,Right-Back,195.0,right,#25,2022-01-07,2026-06-30,4000000.0,https://img.a.transfermarkt.technology/portrait/header/166601-1709560223.jpg?lm=1,Sports360 GmbH,Nike,,1995,niklas sule
883007,Filippo Mane,Italy,2005-08-03,21.0,Dortmund,16,Centre-Back,Right-Back,188.0,right,#39,2025-06-01,2028-06-30,2500000.0,https://img.a.transfermarkt.technology/portrait/header/883007-1713461702.jpg?lm=1,,,Muscle injury - Return unknown,2005,filippo mane
884820,Almugera Kabar,Germany,2006-06-06,19.0,Dortmund,16,Left-Back,Left Midfield,186.0,left,#42,2024-07-08,2028-06-30,3000000.0,https://img.a.transfermarkt.technology/portrait/header/884820-1713462323.jpg?lm=1,,adidas,,2006,almugera kabar
244940,Salih Özcan,Türkiye,1998-11-01,28.0,Dortmund,16,Defensive Midfield,Central Midfield,183.0,right,#6,2022-01-07,2026-06-30,3500000.0,https://img.a.transfermarkt.technology/portrait/header/244940-1709561120.jpg?lm=1,FOKUS,,,1998,salih ozcan
1058359,Samuele Inácio,Italy,2008-02-04,17.0,Dortmund,16,Second Striker,"Attacking Midfield, Centre-Forward",176.0,right,#40,,2027-06-30,3000000.0,https://img.a.transfermarkt.technology/portrait/header/1058359-1763477288.jpg?lm=1,,Nike,,2008,samuele inacio
486046,Maarten Vandevoordt,Belgium,2002-02-26,24.0,Leipzig,23826,Goalkeeper,,192.0,right,#26,2024-01-07,2030-06-30,8000000.0,https://img.a.transfermarkt.technology/portrait/header/486046-1724337345.jpg?lm=1,The.Team,,,2002,maarten vandevoordt
160971,Leopold Zingerle,Germany,1994-10-04,31.0,Leipzig,23826,Goalkeeper,,182.0,right,#25,2023-01-07,2028-06-30,400000.0,https://img.a.transfermarkt.technology/portrait/header/160971-1770713811.jpg?lm=1,Haspel ...,Uhlsport,,1994,leopold zingerle
787912,El Chadaille Bitshiabu,France,2005-05-16,20.0,Leipzig,23826,Centre-Back,,196.0,left,#5,2023-07-18,2029-06-30,15000000.0,https://img.a.transfermarkt.technology/portrait/header/787912-1672304780.jpg?lm=1,Relatives,Nike,,2005,el chadaille bitshiabu
