League,Club,Currency,Total Payroll (EUR)
Bundesliga,Bayern Munich,EUR,248940000
Bundesliga,Borussia Dortmund,EUR,115360000
Bundesliga,Bayer Leverkusen,EUR,92450000
Bundesliga,Leipzig,EUR,77620000
Bundesliga,Wolfsburg,EUR,67360000
Bundesliga,Eintracht Frankfurt,EUR,64660000
Bundesliga,Stuttgart,EUR,59870000
Bundesliga,Freiburg,EUR,54960000
Bundesliga,Monchengladbach,EUR,53910000
Bundesliga,Hoffenheim,EUR,49470000
Bundesliga,Werder Bremen,EUR,44050000
Bundesliga,Mainz,EUR,41060000
Bundesliga,Union Berlin,EUR,35520000
Bundesliga,Hamburg,EUR,35410000
Bundesliga,Augsburg,EUR,35010000
Bundesliga,Koln,EUR,34310000
Bundesliga,Heidenheim,EUR,26490000
Bundesliga,St Pauli,EUR,26010000
Championship,Leicester,EUR,50896300
Championship,Sheffield United,EUR,37545690
Championship,Southampton,EUR,37530220
Championship,Ipswich Town,EUR,35240660
Championship,Norwich,EUR,29628620
Championship,Birmingham,EUR,27289080
Championship,Hull City,EUR,25243946
Championship,Middlesbrough,EUR,25109000
Championship,West Bromwich,EUR,23143120
Championship,Stoke City,EUR,22802780
Championship,Watford,EUR,22496950
Championship,Wrexham,EUR,21258874
Championship,Coventry,EUR,20296640
Championship,Derby County,EUR,18935280
Championship,Millwall,EUR,18765110
Championship,Preston,EUR,18254600
Championship,Blackburn,EUR,17916640
Championship,Bristol,EUR,17653412
Championship,Swansea,EUR,16955120
Championship,Oxford,EUR,16670472
Championship,QPR,EUR,15644692
Championship,Portsmouth,EUR,14882140
Championship,Charlton,EUR,14114828
Championship,Sheffield Wednesday,EUR,14018914
Eredivisie,PSV,EUR,34820000
Eredivisie,Ajax,EUR,33070000
Eredivisie,Feyenoord,EUR,25830000
Eredivisie,Utrecht,EUR,13250000
Eredivisie,AZ Alkmaar,EUR,13200000
Eredivisie,NEC Nijmegen,EUR,11730000
Eredivisie,Twente,EUR,11360000
Eredivisie,Fortuna Sittard,EUR,9580000
Eredivisie,Heracles,EUR,7090000
Eredivisie,Sparta Rotterdam,EUR,7060000
Eredivisie,NAC Breda,EUR,6990000
Eredivisie,PEC Zwolle,EUR,6990000
Eredivisie,Heerenveen,EUR,6890000
Eredivisie,Go Ahead Eagles,EUR,5270000
Eredivisie,Groningen,EUR,5010000
Eredivisie,Excelsior,EUR,4900000
Eredivisie,Volendam,EUR,4020000
Eredivisie,Telstar,EUR,2790000
La Liga,Real Madrid,EUR,307930000
La Liga,Barcelona,EUR,234640000
La Liga,Atletico Madrid,EUR,153920000
La Liga,Athletic Club,EUR,85110000
La Liga,Real Betis,EUR,78580000
La Liga,Real Sociedad,EUR,68260000
La Liga,Villarreal,EUR,66900000
La Liga,Sevilla,EUR,64800000
La Liga,Valencia,EUR,52230000
La Liga,Girona,EUR,47480000
