,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,
Rk,Squad,Comp,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1, Alavés,es La Liga,1,15,15,1,0,0,0,14.9,0.3,-0.1,-0.01,113,275,41.1,296,41,60.1,44.3,114,85.1,60.2,198,8,4,9,0.6,12.2
2, Angers,fr Ligue 1,2,15,17,1,0,3,0,24.9,0.29,7.9,0.53,52,179,29.1,385,79,35.6,33.3,139,30.2,29.5,245,26,10.6,10,0.67,10.1
3, Arsenal,eng Premier League,1,15,9,0,1,2,0,7.7,0.23,-1.3,-0.09,75,224,33.5,446,64,41.9,35.1,76,48.7,39.5,131,12,9.2,24,1.6,18.6
4, Aston Villa,eng Premier League,2,15,15,1,0,4,1,16.3,0.28,2.3,0.15,67,196,34.2,475,65,32.6,31.7,124,33.1,29.2,219,19,8.7,20,1.33,12.5
5, Atalanta,it Serie A,1,14,17,1,0,2,1,15.6,0.25,-0.4,-0.03,72,184,39.1,439,67,30.5,31.8,90,55.6,42.8,168,8,4.8,18,1.29,15.1
6, Athletic Club,es La Liga,1,16,20,0,0,2,1,21,0.35,2,0.13,66,240,27.5,445,67,39.8,35.1,89,70.8,53.3,184,13,7.1,44,2.75,20.1
7, Atlético Madrid,es La Liga,2,16,15,1,0,1,0,13.8,0.3,-1.2,-0.08,87,194,44.8,405,65,27.9,31.5,137,59.1,43.1,208,16,7.7,15,0.94,12.8
8, Augsburg,de Bundesliga,1,13,27,2,1,1,1,22.4,0.33,-3.6,-0.28,82,264,31.1,458,42,41.7,36.1,118,61.9,46.4,171,11,6.4,32,2.46,16.1
9, Auxerre,fr Ligue 1,2,15,21,1,1,4,2,20.9,0.3,1.9,0.13,85,276,30.8,394,57,53.6,41,99,65.7,49.6,184,7,3.8,19,1.27,15.4
10, Barcelona,es La Liga,2,16,20,3,0,4,0,23.6,0.36,3.6,0.23,26,79,32.9,491,102,13.6,25.9,73,16.4,26.7,156,8,5.1,76,4.75,23.3
11, Bayern Munich,de Bundesliga,2,13,9,0,1,3,0,6.8,0.3,-2.2,-0.17,56,135,41.5,457,57,26.3,30.2,70,21.4,26.7,126,5,4,38,2.92,20.3
12, Betis,es La Liga,2,15,19,1,0,4,1,16.3,0.26,-1.7,-0.11,46,152,30.3,379,52,29.8,32.7,109,35.8,36.2,200,7,3.5,19,1.27,16.5
13, Bologna,it Serie A,3,14,12,2,0,1,0,13.8,0.27,1.8,0.13,55,172,32,567,66,25.2,30.9,71,40.8,38.3,160,9,5.6,17,1.21,11.9
14, Bournemouth,eng Premier League,1,15,24,2,1,5,0,20.4,0.28,-3.6,-0.24,53,173,30.6,355,75,32.7,32.2,109,52.3,42.8,188,17,9,24,1.6,13.8
15, Brentford,eng Premier League,1,15,24,2,0,1,2,19.2,0.29,-2.8,-0.18,85,229,37.1,448,75,36.8,33.2,107,59.8,46.1,211,12,5.7,21,1.4,15
16, Brest,fr Ligue 1,2,15,24,2,1,3,1,20.7,0.3,-2.3,-0.15,105,260,40.4,424,67,43.9,36,112,66.1,49.2,235,15,6.4,11,0.74,10.1
17, Brighton,eng Premier League,1,15,21,2,0,2,2,21.8,0.34,2.8,0.19,36,159,22.6,510,60,25.9,28.7,123,22,22.3,196,8,4.1,17,1.13,14.9
18, Burnley,eng Premier League,1,15,30,5,0,5,3,29.4,0.3,2.4,0.16,100,340,29.4,403,67,47.4,36,166,89.8,62.8,291,10,3.4,5,0.33,9.1
19, Cagliari,it Serie A,1,14,19,0,2,3,0,20.8,0.31,1.8,0.13,68,200,34,338,66,47.9,36.5,129,29.5,29,195,26,13.3,17,1.21,13.8
20, Celta Vigo,es La Liga,1,15,19,2,0,5,1,18,0.23,0,0,42,141,29.8,304,76,30.3,31.4,118,41.5,39.6,202,9,4.5,11,0.73,12.2
21, Chelsea,eng Premier League,2,15,15,0,0,3,0,14.6,0.33,-0.4,-0.03,73,244,29.9,530,70,37.5,33.8,108,41.7,36.3,170,25,14.7,19,1.27,13.6
22, Como,it Serie A,1,14,11,1,0,2,0,14.2,0.26,3.2,0.23,68,145,46.9,473,64,26.6,29.4,83,22.9,23.4,136,15,11,36,2.57,17.2
23, Cremonese,it Serie A,2,14,17,2,0,1,0,18.3,0.24,1.3,0.09,71,285,24.9,464,66,46.6,36.9,147,46.9,38.4,241,18,7.5,10,0.71,12.5
24, Crystal Palace,eng Premier League,1,15,12,1,0,2,0,15.9,0.32,3.9,0.26,65,268,24.3,403,57,49.9,39.3,126,53.2,44.3,234,11,4.7,7,0.47,10.9
25, Dortmund,de Bundesliga,1,13,11,1,0,2,0,13.2,0.32,2.2,0.17,46,146,31.5,349,46,37.2,32.6,89,18,22.5,177,6,3.4,10,0.77,14.2
26, Eint Frankfurt,de Bundesliga,2,13,29,2,3,2,0,21.6,0.35,-7.4,-0.57,58,172,33.7,448,78,32.4,31.7,96,28.1,29.9,140,10,7.1,17,1.31,15
27, Elche,es La Liga,2,15,17,2,0,1,0,19.5,0.3,2.5,0.17,87,262,33.2,811,58,29.2,28.1,107,23.4,26.2,204,15,7.4,40,2.67,16
28, Espanyol,es La Liga,1,15,16,1,1,1,1,15.3,0.25,0.3,0.02,73,230,31.7,344,61,52.9,39.9,99,48.5,41.9,205,15,7.3,15,1,13.9
29, Everton,eng Premier League,1,15,17,1,0,4,0,19.8,0.31,2.8,0.18,114,321,35.5,482,47,53.9,40,108,56.5,42.4,203,5,2.5,31,2.07,16.9
30, Fiorentina,it Serie A,1,14,24,3,0,5,0,21.7,0.27,-2.3,-0.16,69,205,33.7,365,49,47.1,35.9,100,33,31.2,187,3,1.6,13,0.93,14.3
31, Freiburg,de Bundesliga,1,13,22,0,0,5,0,20.7,0.4,-1.3,-0.1,96,256,37.5,492,46,41.9,36,79,63.3,48.3,149,9,6,22,1.69,16.8
32, Fulham,eng Premier League,1,15,24,2,0,5,2,18.7,0.3,-3.3,-0.22,42,170,24.7,470,72,26.8,29.6,115,38.3,32.5,194,11,5.7,10,0.67,11.8
33, Genoa,it Serie A,1,13,20,2,0,6,1,18,0.33,-1,-0.08,51,154,33.1,262,35,45.8,35.8,79,43,34.8,163,6,3.7,11,0.85,14.8
34, Getafe,es La Liga,1,15,17,1,0,3,2,16.4,0.24,1.4,0.09,139,374,37.2,338,15,83.1,51.6,101,92.1,60.8,165,4,2.4,18,1.2,17.1
35, Girona,es La Liga,2,15,29,4,1,4,0,29.3,0.31,0.3,0.02,55,209,26.3,430,69,35.8,32.7,146,37.7,31.7,246,9,3.7,17,1.14,14.8
36, Gladbach,de Bundesliga,1,13,19,2,0,4,0,19,0.29,0,0,79,160,49.4,325,55,37.5,31.2,97,39.2,33,201,10,5,16,1.23,14.7
37, Hamburger SV,de Bundesliga,1,13,20,1,1,3,0,18.9,0.28,-1.1,-0.08,65,194,33.5,571,34,29.1,29.3,109,25.7,28.4,180,9,5,14,1.08,14.2
38, Heidenheim,de Bundesliga,1,13,28,2,0,0,0,27.4,0.4,-0.6,-0.05,120,307,39.1,597,63,41.5,38.7,119,49.6,42.7,206,21,10.2,19,1.46,12.7
39, Hellas Verona,it Serie A,1,14,21,1,0,2,1,16.3,0.25,-3.7,-0.26,92,291,31.6,321,46,62.9,44.6,100,89,59.9,194,12,6.2,7,0.5,12
40, Hoffenheim,de Bundesliga,1,13,19,2,0,5,0,18.3,0.32,-0.7,-0.05,59,186,31.7,438,43,36.5,33.4,79,32.9,30.6,206,11,5.3,38,2.92,18.1
41, Inter,it Serie A,2,14,13,2,0,1,0,11.9,0.25,-1.1,-0.08,47,115,40.9,433,53,19.9,27.6,78,37.2,33,144,4,2.8,15,1.07,19
42, Juventus,it Serie A,2,14,14,1,0,2,0,13.6,0.31,-0.4,-0.03,34,93,36.6,330,61,21.5,23.8,88,25,27.3,188,14,7.4,10,0.71,26
43, Köln,de Bundesliga,1,13,21,3,2,6,0,21.3,0.31,0.3,0.03,125,307,40.7,519,34,41.6,36.1,117,77.8,55.9,223,4,1.8,11,0.85,14.7
44, Lazio,it Serie A,1,14,11,0,1,2,0,17,0.28,6,0.43,60,181,33.1,400,54,36.5,34.4,106,33,30.1,175,10,5.7,11,0.79,13.3
45, Le Havre,fr Ligue 1,1,15,21,3,0,2,1,17.9,0.27,-2.1,-0.14,73,195,37.4,466,76,32.2,31.7,106,42.5,35.7,224,25,11.2,17,1.13,13.5
46, Lecce,it Serie A,1,14,19,3,0,2,0,21.4,0.29,2.4,0.17,83,287,28.9,304,40,77.3,44.6,118,44.1,34.3,202,9,4.5,18,1.29,12.1
47, Leeds United,eng Premier League,2,15,29,2,2,3,1,24.3,0.37,-3.7,-0.25,84,318,26.4,476,71,53.4,37.7,120,53.3,40.6,223,10,4.5,7,0.47,11.4
48, Lens,fr Ligue 1,1,15,13,2,0,2,0,16.9,0.26,3.9,0.26,48,136,35.3,365,56,28.2,32.1,98,33.7,31.8,194,9,4.6,9,0.6,14.2
49, Levante,es La Liga,2,14,26,1,0,6,2,25.5,0.34,1.5,0.11,80,218,36.7,339,69,41.3,36,142,54.9,45.5,247,16,6.5,15,1.07,13.1
50, Leverkusen,de Bundesliga,1,13,19,2,0,5,1,17.3,0.27,-0.7,-0.05,43,134,32.1,390,54,23.1,29.4,96,45.8,38.2,165,4,2.4,16,1.23,15.1
51, Lille,fr Ligue 1,2,15,17,1,1,1,0,23.1,0.43,6.1,0.4,65,159,40.9,469,44,27.7,29.2,91,31.9,29.9,178,8,4.5,19,1.27,14.6
52, Liverpool,eng Premier League,2,15,24,2,0,5,0,19.2,0.28,-4.8,-0.32,48,143,33.6,475,76,25.5,28.7,100,22,24.7,187,8,4.3,22,1.47,14.6
53, Lorient,fr Ligue 1,2,15,28,4,0,5,2,21.8,0.32,-4.2,-0.28,55,150,36.7,408,44,29.7,31.2,96,30.2,27,217,17,7.8,11,0.73,11.6
54, Lyon,fr Ligue 1,2,15,16,0,0,4,2,17.7,0.35,3.7,0.25,45,132,34.1,445,55,24.5,28,96,24,24.7,181,11,6.1,24,1.6,16.4
55, Mainz 05,de Bundesliga,3,13,24,1,0,2,2,19.6,0.3,-2.4,-0.18,88,283,31.1,410,31,56.3,27.5,94,55.3,47,152,12,7.9,22,1.7,13.8
56, Mallorca,es La Liga,2,15,22,2,1,2,0,23,0.3,1,0.07,103,265,38.9,384,54,51.8,42.5,119,55.5,43.7,251,12,4.8,17,1.13,15.1
