,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,
Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1, Alavés,es La Liga,23,16,296,175,146,116,34,141,290,48.6,149,183,55,128,139,435,379,6
2, Angers,fr Ligue 1,25,16,301,191,159,117,25,149,254,58.7,105,187,48,139,158,459,400,11
3, Arsenal,eng Premier League,24,16,251,144,103,102,46,108,195,55.4,87,148,41,107,109,360,373,7
4, Aston Villa,eng Premier League,23,16,257,156,120,110,27,128,244,52.5,116,166,65,101,93,350,372,14
5, Atalanta,it Serie A,23,15,221,130,92,92,37,114,203,56.2,89,137,41,96,96,317,324,7
6, Athletic Club,es La Liga,25,17,259,164,86,125,48,138,281,49.1,143,182,37,145,145,404,400,15
7, Atlético Madrid,es La Liga,23,17,271,167,136,94,41,139,298,46.6,159,160,38,122,136,407,359,11
8, Augsburg,de Bundesliga,23,14,219,135,106,83,30,112,208,53.8,96,189,55,134,132,351,431,10
9, Auxerre,fr Ligue 1,25,16,285,175,139,111,35,122,219,55.7,97,161,37,124,161,446,331,9
10, Barcelona,es La Liga,25,17,281,163,113,118,50,129,231,55.8,102,162,35,127,116,397,293,7
11, Bayern Munich,de Bundesliga,23,14,160,100,71,62,27,71,158,44.9,87,135,41,94,107,267,237,14
12, Betis,es La Liga,26,16,276,157,130,101,45,128,281,45.6,153,151,42,109,144,420,511,8
13, Bologna,it Serie A,27,15,221,131,98,93,30,105,182,57.7,77,122,36,86,107,328,340,14
14, Bournemouth,eng Premier League,24,16,276,157,126,106,44,145,266,54.5,121,188,51,137,141,417,494,8
15, Brentford,eng Premier League,21,16,260,155,108,111,41,119,219,54.3,100,187,64,123,133,393,506,8
16, Brest,fr Ligue 1,26,16,287,182,119,113,55,143,280,51.1,137,166,48,118,144,431,366,10
17, Brighton,eng Premier League,25,16,307,188,123,125,59,154,325,47.4,171,163,42,121,123,430,368,9
18, Burnley,eng Premier League,24,16,268,152,125,111,32,117,225,52,108,195,64,131,160,428,515,13
19, Cagliari,it Serie A,25,15,245,135,131,93,21,130,240,54.2,110,131,47,84,128,373,383,15
20, Celta Vigo,es La Liga,25,16,263,152,120,102,41,136,240,56.7,104,151,49,102,127,390,414,16
21, Chelsea,eng Premier League,25,16,252,152,116,98,38,130,216,60.2,86,142,40,102,159,411,361,13
22, Como,it Serie A,23,15,255,147,111,109,35,105,217,48.4,112,158,50,108,111,366,336,8
23, Cremonese,it Serie A,27,15,244,130,119,95,30,118,208,56.7,90,163,68,95,105,349,479,15
24, Crystal Palace,eng Premier League,22,16,315,201,166,113,36,139,260,53.5,121,172,40,132,150,465,543,10
25, Dortmund,de Bundesliga,23,14,197,123,85,79,33,95,171,55.6,76,168,38,130,106,303,367,11
26, Eint Frankfurt,de Bundesliga,23,14,243,141,113,95,35,126,206,61.2,80,146,28,118,127,370,365,11
27, Elche,es La Liga,27,16,269,163,144,97,28,138,234,59,96,139,53,86,129,398,366,13
28, Espanyol,es La Liga,22,16,250,156,120,90,40,125,264,47.3,139,175,66,109,131,381,397,5
29, Everton,eng Premier League,19,16,264,158,127,96,41,131,237,55.3,106,201,74,127,125,389,480,19
30, Fiorentina,it Serie A,25,15,208,115,93,90,25,97,176,55.1,79,155,49,106,126,334,314,8
31, Freiburg,de Bundesliga,23,14,200,117,96,87,17,96,156,61.5,60,138,47,91,124,324,335,15
32, Fulham,eng Premier League,23,16,278,160,151,97,30,133,224,59.4,91,157,55,102,123,401,464,12
33, Genoa,it Serie A,24,15,255,168,117,112,26,124,202,61.4,78,158,53,105,106,361,420,6
34, Getafe,es La Liga,24,16,286,180,133,120,33,151,285,53,134,182,35,147,122,408,449,7
35, Girona,es La Liga,29,16,219,131,121,76,22,94,207,45.4,113,150,58,92,133,352,435,17
36, Gladbach,de Bundesliga,25,14,261,144,130,106,25,128,216,59.3,88,146,53,93,113,374,483,3
37, Hamburger SV,de Bundesliga,26,14,207,107,117,75,15,102,187,54.5,85,156,52,104,106,313,428,11
38, Heidenheim,de Bundesliga,25,14,194,118,115,59,20,106,216,49.1,110,167,54,113,136,330,443,10
39, Hellas Verona,it Serie A,25,15,291,168,139,126,26,141,244,57.8,103,193,64,129,157,448,414,5
40, Hoffenheim,de Bundesliga,23,14,223,143,101,88,34,108,216,50,108,187,52,135,113,336,457,5
41, Inter,it Serie A,24,15,209,134,96,74,39,94,171,55,77,124,32,92,94,303,292,3
42, Juventus,it Serie A,24,15,220,126,80,106,34,84,151,55.6,67,115,40,75,102,322,304,15
43, Köln,de Bundesliga,22,14,189,124,94,78,17,91,173,52.6,82,150,56,94,112,301,430,6
44, Lazio,it Serie A,24,15,203,108,95,85,23,90,176,51.1,86,137,43,94,134,337,322,14
45, Le Havre,fr Ligue 1,25,16,252,133,114,102,36,137,251,54.6,114,167,51,116,146,398,416,11
46, Lecce,it Serie A,23,15,271,147,130,108,33,134,240,55.8,106,151,46,105,85,356,401,14
47, Leeds United,eng Premier League,23,16,293,180,127,122,44,149,269,55.4,120,164,46,118,142,435,441,6
48, Lens,fr Ligue 1,22,16,308,180,144,108,56,167,304,54.9,137,224,67,157,171,479,369,5
49, Levante,es La Liga,25,15,251,141,118,99,34,145,258,56.2,113,183,70,113,121,372,467,10
50, Leverkusen,de Bundesliga,25,14,189,119,92,63,34,78,135,57.8,57,128,31,97,94,283,297,12
51, Lille,fr Ligue 1,28,16,232,142,100,95,37,130,228,57,98,156,37,119,133,365,336,15
52, Liverpool,eng Premier League,22,16,222,142,103,84,35,114,212,53.8,98,166,50,116,102,324,474,13
53, Lorient,fr Ligue 1,23,16,227,146,118,88,21,113,214,52.8,101,123,40,83,148,375,397,6
54, Lyon,fr Ligue 1,25,16,221,125,100,85,36,113,215,52.6,102,165,55,110,119,340,362,11
55, Mainz 05,de Bundesliga,26,14,181,110,88,65,28,82,166,49.4,84,196,61,135,154,335,416,7
56, Mallorca,es La Liga,25,16,221,121,119,81,21,113,224,50.4,111,184,63,121,109,330,460,7
57, Manchester City,eng Premier League,23,16,214,128,94,81,39,100,178,56.2,78,141,47,94,121,335,420,16
58, Manchester Utd,eng Premier League,21,16,282,165,117,121,44,132,255,51.8,123,157,42,115,118,400,420,11
59, Marseille,fr Ligue 1,30,16,215,122,72,101,42,106,208,51,102,133,43,90,119,334,285,10
60, Metz,fr Ligue 1,27,16,275,170,159,85,31,149,271,55,122,154,45,109,101,376,357,12
61, Milan,it Serie A,24,15,203,125,118,58,27,108,180,60,72,117,44,73,87,290,371,11
62, Monaco,fr Ligue 1,28,16,272,163,117,110,45,127,263,48.3,136,208,68,140,180,452,361,14
63, Nantes,fr Ligue 1,24,16,239,141,133,80,26,120,216,55.6,96,170,66,104,102,341,467,14
64, Napoli,it Serie A,25,15,207,125,82,91,34,85,155,54.8,70,119,40,79,108,315,257,6
65, Newcastle Utd,eng Premier League,24,16,216,146,91,103,22,102,224,45.5,122,163,48,115,110,326,462,11
66, Nice,fr Ligue 1,27,16,227,135,124,77,26,98,206,47.6,108,168,74,94,140,367,436,12
67, Nott'ham Forest,eng Premier League,27,16,284,168,133,89,62,149,276,54,127,185,63,122,125,409,397,18
68, Osasuna,es La Liga,21,16,246,141,136,88,22,132,241,54.8,109,167,54,113,121,367,471,7
69, Oviedo,es La Liga,27,16,272,170,159,98,15,142,263,54,121,160,61,99,121,393,478,17
70, Paris FC,fr Ligue 1,25,16,236,139,112,92,32,110,189,58.2,79,130,48,82,116,352,387,17
71, Paris S-G,fr Ligue 1,23,16,233,147,74,102,57,125,219,57.1,94,149,38,111,95,328,224,9
