,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,
Rk,Squad,Comp,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1, Alavés,es La Liga,23,15,292,19.47,212,29,17,14,14,6,17,1.13,9,0,1,3,3,1
2, Angers,fr Ligue 1,25,15,219,14.6,172,15,10,13,4,5,21,1.4,16,0,1,3,1,0
3, Arsenal,eng Premier League,23,15,372,24.8,266,26,22,35,19,4,51,3.4,36,3,4,4,3,1
4, Aston Villa,eng Premier League,23,15,314,20.93,230,28,13,24,13,6,37,2.47,23,4,2,4,3,1
5, Atalanta,it Serie A,23,14,366,26.14,273,26,21,29,12,5,25,1.79,18,1,0,4,0,2
6, Athletic Club,es La Liga,25,16,348,21.75,255,32,16,20,15,10,25,1.56,13,1,4,2,3,2
7, Atlético Madrid,es La Liga,23,16,377,23.56,291,25,25,18,13,5,43,2.69,27,1,4,7,4,0
8, Augsburg,de Bundesliga,23,13,273,21,200,22,15,19,10,7,27,2.08,21,2,1,2,1,0
9, Auxerre,fr Ligue 1,25,15,280,18.67,200,28,13,18,12,9,15,1,11,1,0,1,1,1
10, Barcelona,es La Liga,25,16,580,36.25,451,31,36,36,17,9,84,5.25,66,5,6,5,1,1
11, Bayern Munich,de Bundesliga,22,13,455,35,380,17,22,20,12,4,87,6.69,64,4,8,6,4,1
12, Betis,es La Liga,26,15,396,26.4,309,25,27,16,11,8,42,2.8,30,2,3,5,2,0
13, Bologna,it Serie A,27,14,338,24.14,253,31,13,24,10,7,39,2.79,33,2,0,1,2,1
14, Bournemouth,eng Premier League,24,15,344,22.93,259,16,20,21,16,12,35,2.33,26,2,3,1,2,1
15, Brentford,eng Premier League,21,15,253,16.87,172,36,11,14,15,5,34,2.27,22,4,3,1,4,0
16, Brest,fr Ligue 1,26,15,308,20.53,207,28,15,26,21,11,32,2.13,22,1,3,2,4,0
17, Brighton,eng Premier League,25,15,342,22.8,239,26,26,29,14,8,38,2.53,23,1,4,8,2,0
18, Burnley,eng Premier League,23,15,216,14.4,157,19,5,14,16,5,27,1.8,19,1,1,5,1,0
19, Cagliari,it Serie A,25,14,238,17,166,26,14,13,14,5,25,1.79,15,3,1,3,2,1
20, Celta Vigo,es La Liga,25,15,296,19.73,241,21,9,10,8,7,33,2.2,23,2,1,4,2,1
21, Chelsea,eng Premier League,25,15,360,24,276,21,18,27,10,8,47,3.13,32,5,4,4,1,1
22, Como,it Serie A,23,14,351,25.07,261,25,21,21,16,7,35,2.5,28,1,2,2,2,0
23, Cremonese,it Serie A,27,14,203,14.5,129,26,10,18,15,5,33,2.36,19,5,1,4,3,1
24, Crystal Palace,eng Premier League,22,15,294,19.6,202,36,12,27,12,5,34,2.27,22,3,0,5,3,1
25, Dortmund,de Bundesliga,23,13,292,22.46,225,19,18,14,11,5,44,3.38,37,1,2,2,2,0
26, Eint Frankfurt,de Bundesliga,23,13,310,23.85,244,28,9,8,17,4,50,3.85,39,3,3,3,2,0
27, Elche,es La Liga,27,15,291,19.4,226,18,19,18,7,3,29,1.93,22,2,3,1,1,0
28, Espanyol,es La Liga,22,15,347,23.13,246,42,12,23,23,1,35,2.33,25,4,0,2,4,0
29, Everton,eng Premier League,19,15,284,18.93,208,26,16,14,17,3,29,1.93,23,1,2,2,1,0
30, Fiorentina,it Serie A,25,14,283,20.21,187,31,14,23,24,4,15,1.07,7,0,1,5,1,1
31, Freiburg,de Bundesliga,23,13,282,21.69,197,34,9,19,18,5,30,2.31,20,3,1,3,3,0
32, Fulham,eng Premier League,23,15,305,20.33,237,23,15,21,7,2,25,1.67,18,1,1,4,1,0
33, Genoa,it Serie A,24,13,290,22.31,185,37,12,29,23,4,23,1.77,14,2,2,2,3,0
34, Getafe,es La Liga,24,15,233,15.53,134,38,13,23,18,7,23,1.53,11,3,3,4,2,0
35, Girona,es La Liga,29,15,247,16.47,176,21,18,13,15,4,23,1.53,16,1,2,1,3,0
36, Gladbach,de Bundesliga,24,13,270,20.77,197,29,7,17,11,9,25,1.92,17,3,0,2,1,2
37, Hamburger SV,de Bundesliga,26,13,312,24,224,25,21,23,14,5,24,1.85,13,3,4,2,1,1
38, Heidenheim,de Bundesliga,25,13,249,19.15,173,31,10,16,16,3,21,1.62,16,1,1,1,1,1
39, Hellas Verona,it Serie A,25,14,276,19.71,189,24,18,26,11,8,14,1,7,1,1,2,2,1
40, Hoffenheim,de Bundesliga,22,13,301,23.15,223,31,12,17,15,3,39,3,31,1,2,2,3,0
