,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Rk,Squad,Comp,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1, Alavés,es La Liga,1,18,18,"1,620",18,21,1.17,67,46,71.6,5,4,9,3,16.7,2,2,0,0,0
2, Angers,fr Ligue 1,2,17,17,"1,530",17,20,1.18,89,67,78.7,6,4,7,5,29.4,4,1,2,1,66.7
3, Arsenal,eng Premier League,1,20,20,"1,800",20,14,0.7,46,32,69.6,15,3,2,9,45,0,0,0,0,
4, Aston Villa,eng Premier League,2,20,20,"1,800",20,24,1.2,79,55,70.9,13,3,4,5,25,2,1,1,0,50
5, Atalanta,it Serie A,1,18,18,"1,620",18,19,1.06,70,51,74.3,6,7,5,5,27.8,2,1,1,0,50
6, Athletic Club,es La Liga,1,19,19,"1,710",19,25,1.32,74,50,66.2,7,3,9,5,26.3,0,0,0,0,
7, Atlético Madrid,es La Liga,2,19,19,"1,710",19,17,0.89,57,40,71.9,11,5,3,7,36.8,2,1,0,1,0
8, Augsburg,de Bundesliga,1,15,15,"1,350",15,28,1.87,65,37,60,4,2,9,3,20,3,2,1,0,33.3
9, Auxerre,fr Ligue 1,2,17,17,"1,530",17,27,1.59,78,52,66.7,3,3,11,3,17.6,2,1,1,0,50
10, Barcelona,es La Liga,2,19,19,"1,710",19,20,1.05,69,48,75.4,16,1,2,7,36.8,4,3,1,0,25
11, Bayern Munich,de Bundesliga,2,15,15,"1,350",15,11,0.73,26,15,57.7,13,2,0,8,53.3,1,0,0,1,
12, Betis,es La Liga,2,18,18,"1,620",18,24,1.33,76,52,69.7,7,7,4,6,33.3,3,1,1,1,50
13, Bologna,it Serie A,3,17,17,"1,530",17,17,1,65,48,76.9,7,5,5,6,35.3,2,2,0,0,0
14, Bournemouth,eng Premier League,1,20,20,"1,800",20,38,1.9,92,55,62,5,8,7,5,25,3,3,0,0,0
15, Brentford,eng Premier League,1,20,20,"1,800",20,28,1.4,82,54,68.3,9,3,8,4,20,4,2,2,0,50
16, Brest,fr Ligue 1,2,17,17,"1,526",17,27,1.59,73,47,65.8,6,4,7,5,29.4,2,2,0,0,0
17, Brighton,eng Premier League,1,20,20,"1,800",20,27,1.35,81,56,70.4,7,7,6,5,25,4,3,1,0,25
18, Burnley,eng Premier League,1,20,20,"1,800",20,39,1.95,105,69,67.6,3,3,14,3,15,5,5,0,0,0
19, Cagliari,it Serie A,1,18,18,"1,620",18,25,1.39,92,67,73.9,4,6,8,3,16.7,1,1,0,0,0
20, Celta Vigo,es La Liga,1,18,18,"1,620",18,20,1.11,80,59,77.5,6,8,4,4,22.2,7,2,2,3,50
21, Chelsea,eng Premier League,2,20,20,"1,798",20,22,1.1,69,47,68.1,8,7,5,8,40,0,0,0,0,
22, Como,it Serie A,1,18,18,"1,620",18,12,0.67,64,51,82.8,9,6,3,9,50,2,1,1,0,50
23, Cremonese,it Serie A,2,18,18,"1,620",18,21,1.17,95,74,80,5,6,7,5,27.8,2,2,0,0,0
24, Crystal Palace,eng Premier League,1,20,20,"1,800",20,23,1.15,76,53,72.4,7,6,7,7,35,2,2,0,0,0
25, Dortmund,de Bundesliga,1,15,15,"1,350",15,12,0.8,47,35,76.6,9,5,1,8,53.3,1,1,0,0,0
26, Eint Frankfurt,de Bundesliga,2,15,15,"1,350",15,30,2,61,31,54.1,7,4,4,3,20,2,2,0,0,0
27, Elche,es La Liga,2,18,18,"1,620",18,23,1.28,81,58,74.1,5,7,6,5,27.8,2,2,0,0,0
28, Espanyol,es La Liga,1,18,18,"1,620",18,19,1.06,77,59,76.6,10,3,5,7,38.9,1,1,0,0,0
29, Everton,eng Premier League,1,20,20,"1,800",20,24,1.2,78,53,71.8,8,4,8,8,40,3,2,1,0,33.3
30, Fiorentina,it Serie A,1,18,18,"1,620",18,28,1.56,82,53,69.5,2,6,10,3,16.7,4,3,1,0,25
31, Freiburg,de Bundesliga,1,15,15,"1,350",15,26,1.73,60,33,56.7,5,5,5,4,26.7,1,0,1,0,100
