,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,
Rk,Squad,Comp,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1, Alavés,es La Liga,24,18,44,2,2,279,243,41,347,151,193,2,2,0,779,293,299,49.5
2, Angers,fr Ligue 1,25,17,23,1,0,194,186,31,240,168,203,1,4,0,721,182,204,47.2
3, Arsenal,eng Premier League,24,20,27,0,0,199,211,31,369,140,177,2,0,0,795,315,303,51
4, Aston Villa,eng Premier League,26,20,32,1,0,204,281,22,303,118,180,0,2,1,718,230,229,50.1
5, Atalanta,it Serie A,23,18,27,1,1,199,177,28,349,125,164,0,2,1,766,230,238,49.1
6, Athletic Club,es La Liga,25,19,40,4,0,255,222,22,436,166,177,4,0,1,856,259,269,49.1
7, Atlético Madrid,es La Liga,23,19,35,2,1,218,185,42,395,148,186,2,2,0,792,278,244,53.3
8, Augsburg,de Bundesliga,23,15,45,1,1,190,173,38,265,136,142,1,3,1,634,233,251,48.1
9, Auxerre,fr Ligue 1,26,17,39,6,3,233,233,21,285,176,185,3,2,2,682,207,239,46.4
10, Barcelona,es La Liga,25,19,28,2,2,180,216,40,263,131,178,4,4,0,761,211,150,58.4
11, Bayern Munich,de Bundesliga,25,15,33,0,0,142,131,38,245,115,108,3,1,0,672,149,143,51
12, Betis,es La Liga,26,18,35,1,0,187,230,27,296,161,175,1,3,1,789,231,218,51.4
13, Bologna,it Serie A,27,17,35,2,1,261,258,34,322,126,151,1,2,0,652,229,250,47.8
14, Bournemouth,eng Premier League,24,20,48,1,0,251,200,41,427,177,209,1,3,1,876,311,377,45.2
15, Brentford,eng Premier League,22,20,39,0,0,208,175,36,334,178,188,6,4,2,872,390,356,52.3
16, Brest,fr Ligue 1,26,17,31,3,0,231,177,21,284,152,196,4,2,1,691,269,239,53
17, Brighton,eng Premier League,26,20,49,0,0,242,205,35,334,157,229,3,4,3,858,277,279,49.8
18, Burnley,eng Premier League,25,20,32,2,1,202,170,29,254,188,201,1,5,3,722,333,390,46.1
19, Cagliari,it Serie A,25,18,43,0,0,282,264,30,241,152,167,1,1,0,597,208,249,45.5
20, Celta Vigo,es La Liga,25,18,34,1,1,210,201,35,217,143,164,3,7,1,693,147,171,46.2
21, Chelsea,eng Premier League,25,20,46,4,1,235,236,28,347,203,199,1,0,0,820,294,246,54.4
