,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,
Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1, Alavés,es La Liga,24,20,9053,8061,951,282,18,42,397,379,96,22,49,0,7113,41,186
2, Angers,fr Ligue 1,25,18,7464,6696,737,207,21,30,258,281,64,35,19,2,5972,31,137
3, Arsenal,eng Premier League,24,22,11213,10333,847,229,76,33,409,361,118,96,7,0,9284,33,164
4, Aston Villa,eng Premier League,26,22,10053,9031,1000,353,46,37,338,320,105,66,8,0,8298,22,186
5, Atalanta,it Serie A,24,21,10710,9778,895,248,23,54,395,368,116,72,34,0,8879,37,145
6, Athletic Club,es La Liga,25,20,8911,7939,950,293,23,51,462,402,107,37,40,1,6983,22,175
7, Atlético Madrid,es La Liga,23,20,10504,9562,900,213,37,60,419,363,129,40,57,0,8732,42,167
8, Augsburg,de Bundesliga,25,18,7320,6499,781,224,14,21,331,308,68,30,21,0,5679,40,156
9, Auxerre,fr Ligue 1,28,18,7127,6295,811,257,16,49,297,312,87,17,53,0,5642,21,123
10, Barcelona,es La Liga,26,20,12960,12040,880,300,50,43,284,327,135,72,7,0,11403,40,175
11, Bayern Munich,de Bundesliga,27,18,12293,11553,701,166,69,84,291,326,93,60,1,1,10912,39,137
12, Bologna,it Serie A,27,21,8926,7950,937,323,13,79,418,372,92,21,48,0,7102,39,136
13, Bournemouth,eng Premier League,24,22,9613,8594,974,227,32,36,454,407,118,85,6,0,7392,45,185
14, Brentford,eng Premier League,23,22,8915,7984,894,203,25,25,385,395,103,68,20,3,6791,37,124
15, Brest,fr Ligue 1,26,18,7219,6425,773,211,27,70,292,317,77,35,33,0,5578,21,117
16, Brighton,eng Premier League,26,22,10548,9632,878,226,23,58,366,341,98,78,4,1,8668,38,158
17, Burnley,eng Premier League,25,22,8658,7670,956,207,26,68,267,376,77,62,3,1,6523,32,184
18, Cagliari,it Serie A,26,21,8545,7530,983,321,15,47,294,365,69,22,36,0,6771,32,142
19, Celta Vigo,es La Liga,26,20,9972,9063,874,267,63,69,226,347,72,21,32,0,8363,35,162
20, Chelsea,eng Premier League,25,22,11664,10702,932,279,52,34,380,336,124,91,3,0,9802,30,164
21, Como,it Serie A,24,21,10391,9496,878,271,30,56,320,385,76,16,38,0,8774,17,160
22, Cremonese,it Serie A,27,21,8390,7381,977,287,11,44,333,379,65,33,29,0,6378,32,145
23, Crystal Palace,eng Premier League,25,22,8676,7760,873,218,45,48,332,361,82,70,6,0,6498,43,172
24, Dortmund,de Bundesliga,23,18,8764,8006,737,200,17,48,321,317,83,57,12,0,7236,21,141
25, Eintracht Frankfurt,de Bundesliga,27,18,8760,7977,763,189,17,39,285,335,75,55,9,0,7120,20,163
26, Elche,es La Liga,27,20,10886,9983,870,315,10,54,317,307,64,13,12,0,9294,33,123
27, Espanyol,es La Liga,22,20,7417,6510,878,237,18,37,427,381,81,29,43,2,5639,29,135
28, Everton,eng Premier League,20,22,8711,7726,961,259,38,53,386,404,88,67,7,1,6620,24,179
29, Fiorentina,it Serie A,27,21,9314,8341,937,322,24,28,413,324,94,55,29,0,7560,36,121
30, Freiburg,de Bundesliga,24,18,7800,7018,744,216,10,31,341,319,73,62,7,0,6202,38,128
31, Fulham,eng Premier League,23,22,10861,9836,986,250,21,75,387,424,95,59,21,1,8859,39,201
32, Genoa,it Serie A,27,21,8105,7079,994,321,15,35,346,405,67,37,23,0,6182,32,150
33, Getafe,es La Liga,28,20,6728,5620,1063,324,13,53,423,477,87,34,37,1,4566,45,163
34, Girona,es La Liga,29,20,8976,8039,898,281,25,39,263,314,74,28,29,0,7420,39,151
35, Gladbach,de Bundesliga,26,18,7867,7131,704,195,18,23,288,278,76,44,21,0,6399,32,140
36, Hamburger SV,de Bundesliga,27,17,7111,6324,751,220,24,57,314,291,60,42,7,0,5653,36,135
37, Heidenheim,de Bundesliga,26,18,6677,5918,730,175,13,46,311,279,79,31,27,1,5083,29,129
38, Hellas Verona,it Serie A,28,21,6899,6068,797,171,20,31,311,365,68,38,26,0,4940,34,136
39, Hoffenheim,de Bundesliga,23,17,7681,6969,684,156,20,25,305,325,76,43,16,1,6007,28,153
40, Inter,it Serie A,25,21,10943,10063,845,230,18,65,502,348,129,48,68,0,9228,35,176
41, Juventus,it Serie A,24,21,11326,10451,844,201,33,49,422,388,98,38,27,0,9559,31,173
42, Köln,de Bundesliga,25,18,7545,6757,760,200,19,29,323,303,62,30,26,0,6036,28,125
43, Lazio,it Serie A,26,21,10274,9321,940,350,29,52,285,323,76,37,31,0,8635,13,166
