,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,
Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP
1, Alavés,es La Liga,23,16,5872,7488,78.4,100761,38033,2867,3210,89.3,2283,2715,84.1,544,1088,50,6,11.1,10,-5.1,125,466,84,34,517
2, Angers,fr Ligue 1,25,16,5628,7000,80.4,97186,34883,2550,2876,88.7,2434,2786,87.4,496,974,50.9,7,11.3,9.4,-4.3,107,296,84,25,423
3, Arsenal,eng Premier League,24,16,7160,8650,82.8,124285,38289,3167,3522,89.9,3367,3782,89,509,1006,50.6,21,17.4,18.3,3.6,160,596,159,23,722
4, Aston Villa,eng Premier League,23,16,6270,7627,82.2,109371,37905,2800,3090,90.6,2755,3110,88.6,547,1034,52.9,18,13.4,12.8,4.6,140,486,127,24,579
5, Atalanta,it Serie A,23,15,6924,8264,83.8,123657,41220,3043,3374,90.2,3128,3495,89.5,646,1089,59.3,12,14.4,17,-2.4,168,540,150,29,695
6, Athletic Club,es La Liga,25,17,6148,7852,78.3,110469,40039,2701,3098,87.2,2742,3231,84.9,604,1175,51.4,7,15.1,15,-8.1,155,553,136,43,712
7, Atlético Madrid,es La Liga,23,17,7805,9414,82.9,137779,47493,3510,3855,91.1,3343,3802,87.9,759,1279,59.3,17,21.8,21.2,-4.8,169,615,185,45,746
8, Augsburg,de Bundesliga,23,14,4831,6269,77.1,87652,33384,2088,2425,86.1,2168,2504,86.6,494,1030,48,11,11.4,12.8,-0.4,127,405,97,39,485
9, Auxerre,fr Ligue 1,25,16,5243,6632,79.1,95541,34917,2258,2558,88.3,2224,2558,86.9,609,1164,52.3,7,12.1,10.9,-5.1,130,454,86,27,491
10, Barcelona,es La Liga,25,17,10130,11530,87.9,161081,50240,5019,5391,93.1,4273,4681,91.3,527,865,60.9,36,27.6,28.1,8.4,254,875,204,25,900
11, Bayern Munich,de Bundesliga,23,14,9496,10714,88.6,151829,46381,4923,5251,93.8,3572,3885,91.9,684,1014,67.5,39,28.8,31.3,10.2,213,853,190,24,850
12, Betis,es La Liga,26,16,6657,8103,82.2,110086,39473,3222,3526,91.4,2559,2961,86.4,577,1063,54.3,19,18.7,15.3,0.3,187,472,137,31,643
13, Bologna,it Serie A,27,15,5818,7240,80.4,116016,38333,1981,2241,88.4,2913,3310,88,822,1357,60.6,14,14.3,11.9,-0.3,149,517,114,39,558
14, Bournemouth,eng Premier League,24,16,5892,7575,77.8,103291,35968,2648,3006,88.1,2563,2972,86.2,540,1179,45.8,14,13.1,12.6,0.9,141,557,137,38,619
15, Brentford,eng Premier League,21,16,4857,6467,75.1,90027,34253,2017,2368,85.2,2158,2586,83.4,562,1201,46.8,9,12.7,10.7,-3.7,108,357,96,27,426
16, Brest,fr Ligue 1,26,16,5183,6727,77,103593,37112,1925,2248,85.6,2422,2832,85.5,754,1354,55.7,13,14.6,13,-1.6,130,394,100,37,457
17, Brighton,eng Premier League,25,16,6532,7962,82,113761,38752,2991,3312,90.3,2836,3209,88.4,559,1039,53.8,15,17.5,13.5,-2.5,153,512,117,38,594
18, Burnley,eng Premier League,24,16,4986,6584,75.7,86540,31871,2414,2718,88.8,1968,2355,83.6,455,1093,41.6,12,9.9,9.1,2.1,99,382,91,27,405
19, Cagliari,it Serie A,25,15,4761,6091,78.2,84596,32274,2089,2376,87.9,2112,2483,85.1,452,922,49,12,10.8,8,1.2,109,290,73,32,379
20, Celta Vigo,es La Liga,25,16,7373,8761,84.2,130278,42308,3107,3385,91.8,3500,3882,90.2,605,1074,56.3,14,14.8,15.4,-0.8,136,585,120,17,660
21, Chelsea,eng Premier League,25,16,7637,9049,84.4,131314,41814,3534,3848,91.8,3453,3813,90.6,536,1063,50.4,21,21.5,18.9,-0.5,170,574,130,24,645
22, Como,it Serie A,23,15,6906,8157,84.7,118292,39677,3141,3429,91.6,3060,3409,89.8,533,920,57.9,15,14.9,12.3,0.1,160,458,104,26,557
23, Cremonese,it Serie A,27,15,4738,6285,75.4,87015,32989,2011,2298,87.5,2094,2479,84.5,527,1143,46.1,14,11.8,8.7,2.2,93,327,69,25,413
24, Crystal Palace,eng Premier League,22,16,4858,6476,75,88271,33900,2086,2435,85.7,2168,2559,84.7,510,1139,44.8,11,16.7,15.1,-5.7,120,361,104,27,488
25, Dortmund,de Bundesliga,23,14,6151,7489,82.1,108993,36586,2565,2875,89.2,2982,3347,89.1,487,938,51.9,19,16.7,25.2,2.3,128,527,145,36,665
26, Eint Frankfurt,de Bundesliga,23,14,6320,7755,81.5,111481,39636,2798,3119,89.7,2874,3292,87.3,546,1002,54.5,22,15.7,16.7,6.3,145,507,117,27,603
27, Elche,es La Liga,27,16,7798,9124,85.5,126420,44374,3969,4263,93.1,3055,3367,90.7,547,1047,52.2,13,12.8,13,0.2,141,586,115,38,624
28, Espanyol,es La Liga,22,16,4846,6350,76.3,86816,34740,2158,2458,87.8,2102,2514,83.6,479,1083,44.2,15,17.1,17.7,-2.1,156,393,110,44,514
29, Everton,eng Premier League,19,16,5170,6761,76.5,95318,34690,2216,2533,87.5,2329,2768,84.1,545,1130,48.2,14,15,14.1,-1,129,441,123,34,535
30, Fiorentina,it Serie A,25,15,5260,6607,79.6,95856,34324,2130,2403,88.6,2537,2929,86.6,510,1018,50.1,4,11.1,10.1,-7.1,116,393,93,38,467
31, Freiburg,de Bundesliga,23,14,5426,6833,79.4,98703,34922,2276,2584,88.1,2424,2807,86.4,582,1090,53.4,11,14.8,16.6,-3.8,132,402,97,35,477
32, Fulham,eng Premier League,23,16,6513,8041,81,115299,38888,2804,3134,89.5,2979,3367,88.5,600,1136,52.8,14,13.1,13.4,0.9,137,476,128,31,590
33, Genoa,it Serie A,24,15,4651,6127,75.9,85350,31681,1903,2238,85,2170,2582,84,486,989,49.1,11,14.1,10.6,-3.1,127,348,78,29,430
