,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,Team Success (xG),,,
Rk,Squad,Comp,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1, Alavés,es La Liga,24,27.9,18,"1,620",90,100,18,198,80,111,87,22,115,1.06,15,21,-6,-0.33,19.4,21.2,-1.8,-0.1
2, Angers,fr Ligue 1,25,26.1,17,"1,530",90,100,17,187,82,106,80,19,73,1.29,18,20,-2,-0.12,16.7,28.2,-11.4,-0.67
3, Arsenal,eng Premier League,24,26.5,20,"1,800",90,100,20,220,81,136,85,22,95,2.4,40,14,26,1.3,35.3,14.5,20.8,1.04
4, Aston Villa,eng Premier League,26,28.4,20,"1,800",90,100,20,220,82,129,94,19,86,2.1,33,24,9,0.45,23.3,28.7,-5.3,-0.27
5, Atalanta,it Serie A,23,27.3,18,"1,620",90,100,18,198,80,114,83,24,126,1.39,21,19,2,0.11,24.8,17.5,7.4,0.41
6, Athletic Club,es La Liga,25,27.8,19,"1,710",90,100,19,209,79,115,93,24,126,1.26,17,25,-8,-0.42,25.7,19.2,6.5,0.34
7, Atlético Madrid,es La Liga,23,28.1,19,"1,710",90,100,19,209,79,118,94,24,133,2,34,17,17,0.89,30.4,22.3,8.1,0.42
8, Augsburg,de Bundesliga,23,26.1,15,"1,350",90,100,15,165,81,95,69,22,64,0.93,17,28,-11,-0.73,16.7,26,-9.3,-0.62
9, Auxerre,fr Ligue 1,26,25.3,17,"1,530",90,100,17,187,83,110,71,18,80,0.71,14,27,-13,-0.76,20.3,24,-3.6,-0.21
10, Barcelona,es La Liga,25,25.3,19,"1,710",90,100,19,209,81,118,89,21,119,2.58,53,20,33,1.74,43.3,24.9,18.4,0.97
11, Bayern Munich,de Bundesliga,25,28.4,15,"1,350",90,100,15,165,81,97,69,21,66,2.73,55,11,44,2.93,43.6,10.5,33.1,2.21
12, Betis,es La Liga,26,28.1,18,"1,620",90,100,18,198,82,120,78,21,117,1.56,30,24,6,0.33,27.1,22.6,4.4,0.25
13, Bologna,it Serie A,27,27.1,17,"1,530",90,100,17,187,79,101,85,23,149,1.53,25,17,8,0.47,22.9,21.4,1.5,0.09
14, Bournemouth,eng Premier League,24,25.8,20,"1,800",90,100,20,220,81,128,93,20,87,1.15,31,38,-7,-0.35,30.8,30,0.7,0.04
15, Brentford,eng Premier League,22,25.7,20,"1,800",90,100,20,220,84,138,82,16,98,1.5,32,28,4,0.2,30.7,26.2,4.5,0.23
16, Brest,fr Ligue 1,26,27.2,17,"1,530",90,100,17,187,83,121,64,19,85,1.29,23,27,-4,-0.24,26.1,24.4,1.6,0.1
17, Brighton,eng Premier League,26,25.9,20,"1,800",90,100,20,220,81,125,95,21,85,1.4,30,27,3,0.15,31.7,27.4,4.3,0.21
18, Burnley,eng Premier League,25,27.8,20,"1,800",90,100,20,220,83,128,90,17,90,0.6,20,39,-19,-0.95,17.6,38.5,-20.9,-1.04
19, Cagliari,it Serie A,25,25.4,18,"1,620",90,100,18,198,80,109,89,22,152,1,19,25,-6,-0.33,16.4,26.8,-10.4,-0.58
20, Celta Vigo,es La Liga,25,26.7,18,"1,620",90,100,18,198,79,108,90,23,126,1.44,24,20,4,0.22,22.8,24.5,-1.7,-0.09
21, Chelsea,eng Premier League,25,24.7,20,"1,800",90,100,20,220,79,136,81,27,99,1.55,33,22,11,0.55,34.4,27.2,7.2,0.36
22, Como,it Serie A,24,25.8,18,"1,620",90,100,18,198,80,107,89,22,142,1.83,26,12,14,0.78,24.5,18.5,6,0.33
23, Cremonese,it Serie A,27,28.5,18,"1,620",90,100,18,198,81,114,84,21,133,1.17,18,21,-3,-0.17,16.8,27.7,-10.8,-0.6
24, Crystal Palace,eng Premier League,25,26.9,20,"1,800",90,100,20,220,85,148,72,16,108,1.35,22,23,-1,-0.05,31.8,25.7,6.1,0.31
25, Dortmund,de Bundesliga,23,27.1,15,"1,350",90,100,15,165,84,94,69,15,62,2.13,26,12,14,0.93,23,14.6,8.4,0.56
26, Eint Frankfurt,de Bundesliga,24,25.7,15,"1,350",90,100,15,165,80,92,74,22,61,1.67,30,30,0,0,22.2,19.4,2.8,0.19
27, Elche,es La Liga,27,27.1,18,"1,620",90,100,18,198,82,107,90,19,120,1.22,24,23,1,0.06,21.3,25.6,-4.3,-0.24
28, Espanyol,es La Liga,22,27.9,18,"1,620",90,100,18,198,82,109,87,18,125,1.83,22,19,3,0.17,26.4,21,5.4,0.3
29, Everton,eng Premier League,20,28.1,20,"1,800",90,100,20,220,84,154,65,19,113,1.4,22,24,-2,-0.1,22.7,29.5,-6.8,-0.34
30, Fiorentina,it Serie A,26,27.3,18,"1,620",90,100,18,198,80,110,87,23,142,0.67,18,28,-10,-0.56,26.1,23.8,2.4,0.13
31, Freiburg,de Bundesliga,23,27.6,15,"1,350",90,100,15,165,82,96,68,19,67,1.33,25,26,-1,-0.07,23.8,19.7,4,0.27
32, Fulham,eng Premier League,23,28.6,20,"1,800",90,100,20,220,82,127,94,18,86,1.4,28,29,-1,-0.05,22.3,26.6,-4.3,-0.21
33, Genoa,it Serie A,26,26.6,18,"1,620",90,100,18,198,81,116,80,21,172,0.83,18,28,-10,-0.56,22.5,20.6,1.8,0.1
34, Getafe,es La Liga,26,29.1,18,"1,620",90,100,18,198,82,126,71,22,108,1.17,14,23,-9,-0.5,12.8,18.6,-5.9,-0.33
35, Girona,es La Liga,29,27.9,18,"1,620",90,100,18,198,79,111,83,24,106,1,17,34,-17,-0.94,20.1,31,-10.9,-0.6
36, Gladbach,de Bundesliga,25,26.5,15,"1,350",90,100,15,165,82,95,69,17,66,1.07,18,24,-6,-0.4,19.4,21.8,-2.5,-0.16
37, Hamburger SV,de Bundesliga,26,26.4,15,"1,350",90,100,15,165,82,87,75,16,60,1.07,16,25,-9,-0.6,18.1,22.2,-4.1,-0.27
38, Heidenheim,de Bundesliga,25,27.3,15,"1,350",90,100,15,165,78,89,75,26,60,0.73,13,34,-21,-1.4,18.8,28.3,-9.5,-0.63
39, Hellas Verona,it Serie A,25,26.7,17,"1,530",90,100,17,187,81,106,82,22,153,0.71,13,28,-15,-0.88,17.5,22.7,-5.2,-0.3
40, Hoffenheim,de Bundesliga,23,27,15,"1,350",90,100,15,165,82,93,72,18,62,1.8,29,20,9,0.6,22.5,22.6,-0.1,-0.01
41, Inter,it Serie A,25,29.3,17,"1,530",90,100,17,187,82,105,82,19,130,2.29,38,15,23,1.35,31.3,15.2,16.1,0.95
42, Juventus,it Serie A,24,26.3,19,"1,710",90,100,19,209,82,118,90,18,121,1.89,27,16,11,0.58,29.8,15.8,14,0.74
43, Köln,de Bundesliga,22,25.9,15,"1,350",90,100,15,165,79,89,75,25,59,1.07,22,24,-2,-0.13,20.7,23.7,-3,-0.2
44, Lazio,it Serie A,24,29,18,"1,620",90,100,18,198,80,109,83,22,113,1.33,18,14,4,0.22,17.9,23.1,-5.2,-0.29
45, Le Havre,fr Ligue 1,26,27.8,17,"1,530",90,100,17,187,82,109,77,18,74,1.06,15,23,-8,-0.47,21.5,23.4,-1.9,-0.11
46, Lecce,it Serie A,25,25.9,18,"1,620",90,100,18,198,80,113,85,23,157,0.94,12,25,-13,-0.72,14.4,24,-9.7,-0.54
47, Leeds United,eng Premier League,23,27,20,"1,800",90,100,20,220,83,132,90,17,90,1.1,26,33,-7,-0.35,27.7,28.1,-0.4,-0.02
48, Lens,fr Ligue 1,22,27.5,17,"1,530",90,100,17,187,83,116,69,17,84,2.35,31,13,18,1.06,32.1,23.3,8.8,0.52
49, Levante,es La Liga,26,27.1,17,"1,530",90,100,17,187,81,101,85,18,108,0.76,20,29,-9,-0.53,21.5,29,-7.5,-0.44
50, Leverkusen,de Bundesliga,26,26.7,15,"1,350",90,100,15,165,80,94,70,23,65,1.93,33,20,13,0.87,27,17.8,9.3,0.62
51, Lille,fr Ligue 1,28,27.5,17,"1,530",90,100,17,187,81,103,80,19,72,1.88,33,22,11,0.65,29.6,23,6.6,0.39
52, Liverpool,eng Premier League,23,27,20,"1,800",90,100,20,220,83,138,84,19,95,1.7,32,28,4,0.2,31.6,23.3,8.3,0.42
53, Lorient,fr Ligue 1,23,25.7,17,"1,530",90,100,17,187,80,108,78,22,73,1.12,20,29,-9,-0.53,22.8,22.1,0.6,0.04
54, Lyon,fr Ligue 1,25,26.9,17,"1,530",90,100,17,187,84,121,61,15,90,1.76,25,17,8,0.47,26.9,20.6,6.4,0.38
55, Mainz 05,de Bundesliga,26,28.6,15,"1,350",90,100,15,165,81,96,64,20,71,0.53,13,26,-13,-0.87,17.1,27.7,-10.6,-0.71
56, Mallorca,es La Liga,25,28.4,18,"1,620",90,100,18,198,82,112,84,18,130,1,20,26,-6,-0.33,18.4,28.5,-10.1,-0.56
57, Manchester City,eng Premier League,24,25.8,20,"1,800",90,100,20,220,83,140,80,18,100,2.1,44,18,26,1.3,37,22.1,14.9,0.75
58, Manchester Utd,eng Premier League,26,26.3,20,"1,800",90,100,20,220,82,136,83,21,97,1.55,34,30,4,0.2,35.2,26.2,9,0.45
59, Marseille,fr Ligue 1,30,28.1,17,"1,530",90,100,17,187,80,105,80,21,72,1.88,36,17,19,1.12,30.5,20.6,10,0.59
60, Metz,fr Ligue 1,27,26.7,17,"1,530",90,100,17,187,83,108,76,17,77,0.71,18,38,-20,-1.18,18.2,33.2,-14.9,-0.88
61, Milan,it Serie A,26,27.9,17,"1,530",90,100,17,187,84,126,60,19,90,2.24,28,13,15,0.88,26.4,17.8,8.6,0.51
62, Monaco,fr Ligue 1,28,26.1,17,"1,530",90,100,17,187,80,105,77,22,76,1.35,27,30,-3,-0.18,31.5,28.9,2.7,0.16
63, Nantes,fr Ligue 1,26,25.7,17,"1,530",90,100,17,187,82,107,80,18,73,0.82,16,28,-12,-0.71,16.5,28.6,-12,-0.71
64, Napoli,it Serie A,25,29.3,17,"1,530",90,100,17,187,82,108,79,18,126,2.18,26,13,13,0.76,25.6,16.9,8.7,0.51
65, Newcastle Utd,eng Premier League,24,27.4,20,"1,800",90,100,20,220,82,129,89,20,91,1.45,28,24,4,0.2,28.7,21.4,7.3,0.36
66, Nice,fr Ligue 1,31,25.6,17,"1,530",90,100,17,187,80,106,81,22,72,1.06,20,30,-10,-0.59,20.7,30.8,-10.2,-0.6
67, Nott'ham Forest,eng Premier League,27,26.2,21,"1,890",90,100,21,231,83,153,80,21,109,1,21,34,-13,-0.62,24.6,29.6,-5,-0.24
68, Osasuna,es La Liga,22,28.5,18,"1,620",90,100,18,198,82,118,79,19,85,1.06,18,21,-3,-0.17,19.4,24.1,-4.7,-0.26
69, Oviedo,es La Liga,28,28.9,18,"1,620",90,100,18,198,80,105,87,22,126,0.67,8,27,-19,-1.06,16.3,30.2,-14,-0.78
70, Paris FC,fr Ligue 1,27,27.9,17,"1,530",90,100,17,187,82,102,83,18,70,0.94,22,31,-9,-0.53,22.3,27.9,-5.6,-0.33
71, Paris S-G,fr Ligue 1,24,24,17,"1,530",90,100,17,187,80,112,75,24,73,2.29,37,15,22,1.29,30.9,15.4,15.6,0.92
72, Parma,it Serie A,25,24.6,17,"1,530",90,100,17,187,82,113,73,19,158,1.06,12,19,-7,-0.41,16.7,21,-4.3,-0.26
73, Pisa,it Serie A,28,27.5,19,"1,710",90,100,19,209,80,115,92,23,178,0.63,13,28,-15,-0.79,20.4,27,-6.6,-0.35
74, Rayo Vallecano,es La Liga,24,29.5,18,"1,620",90,100,18,198,81,109,88,20,113,1.06,14,21,-7,-0.39,23.8,23.2,0.6,0.03
75, RB Leipzig,de Bundesliga,26,25.8,15,"1,350",90,100,15,165,83,95,70,16,65,1.93,30,19,11,0.73,27.9,20.7,7.2,0.48
76, Real Madrid,es La Liga,26,25.9,19,"1,710",90,100,19,209,82,120,86,19,124,2.37,41,17,24,1.26,44.7,21.7,23,1.21
77, Real Sociedad,es La Liga,29,26.5,18,"1,620",90,100,18,198,81,109,90,20,125,1,22,26,-4,-0.22,24.2,23.6,0.6,0.03
78, Rennes,fr Ligue 1,28,26.5,17,"1,530",90,100,17,187,80,113,71,22,82,1.76,29,24,5,0.29,25.8,25.9,-0.1,0
79, Roma,it Serie A,24,26.8,19,"1,710",90,100,19,209,80,122,89,22,139,1.89,22,12,10,0.53,23,22.2,0.8,0.04
80, Sassuolo,it Serie A,26,26.6,19,"1,710",90,100,19,209,82,118,90,19,163,1.21,23,25,-2,-0.11,19.2,26.9,-7.7,-0.4
81, Sevilla,es La Liga,31,27.7,18,"1,620",90,100,18,198,81,118,79,23,124,1.11,24,29,-5,-0.28,18.9,28.5,-9.6,-0.53
82, St. Pauli,de Bundesliga,20,27.6,15,"1,350",90,100,15,165,82,102,63,21,72,0.8,13,26,-13,-0.87,12.2,23.7,-11.5,-0.77
83, Strasbourg,fr Ligue 1,26,21.9,17,"1,530",90,100,17,187,81,108,77,22,76,1.41,26,21,5,0.29,26,21.1,4.9,0.29
84, Stuttgart,de Bundesliga,24,25.6,15,"1,350",90,100,15,165,83,96,70,16,65,1.73,25,22,3,0.2,21.8,20.3,1.5,0.1
85, Sunderland,eng Premier League,26,25.9,20,"1,800",90,100,20,220,83,146,73,20,107,1.5,21,19,2,0.1,16.7,27.5,-10.8,-0.54
86, Torino,it Serie A,25,28.1,18,"1,620",90,100,18,198,81,108,90,20,146,1.28,20,28,-8,-0.44,22,23.3,-1.3,-0.07
87, Tottenham,eng Premier League,23,25.9,20,"1,800",90,100,20,220,82,129,90,18,89,1.35,28,24,4,0.2,18.9,25.4,-6.5,-0.33
88, Toulouse,fr Ligue 1,22,24.7,17,"1,530",90,100,17,187,82,113,75,19,78,1.35,24,22,2,0.12,23.8,21.2,2.6,0.15
