,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,
Rk,Squad,Comp,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR
1, Alavés,es La Liga,24,50.1,20,11378,1020,3338,5516,2625,337,11374,373,148,39.7,186,49.9,5687,27566,13370,255,202,61,311,202,7060,630
2, Angers,fr Ligue 1,25,41.8,18,9490,1234,3819,4162,1610,242,9488,264,93,35.2,162,61.4,5028,25794,13256,279,177,64,299,133,5941,456
3, Arsenal,eng Premier League,24,58,22,13477,1169,3598,6152,3836,670,13474,375,157,41.9,167,44.5,7625,42323,22522,453,320,133,298,158,9141,923
4, Aston Villa,eng Premier League,26,53.3,22,12345,1725,4391,5187,2869,477,12345,386,143,37,190,49.2,7283,36625,18547,293,215,80,286,243,8132,741
5, Atalanta,it Serie A,24,55.9,21,12926,1281,4051,5691,3315,524,12925,371,165,44.5,169,45.6,7572,37384,18937,418,268,120,304,167,8828,894
6, Athletic Club,es La Liga,25,49.3,20,11217,922,3051,5285,2987,446,11213,363,144,39.7,181,49.9,5911,30025,16298,335,256,69,380,171,6940,813
7, Atlético Madrid,es La Liga,23,53.5,20,12517,1214,3809,5567,3239,502,12514,336,137,40.8,166,49.4,7176,36020,19046,369,276,108,266,149,8678,817
8, Augsburg,de Bundesliga,25,46.1,18,9374,1030,3054,4166,2244,330,9373,265,108,40.8,125,47.2,4608,22629,11134,221,157,56,307,143,5642,554
9, Auxerre,fr Ligue 1,28,44.9,18,8988,895,2994,3952,2163,274,8983,278,123,44.2,133,47.8,5016,25054,11916,240,166,58,288,160,5611,527
10, Barcelona,es La Liga,26,67.8,20,15169,1024,3553,7209,4532,661,15163,467,218,46.7,206,44.1,8802,47665,24673,476,343,184,276,156,11339,1019
11, Bayern Munich,de Bundesliga,27,67.3,18,14003,837,2894,6854,4343,597,13997,325,136,41.8,162,49.8,9247,42538,21653,392,307,155,231,123,10853,971
12, Bologna,it Serie A,27,55.2,21,10967,1109,3575,5099,2389,385,10963,295,118,40,127,43.1,6052,31741,14810,303,190,88,276,163,7004,670
