,,,,,Standard,,,,,,,,,,,,Expected,,,,
Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1, Alavés,es La Liga,23,15,12,166,47,28.3,11.07,3.13,0.05,0.17,18.7,2,4,4,15.9,12.9,0.08,-3.9,-4.9
2, Angers,fr Ligue 1,25,15,12,127,47,37,8.47,3.13,0.09,0.23,17.6,2,1,1,14,13.2,0.11,-2,-2.2
3, Arsenal,eng Premier League,23,15,28,215,76,35.3,14.33,5.07,0.12,0.34,15.4,5,2,2,25.4,23.8,0.12,2.6,2.2
4, Aston Villa,eng Premier League,23,15,22,178,63,35.4,11.87,4.2,0.12,0.35,17.2,6,0,0,16,16,0.09,6,6
5, Atalanta,it Serie A,23,14,17,206,58,28.2,14.71,4.14,0.08,0.28,16.8,4,1,1,18.2,17.5,0.09,-1.2,-1.5
6, Athletic Club,es La Liga,25,16,14,204,60,29.4,12.75,3.75,0.05,0.18,17.2,1,3,3,21.1,18.7,0.09,-7.1,-7.7
7, Atlético Madrid,es La Liga,23,16,25,207,87,42,12.94,5.44,0.11,0.26,16.6,5,2,3,27.2,25.1,0.13,-2.2,-2.1
8, Augsburg,de Bundesliga,23,13,17,160,53,33.1,12.31,4.08,0.1,0.3,18.7,6,1,1,15.1,14.3,0.09,1.9,1.7
9, Auxerre,fr Ligue 1,25,15,10,159,51,32.1,10.6,3.4,0.05,0.16,18.5,3,2,4,16.9,13.9,0.09,-6.9,-5.9
10, Barcelona,es La Liga,25,16,46,310,117,37.7,19.37,7.31,0.14,0.37,17.9,11,3,5,36.4,32.6,0.11,9.6,10.4
11, Bayern Munich,de Bundesliga,22,13,48,244,98,40.2,18.77,7.54,0.18,0.44,17,5,5,5,35,31.4,0.13,13,11.6
12, Betis,es La Liga,26,15,24,222,69,31.1,14.8,4.6,0.1,0.33,17.8,6,1,1,22.2,21.4,0.1,1.8,1.6
13, Bologna,it Serie A,27,14,23,190,57,30,13.57,4.07,0.11,0.35,17.8,5,3,4,20.6,17.4,0.09,2.4,2.6
14, Bournemouth,eng Premier League,24,15,21,193,69,35.8,12.87,4.6,0.1,0.28,18.6,10,2,3,20.8,18.4,0.1,0.2,0.6
15, Brentford,eng Premier League,21,15,21,144,51,35.4,9.6,3.4,0.11,0.31,15,1,5,7,21.8,16.3,0.12,-0.8,-0.3
16, Brest,fr Ligue 1,26,15,19,174,51,29.3,11.6,3.4,0.08,0.27,18.4,3,5,7,23.4,17.8,0.1,-4.4,-3.8
17, Brighton,eng Premier League,25,15,24,199,67,33.7,13.27,4.47,0.11,0.33,18.3,8,2,3,23.5,21.2,0.11,0.5,0.8
18, Burnley,eng Premier League,23,15,16,122,43,35.2,8.13,2.87,0.11,0.33,18.1,8,2,2,12,10.5,0.09,4,3.5
19, Cagliari,it Serie A,25,14,14,135,48,35.6,9.64,3.43,0.1,0.27,17.6,8,1,1,12.8,12,0.09,1.2,1
20, Celta Vigo,es La Liga,25,15,18,162,56,34.6,10.8,3.73,0.1,0.29,18.7,3,2,2,18.1,16.6,0.1,-0.1,-0.6
21, Chelsea,eng Premier League,25,15,25,208,75,36.1,13.87,5,0.12,0.32,16.7,7,1,1,24.7,23.9,0.12,0.3,0.1
22, Como,it Serie A,23,14,19,193,71,36.8,13.79,5.07,0.1,0.27,18.8,7,0,1,18.8,18,0.1,0.2,1
23, Cremonese,it Serie A,27,14,18,117,44,37.6,8.36,3.14,0.14,0.36,17.4,3,2,2,14.3,12.7,0.12,3.7,3.3
24, Crystal Palace,eng Premier League,22,15,19,170,59,34.7,11.33,3.93,0.09,0.27,16.1,2,3,3,24.3,22,0.13,-5.3,-6
25, Dortmund,de Bundesliga,23,13,23,157,56,35.7,12.08,4.31,0.14,0.39,16.5,2,1,2,20.6,19,0.13,2.4,3
