,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1, Alavés,es La Liga,23,27.9,49.2,15,165,"1,350",15,12,5,17,8,4,4,36,1,15.9,12.9,9.7,22.7,196,468,0.8,0.33,1.13,0.53,0.87,1.06,0.65,1.71,0.86,1.51
2, Angers,fr Ligue 1,25,26,41,15,165,"1,350",15,12,6,18,11,1,1,21,1,14,13.2,10,23.3,239,398,0.8,0.4,1.2,0.73,1.13,0.93,0.67,1.6,0.88,1.55
3, Arsenal,eng Premier League,23,26.4,58.4,15,165,"1,350",15,28,21,49,26,2,2,20,0,25.4,23.8,16.6,40.4,303,653,1.87,1.4,3.27,1.73,3.13,1.69,1.1,2.8,1.59,2.69
4, Aston Villa,eng Premier League,23,28.4,52.4,15,165,"1,350",15,22,16,38,22,0,0,22,1,16,16,12.7,28.6,218,540,1.47,1.07,2.53,1.47,2.53,1.06,0.84,1.91,1.06,1.91
5, Atalanta,it Serie A,23,27.1,56.7,14,154,"1,260",14,17,11,28,16,1,1,21,1,18.2,17.5,13.2,30.7,302,653,1.21,0.79,2,1.14,1.93,1.3,0.94,2.24,1.25,2.19
6, Athletic Club,es La Liga,25,27.9,48.1,16,176,"1,440",16,14,7,21,11,3,3,30,4,21.1,18.7,14.4,33.1,252,664,0.87,0.44,1.31,0.69,1.13,1.32,0.9,2.22,1.17,2.07
7, Atlético Madrid,es La Liga,23,28.1,54.2,16,176,"1,440",16,25,16,41,23,2,3,30,2,27.2,25.1,21,46.1,316,712,1.56,1,2.56,1.44,2.44,1.7,1.31,3.01,1.57,2.88
8, Augsburg,de Bundesliga,23,26,45,13,143,"1,170",13,17,11,28,16,1,1,39,1,15.1,14.3,10.9,25.2,173,444,1.31,0.85,2.15,1.23,2.08,1.16,0.84,2,1.1,1.94
9, Auxerre,fr Ligue 1,25,25.3,44.1,15,165,"1,350",15,10,6,16,8,2,4,32,4,16.9,13.9,10.5,24.3,200,452,0.67,0.4,1.07,0.53,0.93,1.13,0.7,1.83,0.92,1.62
10, Barcelona,es La Liga,25,25.3,66.1,16,176,"1,440",16,46,35,81,43,3,5,27,2,36.4,32.6,26.4,59,384,812,2.87,2.19,5.06,2.69,4.87,2.28,1.65,3.92,2.04,3.68
11, Bayern Munich,de Bundesliga,22,28.4,65.8,13,143,"1,170",13,48,38,86,43,5,5,31,0,35,31.4,25.6,57,306,755,3.69,2.92,6.62,3.31,6.23,2.69,1.97,4.66,2.42,4.39
12, Betis,es La Liga,26,28,50.4,15,165,"1,350",15,24,19,43,23,1,1,33,1,22.2,21.4,17.9,39.4,282,616,1.6,1.27,2.87,1.53,2.8,1.48,1.2,2.68,1.43,2.63
13, Bologna,it Serie A,27,27.2,56.7,14,154,"1,260",14,23,14,37,20,3,4,27,1,20.6,17.4,14.1,31.5,212,524,1.64,1,2.64,1.43,2.43,1.47,1.01,2.47,1.24,2.25
14, Bournemouth,eng Premier League,24,25.7,52.3,15,165,"1,350",15,21,12,33,19,2,3,38,1,20.8,18.4,12,30.5,285,588,1.4,0.8,2.2,1.27,2.07,1.39,0.8,2.19,1.23,2.03
15, Brentford,eng Premier League,21,25.6,43.4,15,165,"1,350",15,21,9,30,16,5,7,30,0,21.8,16.3,12.5,28.8,179,388,1.4,0.6,2,1.07,1.67,1.45,0.83,2.28,1.09,1.92
16, Brest,fr Ligue 1,26,27.2,44.4,15,165,"1,350",15,19,12,31,14,5,7,25,3,23.4,17.8,13.9,31.7,167,429,1.27,0.8,2.07,0.93,1.73,1.56,0.93,2.48,1.19,2.12
17, Brighton,eng Premier League,25,25.9,51.5,15,165,"1,350",15,24,15,39,22,2,3,37,0,23.5,21.2,15.9,37.1,298,547,1.6,1,2.6,1.47,2.47,1.57,1.06,2.63,1.41,2.48
18, Burnley,eng Premier League,23,27.7,40.6,15,165,"1,350",15,16,11,27,14,2,2,24,2,12,10.5,8.2,18.7,140,358,1.07,0.73,1.8,0.93,1.67,0.8,0.55,1.35,0.7,1.25
19, Cagliari,it Serie A,25,25.5,44.5,14,154,"1,260",14,14,11,25,13,1,1,36,0,12.8,12,10.2,22.2,181,361,1,0.79,1.79,0.93,1.71,0.91,0.73,1.64,0.86,1.58
20, Celta Vigo,es La Liga,25,26.6,51,15,165,"1,350",15,18,13,31,16,2,2,29,1,18.1,16.6,13.8,30.4,262,640,1.2,0.87,2.07,1.07,1.93,1.21,0.92,2.13,1.1,2.03
21, Chelsea,eng Premier League,25,24.6,58.5,15,165,"1,350",15,25,19,44,24,1,1,30,4,24.7,23.9,19.9,43.9,313,613,1.67,1.27,2.93,1.6,2.87,1.65,1.33,2.98,1.6,2.92
22, Como,it Serie A,23,25.8,60.3,14,154,"1,260",14,19,15,34,19,0,1,32,2,18.8,18,14.5,32.5,245,538,1.36,1.07,2.43,1.36,2.43,1.34,1.04,2.38,1.28,2.32
23, Cremonese,it Serie A,27,28.4,45.9,14,154,"1,260",14,18,14,32,16,2,2,29,0,14.3,12.7,11.2,23.9,148,376,1.29,1,2.29,1.14,2.14,1.02,0.8,1.82,0.91,1.71
24, Crystal Palace,eng Premier League,22,26.8,42.5,15,165,"1,350",15,19,11,30,16,3,3,25,0,24.3,22,15.8,37.8,180,465,1.27,0.73,2,1.07,1.8,1.62,1.05,2.67,1.47,2.52
25, Dortmund,de Bundesliga,23,27,52.8,13,143,"1,170",13,23,19,42,22,1,2,21,1,20.6,19,15.9,34.9,235,646,1.77,1.46,3.23,1.69,3.15,1.58,1.22,2.81,1.46,2.69
26, Eint Frankfurt,de Bundesliga,23,25.6,55,13,143,"1,170",13,28,21,49,26,2,2,21,0,19.7,18.1,15.2,33.3,222,572,2.15,1.62,3.77,2,3.62,1.51,1.17,2.68,1.39,2.56
27, Elche,es La Liga,27,27.1,58.6,15,165,"1,350",15,18,13,31,18,0,1,27,2,17.1,16.3,12.6,28.9,259,570,1.2,0.87,2.07,1.2,2.07,1.14,0.84,1.98,1.09,1.93
28, Espanyol,es La Liga,22,27.8,41.5,15,165,"1,350",15,19,14,33,16,3,4,30,2,23.4,20.2,16.7,36.9,251,499,1.27,0.93,2.2,1.07,2,1.56,1.12,2.67,1.35,2.46
29, Everton,eng Premier League,19,28.3,44.3,15,165,"1,350",15,17,14,31,16,1,1,33,1,18.5,17.7,14.3,32,220,502,1.13,0.93,2.07,1.07,2,1.23,0.95,2.18,1.18,2.13
30, Fiorentina,it Serie A,25,27.5,50.6,14,154,"1,260",14,11,4,15,7,4,4,35,1,18.1,15.4,10,25.4,180,405,0.79,0.29,1.07,0.5,0.79,1.29,0.71,2.01,1.1,1.81
31, Freiburg,de Bundesliga,23,27.4,51.2,13,143,"1,170",13,19,10,29,16,3,3,18,2,19,16.6,13.4,30,185,430,1.46,0.77,2.23,1.23,2,1.46,1.03,2.49,1.28,2.31
32, Fulham,eng Premier League,23,28.4,51.2,15,165,"1,350",15,17,11,28,17,0,0,26,0,14.9,14.9,11.2,26.1,282,557,1.13,0.73,1.87,1.13,1.87,0.99,0.74,1.74,0.99,1.74
33, Genoa,it Serie A,24,26.6,49.2,13,143,"1,170",13,13,9,22,13,0,2,34,1,17.9,16.3,12.4,28.7,171,397,1,0.69,1.69,1,1.69,1.38,0.96,2.33,1.25,2.21
34, Getafe,es La Liga,24,28.9,40.7,15,165,"1,350",15,13,12,25,13,0,0,38,3,10.5,10.5,7.1,17.6,130,366,0.87,0.8,1.67,0.87,1.67,0.7,0.47,1.17,0.7,1.17
35, Girona,es La Liga,29,27.7,46.9,15,165,"1,350",15,13,8,21,10,3,3,34,5,16.1,13.9,11.5,25.4,278,519,0.87,0.53,1.4,0.67,1.2,1.07,0.77,1.84,0.92,1.69
36, Gladbach,de Bundesliga,24,26.5,45.5,13,143,"1,170",13,16,13,29,14,2,4,19,1,18.3,15.1,12.2,27.3,188,454,1.23,1,2.23,1.08,2.08,1.41,0.94,2.34,1.16,2.1
37, Hamburger SV,de Bundesliga,26,26.4,47.5,13,143,"1,170",13,14,11,25,14,0,1,31,5,16,15.2,12.2,27.3,215,432,1.08,0.85,1.92,1.08,1.92,1.23,0.94,2.16,1.17,2.1
38, Heidenheim,de Bundesliga,25,27.2,41.5,13,143,"1,170",13,12,10,22,12,0,0,21,1,15.2,15.2,12.7,27.9,151,381,0.92,0.77,1.69,0.92,1.69,1.17,0.98,2.15,1.17,2.15
