,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1, Alavés,es La Liga,23,27.8,51.3,12,132,"1,080",12,10,4,14,7,3,3,29,1,12.7,10.5,7.6,18.1,163,387,0.83,0.33,1.17,0.58,0.92,1.05,0.64,1.69,0.87,1.51
2, Angers,fr Ligue 1,24,26.1,39.5,12,132,"1,080",12,9,5,14,8,1,1,16,1,11.5,10.7,8.5,19.3,185,315,0.75,0.42,1.17,0.67,1.08,0.96,0.71,1.67,0.89,1.61
3, Arsenal,eng Premier League,23,26.4,58.5,11,121,990,11,20,14,34,18,2,2,11,0,18.8,17.2,11.5,28.7,218,484,1.82,1.27,3.09,1.64,2.91,1.71,1.05,2.76,1.57,2.61
4, Aston Villa,eng Premier League,23,28.4,53.7,11,121,990,11,13,10,23,13,0,0,19,1,9.1,9.1,7.1,16.2,161,400,1.18,0.91,2.09,1.18,2.09,0.83,0.65,1.48,0.83,1.48
5, Atalanta,it Serie A,22,26.8,57,11,121,990,11,13,9,22,13,0,0,17,1,14.4,14.4,10.9,25.2,236,529,1.18,0.82,2,1.18,2,1.31,0.99,2.3,1.31,2.3
6, Athletic Club,es La Liga,25,28,50.8,12,132,"1,080",12,11,4,15,8,3,3,21,3,15.1,12.8,8.8,21.6,196,505,0.92,0.33,1.25,0.67,1,1.26,0.73,1.99,1.06,1.8
7, Atlético Madrid,es La Liga,22,28.2,54.8,12,132,"1,080",12,22,14,36,20,2,3,24,2,22.7,20.6,17.2,37.7,251,567,1.83,1.17,3,1.67,2.83,1.89,1.43,3.32,1.71,3.14
8, Augsburg,de Bundesliga,22,26.2,46.4,10,110,900,10,14,8,22,13,1,1,33,0,10.9,10.2,7.8,18,133,351,1.4,0.8,2.2,1.3,2.1,1.09,0.78,1.88,1.02,1.8
9, Auxerre,fr Ligue 1,24,25.4,45.5,12,132,"1,080",12,6,3,9,5,1,2,28,4,11.8,10.4,7.3,17.7,166,368,0.5,0.25,0.75,0.42,0.67,0.99,0.61,1.6,0.86,1.47
10, Barcelona,es La Liga,25,25.6,67.1,12,132,"1,080",12,31,24,55,29,2,3,22,2,25.8,23.5,18.9,42.5,304,639,2.58,2,4.58,2.42,4.42,2.15,1.58,3.73,1.96,3.54
