rk,squad,comp,players,age,poss,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g_minus_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_plus_xag,progression_prgc,progression_prgp,per90_gls,per90_ast,per90_g_plus_a,per90_g_minus_pk,per90_g_plus_a_minus_pk,per90_xg,per90_xag,per90_xg_plus_xag,per90_npxg,per90_npxg_plus_xag,shooting_90s,shooting_gls,shooting_sh,shooting_sot,shooting_sot_pct,shooting_sh_per90,shooting_sot_per90,shooting_g_per_sh,shooting_g_per_sot,shooting_dist,shooting_fk,shooting_pk,shooting_pkatt,expected_npxg_per_sh,expected_g_minus_xg,expected_np_g_minus_xg,passing_90s,passing_cmp,passing_att,passing_cmp_pct,passing_totdist,passing_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,expected_ast,expected_xa,expected_a_minus_xag,passing_kp,passing_final_third,passing_ppa,passing_crspa,passing_prgp,pass_types_90s,pass_types_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,corner_ck,corner_in,corner_out,corner_str,outcomes_cmp,outcomes_off,outcomes_blocks,poss_90s,touches_total,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,takeons_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_total,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,def_90s,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,blocks_int,blocks_tkl_int,blocks_clr,blocks_err,misc_90s,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_won,aerial_lost,aerial_won_pct,playing_time_min_per_mp,playing_time_min_pct,starts_starts,starts_min_per_start,starts_compl,subs_subs,subs_min_per_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_plus_minus,team_success_plus_minus_per90,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_plus_minus,team_success_xg_plus_minus_per90,sca_90s,sca,sca_per90,sca_passlive,sca_passdead,sca_to,sca_sh,sca_fld,sca_def,gca,gca_per90,gca_passlive,gca_passdead,gca_to,gca_sh,gca_fld,gca_def,playing_time_ga,playing_time_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_pkatt,penalty_pka,penalty_pksv,penalty_pkm,penalty_save_pct,gk_90s,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_per_sot,expected_psxg_plus_minus,expected_per90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_per90,sweeper_avgdist
1,Alavés,La Liga,23,27.8,51.3,12,132,"1,080",12,10,4,14,7,3,3,29,1,12.7,10.5,7.6,18.1,163,387,0.83,0.33,1.17,0.58,0.92,1.05,0.64,1.69,0.87,1.51,12,10,139,41,29.5,11.58,3.42,0.05,0.17,19,2,3,3,0.08,-2.7,-3.5,12,4442,5677,78.2,76574,29199,2152,2417,89,1736,2071,83.8,411,835,49.2,4,7.9,-3.6,98,368,68,28,387,12,5677,5045,608,182,11,25,226,246,66,18,29,0,4442,24,106,12,7158,630,2068,3429,1725,225,7155,225,88,39.1,112,49.8,3711,17550,8602,163,130,35,198,117,4404,385,12,227,132,110,89,28,101,200,50.5,99,135,44,91,93,320,313,4,12,1,187,158,24,226,93,132,2,0,0,510,228,214,51.6,90,100,132,80,73,59,23,77,1.25,11,11,0,0,12.7,10.3,2.4,0.2,12,246,20.5,182,21,15,11,11,6,16,1.33,9,0,1,2,3,1,11,0.92,37,26,70.3,4,3,5,2,16.7,0,0,0,0,,12,11,0,0,0,0,11.3,0.32,0.3,0.02,94,220,42.7,237,32,59.9,44.8,91,85.7,60.9,166,8,4.8,4,0.33,9.1
2,Angers,Ligue 1,24,26.1,39.5,12,132,"1,080",12,9,5,14,8,1,1,16,1,11.5,10.7,8.5,19.3,185,315,0.75,0.42,1.17,0.67,1.08,0.96,0.71,1.67,0.89,1.61,12,9,106,36,34,8.83,3,0.08,0.22,17.3,2,1,1,0.11,-2.5,-2.7,12,4019,5001,80.4,69874,25738,1826,2045,89.3,1717,1974,87,365,723,50.5,5,7.6,-3.5,81,209,64,20,315,12,5001,4470,510,140,16,24,172,190,48,30,12,0,4019,21,83,12,6388,866,2611,2811,1039,170,6387,177,62,35,109,61.6,3274,17343,9030,185,117,44,219,97,3998,314,12,211,136,119,80,12,110,187,58.8,77,138,41,97,106,317,289,10,12,0,138,124,21,172,106,136,1,4,0,495,115,126,47.7,90,100,132,81,74,57,20,51,1.08,10,15,-5,-0.42,11.5,21.6,-10.1,-0.84,12,185,15.42,145,14,8,11,4,3,16,1.33,12,0,1,2,1,0,15,1.25,65,48,78.5,3,4,5,3,25,4,1,2,1,66.7,12,15,1,0,3,0,20.4,0.29,5.4,0.45,45,140,32.1,297,67,38,33.3,105,25.7,26.3,185,22,11.9,7,0.58,9.7
3,Arsenal,Premier League,23,26.4,58.5,11,121,990,11,20,14,34,18,2,2,11,0,18.8,17.2,11.5,28.7,218,484,1.82,1.27,3.09,1.64,2.91,1.71,1.05,2.76,1.57,2.61,11,20,160,49,30.6,14.55,4.45,0.11,0.37,15.1,3,2,2,0.11,1.2,0.8,11,4962,5971,83.1,86721,26240,2167,2395,90.5,2349,2621,89.6,364,719,50.6,14,12.6,2.5,106,375,111,14,484,11,5971,5492,465,120,40,20,215,202,75,58,7,0,4962,14,82,11,7194,610,1899,3339,2015,354,7192,195,85,43.6,87,44.6,4101,22034,11510,218,166,58,170,84,4889,478,11,162,91,69,66,27,66,125,52.8,59,107,28,79,63,225,264,5,11,0,115,115,14,215,63,91,2,0,0,422,180,156,53.6,90,100,121,81,73,48,23,51,2.36,20,5,15,1.36,18.8,6,12.8,1.16,11,273,24.82,195,21,14,28,14,1,37,3.36,23,3,3,4,3,1,5,0.45,21,16,76.2,8,2,1,7,63.6,0,0,0,0,,11,5,0,1,1,0,4.5,0.22,-0.5,-0.04,52,164,31.7,328,46,42.4,35.7,52,48.1,38.8,95,8,8.4,20,1.82,20.1
4,Aston Villa,Premier League,23,28.4,53.7,11,121,990,11,13,10,23,13,0,0,19,1,9.1,9.1,7.1,16.2,161,400,1.18,0.91,2.09,1.18,2.09,0.83,0.65,1.48,0.83,1.48,11,13,119,39,32.8,10.82,3.55,0.11,0.33,17.9,3,0,0,0.08,3.9,3.9,11,4295,5223,82.2,76011,25722,1904,2076,91.7,1912,2158,88.6,390,743,52.5,10,7.8,2.9,87,336,88,18,400,11,5223,4676,533,184,30,18,188,174,59,36,6,0,4295,14,93,11,6405,875,2187,2741,1526,231,6405,188,63,33.5,100,53.2,3705,18606,9366,161,103,33,147,117,4206,394,11,161,99,73,70,18,78,153,51,75,127,50,77,62,223,258,6,11,0,105,148,14,188,62,99,0,2,0,384,129,138,48.3,90,100,121,82,72,51,20,48,1.64,13,10,3,0.27,9.1,14.5,-5.4,-0.49,11,208,18.91,157,20,4,13,9,5,23,2.09,16,2,2,1,2,0,10,0.91,33,22,72.7,5,3,3,4,36.4,2,1,1,0,50,11,10,1,0,3,0,9.6,0.26,-0.4,-0.03,49,145,33.8,350,48,32,30.9,95,34.7,30.7,156,14,9,18,1.64,12.8
5,Atalanta,Serie A,22,26.8,57,11,121,990,11,13,9,22,13,0,0,17,1,14.4,14.4,10.9,25.2,236,529,1.18,0.82,2,1.18,2,1.31,0.99,2.3,1.31,2.3,11,13,160,43,26.9,14.55,3.91,0.08,0.3,16.6,4,0,0,0.09,-1.4,-1.4,11,5142,6103,84.3,92412,30821,2251,2485,90.6,2339,2618,89.3,484,801,60.4,9,13.5,-1.9,118,404,113,22,529,11,6103,5618,466,111,8,33,223,190,67,32,28,0,5142,19,68,11,7270,722,2322,3266,1755,294,7270,214,97,45.3,92,43,4394,21413,11142,236,145,64,171,91,5117,524,11,158,96,68,61,29,81,145,55.9,64,93,30,63,64,222,245,6,11,1,109,98,19,223,64,96,0,2,1,468,140,146,49,90,100,121,81,71,49,22,78,1.18,13,11,2,0.18,14.4,9.8,4.5,0.41,11,279,25.36,211,18,15,23,7,5,19,1.73,14,1,0,2,0,2,11,1,43,32,76.7,2,7,2,2,18.2,2,1,1,0,50,11,11,1,0,2,1,11,0.23,1,0.09,57,137,41.6,331,54,28.7,31.5,76,55.3,43.2,136,6,4.4,16,1.45,15.5
6,Athletic Club,La Liga,25,28,50.8,12,132,"1,080",12,11,4,15,8,3,3,21,3,15.1,12.8,8.8,21.6,196,505,0.92,0.33,1.25,0.67,1,1.26,0.73,1.99,1.06,1.8,12,11,154,48,31.2,12.83,4,0.05,0.17,17.9,1,3,3,0.09,-4.1,-4.8,12,4527,5733,79,81775,29266,1962,2233,87.9,2043,2405,84.9,453,854,53,4,9.5,-4.8,105,404,97,29,505,12,5733,5098,623,209,13,37,273,259,67,27,21,1,4527,12,111,12,7167,603,2000,3352,1879,275,7164,225,97,43.1,100,44.4,3501,18779,10239,196,160,40,250,120,4500,503,12,173,108,59,80,34,91,186,48.9,95,125,25,100,83,256,292,9,12,0,161,155,12,273,83,108,3,0,1,508,184,167,52.4,90,100,132,80,74,58,23,80,1.42,12,13,-1,-0.08,15.1,10.1,5,0.42,12,260,21.67,187,24,13,17,12,7,19,1.58,7,1,4,2,3,2,13,1.08,41,29,68.3,5,2,5,3,25,0,0,0,0,,12,13,0,0,2,1,14.1,0.36,2.1,0.18,49,166,29.5,333,53,37.5,33.9,63,65.1,50.7,144,11,7.6,29,2.42,18.3
7,Atlético Madrid,La Liga,22,28.2,54.8,12,132,"1,080",12,22,14,36,20,2,3,24,2,22.7,20.6,17.2,37.7,251,567,1.83,1.17,3,1.67,2.83,1.89,1.43,3.32,1.71,3.14,12,22,166,68,41,13.83,5.67,0.12,0.29,17.1,5,2,3,0.13,-0.7,-0.6,12,5754,6848,84,100956,34148,2612,2843,91.9,2466,2770,89,542,903,60,14,16,-3.2,128,457,145,31,567,12,6848,6271,555,134,31,40,261,215,90,29,38,0,5754,22,113,12,8104,712,2334,3603,2237,347,8101,212,81,38.2,107,50.5,4790,23881,12750,251,195,75,169,90,5721,566,12,190,115,98,68,24,98,190,51.6,92,97,20,77,93,283,234,7,12,1,135,123,22,261,93,115,2,1,0,506,163,165,49.7,90,100,132,81,73,60,20,83,2.08,24,11,13,1.08,22.7,12.2,10.5,0.88,12,302,25.17,227,22,21,15,12,5,38,3.17,23,1,4,6,4,0,11,0.92,34,23,70.6,7,4,1,4,33.3,1,1,0,0,0,12,11,1,0,1,0,9.9,0.28,-1.1,-0.09,68,155,43.9,307,39,32.9,32.9,93,58.1,42.2,145,7,4.8,12,1,13.8
8,Augsburg,Bundesliga,22,26.2,46.4,10,110,900,10,14,8,22,13,1,1,33,0,10.9,10.2,7.8,18,133,351,1.4,0.8,2.2,1.3,2.1,1.09,0.78,1.88,1.02,1.8,10,14,120,37,30.8,12,3.7,0.11,0.35,18.6,6,1,1,0.09,3.1,2.8,10,3488,4538,76.9,62218,23637,1545,1782,86.7,1557,1803,86.4,327,735,44.5,8,8.5,0.2,89,297,62,27,351,10,4538,4015,498,129,5,16,173,208,43,21,11,0,3488,25,95,10,5847,627,1889,2607,1410,178,5846,168,69,41.1,84,50,2779,13776,6673,133,101,31,211,90,3464,350,10,160,99,71,65,24,83,158,52.5,75,122,30,92,100,260,312,9,10,0,136,110,25,173,100,99,1,3,0,439,161,175,47.9,90,100,110,81,64,46,22,43,0.7,14,24,-10,-1,10.9,19.4,-8.4,-0.84,10,205,20.5,147,17,11,14,10,6,21,2.1,15,2,1,2,1,0,24,2.4,51,26,56.9,2,1,7,0,0,3,2,1,0,33.3,10,24,2,1,1,0,20.8,0.36,-3.2,-0.32,61,195,31.3,349,32,42.4,36.3,85,55.3,43.7,115,9,7.8,25,2.5,15.4
9,Auxerre,Ligue 1,24,25.4,45.5,12,132,"1,080",12,6,3,9,5,1,2,28,4,11.8,10.4,7.3,17.7,166,368,0.5,0.25,0.75,0.42,0.67,0.99,0.61,1.6,0.86,1.47,12,6,124,38,30.6,10.33,3.17,0.04,0.13,18.6,3,1,2,0.08,-5.8,-5.4,12,4033,5128,78.6,73086,26168,1738,1974,88,1706,1967,86.7,460,896,51.3,3,6.8,-4.3,91,346,63,17,368,12,5128,4526,585,193,12,41,189,230,56,8,35,0,4033,17,95,12,6434,626,2125,2904,1496,180,6432,204,89,43.6,96,47.1,3633,17886,8310,166,113,37,195,113,4012,364,12,219,128,109,83,27,98,178,55.1,80,119,29,90,112,331,247,9,12,2,166,174,17,189,112,128,1,1,2,494,150,175,46.2,90,100,132,82,77,51,19,55,0.58,7,19,-12,-1,11.8,17.7,-5.9,-0.49,12,219,18.25,162,22,6,14,10,5,10,0.83,7,0,0,1,1,1,19,1.58,57,39,66.7,2,1,9,2,16.7,1,0,1,0,100,12,19,0,0,4,2,18,0.32,1,0.09,63,221,28.5,317,43,54.3,41.2,76,64.5,49.9,131,6,4.6,18,1.5,16.6
10,Barcelona,La Liga,25,25.6,67.1,12,132,"1,080",12,31,24,55,29,2,3,22,2,25.8,23.5,18.9,42.5,304,639,2.58,2,4.58,2.42,4.42,2.15,1.58,3.73,1.96,3.54,12,31,240,91,37.9,20,7.58,0.12,0.32,18,10,2,3,0.1,5.2,5.5,12,7117,8085,88,114014,35825,3580,3843,93.2,3000,3295,91,373,609,61.2,24,21.5,5.1,183,665,146,18,639,12,8085,7485,574,193,28,23,171,222,82,41,6,0,7117,26,109,12,9458,614,2156,4376,3001,415,9455,286,122,42.7,137,47.9,5619,30117,15598,304,227,112,169,100,7079,637,12,194,111,78,81,35,88,163,54,75,104,25,79,83,277,196,5,12,2,113,142,26,171,83,111,2,3,0,467,142,95,59.9,90,100,132,81,74,56,20,76,2.33,32,15,17,1.42,25.8,15.7,10.2,0.85,12,446,37.17,340,29,26,30,14,7,56,4.67,43,5,2,4,1,1,15,1.25,45,29,71.1,9,1,2,3,25,3,2,1,0,33.3,12,15,2,0,2,0,18.7,0.36,3.7,0.31,16,53,30.2,344,76,13.4,25.9,51,13.7,26.6,107,4,3.7,53,4.42,23.3
