Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Real Madrid,es La Liga,25,5873077,305400000,43%
2,Bayern Munich,de Bundesliga,30,4950000,257400000,50%
3,Manchester City,eng Premier League,33,4909416,255289652,57%
4,Barcelona,es La Liga,25,4270000,222040000,35%
5,Arsenal,eng Premier League,27,4117470,214108454,54%
6,Liverpool,eng Premier League,28,3839106,199633520,52%
7,Chelsea,eng Premier League,36,3662809,190466057,56%
8,Manchester Utd,eng Premier League,34,3546824,184434834,41%
9,Paris S-G,fr Ligue 1,25,3361346,174790000,46%
10,Atletico Madrid,es La Liga,26,3024712,157285000,64%
11,Tottenham,eng Premier League,33,2963419,154097779,62%
12,Aston Villa,eng Premier League,28,2745947,142789231,84%
13,Inter,it Serie A,29,2619231,136200000,8%
14,Newcastle Utd,eng Premier League,30,2565590,133410678,70%
15,Juventus,it Serie A,29,2426731,126190000,17%
16,Dortmund,de Bundesliga,28,2379808,123750000,57%
17,Napoli,it Serie A,31,2142500,111410000,17%
18,Roma,it Serie A,32,2097885,109090000,14%
19,Nott'ham Forest,eng Premier League,32,2079033,108109693,90%
20,West Ham,eng Premier League,29,1919553,99816760,79%
21,Milan,it Serie A,28,1821154,94700000,19%
22,RB Leipzig,de Bundesliga,29,1774615,92280000,80%
23,Leverkusen,de Bundesliga,28,1726731,89790000,88%
24,Fulham,eng Premier League,26,1685263,87633685,87%
25,Everton,eng Premier League,25,1628431,84678386,83%
26,Athletic Club,es La Liga,26,1625962,84550000,83%
27,Wolves,eng Premier League,32,1613932,83924484,93%
28,Crystal Palace,eng Premier League,33,1509546,78496378,94%
29,Sunderland,eng Premier League,38,1502587,78134509,100%
30,Lazio,it Serie A,31,1486154,77280000,10%
31,Betis,es La Liga,26,1461346,75990000,79%
32,Bournemouth,eng Premier League,30,1380222,71771565,90%
33,Brighton,eng Premier League,33,1348327,70112978,94%
34,Villarreal,es La Liga,27,1345385,69960000,88%
35,Leeds United,eng Premier League,27,1322810,68786112,92%
36,Real Sociedad,es La Liga,27,1272692,66180000,100%
37,Fiorentina,it Serie A,31,1266154,65840000,21%
38,Sevilla,es La Liga,27,1252885,65150000,79%
39,Burnley,eng Premier League,34,1242602,64615288,100%
40,Eint Frankfurt,de Bundesliga,28,1233269,64130000,85%
41,Wolfsburg,de Bundesliga,29,1226538,63780000,93%
42,Marseille,fr Ligue 1,32,1221538,63520000,83%
43,Brentford,eng Premier League,32,1201605,62483482,93%
44,Stuttgart,de Bundesliga,32,1195000,62140000,88%
45,Atalanta,it Serie A,26,1127692,58640000,4%
46,Freiburg,de Bundesliga,27,1080385,56180000,96%
47,Gladbach,de Bundesliga,29,1046731,54430000,92%
48,Hoffenheim,de Bundesliga,30,1041538,54160000,100%
49,Torino,it Serie A,30,976731,50790000,62%
50,Girona,es La Liga,25,963558,50105000,91%
51,Lille,fr Ligue 1,29,919038,47790000,92%
52,Valencia,es La Liga,23,871923,45340000,82%
53,Monaco,fr Ligue 1,29,867115,45090000,79%
54,Bologna,it Serie A,31,860577,44750000,46%
55,Como,it Serie A,30,856154,44520000,88%
56,Werder Bremen,de Bundesliga,30,779808,40550000,91%
57,Sassuolo,it Serie A,30,750769,39040000,79%
58,Lens,fr Ligue 1,28,746923,38840000,100%
59,Celta Vigo,es La Liga,28,740577,38510000,91%
60,Hamburger SV,de Bundesliga,31,738462,38400000,93%
61,Mainz 05,de Bundesliga,29,722692,37580000,100%
62,Augsburg,de Bundesliga,31,703654,36590000,100%
63,Union Berlin,de Bundesliga,28,695385,36160000,100%
64,Mallorca,es La Liga,26,672308,34960000,95%
65,Getafe,es La Liga,22,661346,34390000,95%
66,Koln,de Bundesliga,29,654231,34020000,100%
67,Cremonese,it Serie A,30,641154,33340000,81%
68,Rayo Vallecano,es La Liga,24,605000,31460000,100%
69,Oviedo,es La Liga,26,586827,30515000,96%
70,Genoa,it Serie A,28,577692,30040000,85%
71,Cagliari,it Serie A,28,554231,28820000,77%
72,Osasuna,es La Liga,20,538077,27980000,100%
73,Hellas Verona,it Serie A,28,528654,27490000,83%
74,Elche,es La Liga,26,518462,26960000,100%
75,Brest,fr Ligue 1,24,511538,26600000,100%
76,Espanyol,es La Liga,24,504231,26220000,94%
77,Alaves,es La Liga,23,496154,25800000,100%
78,Lyon,fr Ligue 1,25,495000,25740000,91%
79,Parma,it Serie A,32,490000,25480000,95%
80,St. Pauli,de Bundesliga,28,488846,25420000,95%
81,Udinese,it Serie A,31,486346,25290000,89%
82,Levante,es La Liga,25,482308,25080000,95%
83,Heidenheim,de Bundesliga,27,482115,25070000,100%
84,Nice,fr Ligue 1,30,440962,22930000,86%
85,Rennes,fr Ligue 1,22,435769,22660000,89%
86,Pisa,it Serie A,30,381538,19840000,92%
87,Lecce,it Serie A,34,375962,19550000,84%
88,Angers,fr Ligue 1,27,345769,17980000,100%
89,Le Havre,fr Ligue 1,26,343654,17870000,100%
90,Auxerre,fr Ligue 1,21,343654,17870000,95%
91,Nantes,fr Ligue 1,27,251346,13070000,94%
92,Strasbourg,fr Ligue 1,30,194808,10130000,100%
93,Lorient,fr Ligue 1,26,192692,10020000,100%
94,Toulouse,fr Ligue 1,31,158077,8220000,100%
95,Paris FC,fr Ligue 1,30,148462,7720000,100%
96,Metz,fr Ligue 1,26,123269,6410000,94%
