id_season,team_id,season_name,country,championship_name,team_code,team_logo,attacking_overall__played,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_set_pieces__goals,attacking_set_pieces__shots,attacking_set_pieces__xg,attacking_set_pieces__goal_pct,attacking_set_pieces__shot_pct,attacking_set_pieces__xg_pct,attacking_misc__touches_in_box,attacking_misc__hit_post,attacking_misc__offsides,attacking_misc__penalties__total,attacking_misc__penalties__goals,attacking_misc__free_kicks__total,attacking_misc__free_kicks__goals,attacking_misc__headers__total,attacking_misc__headers__goals,attacking_misc__fast_breaks__total,attacking_misc__fast_breaks__goals,passing__avg_poss,passing__all_passes__pct,passing__final_third_passes__successful,passing__final_third_passes__pct,passing__pass_direction__fwd,passing__pass_direction__bwd,passing__pass_direction__left,passing__pass_direction__right,passing__crosses__total,passing__crosses__successful,passing__crosses__pct,passing__through_balls,pressing__pressed_seqs,pressing__ppda,pressing__start_distance_m,pressing__total,pressing__high_turnovers__shot_ending,pressing__high_turnovers__goal_ending,pressing__high_turnovers__pct_end_in_shot,sequences__ten_plus_passes,sequences__direct_speed,sequences__passes_per_seq,sequences__sequence_time,sequences__build_ups__total,sequences__build_ups__goals,sequences__direct_attacks__total,sequences__direct_attacks__goals,misc.__subs_used,misc.__subs_goals,misc.__errors_lead_to_shot,misc.__errors_lead_to_goal,misc.__fouled,misc.__yellows,misc.__reds,misc.__pens_won,misc.__fouls,misc.__opp_yellows,misc.__opp_reds,misc.__pens_conceded,defending_overall__goals,defending_overall__xg,defending_overall__goals_vs_xg,defending_overall__shots,defending_overall__sot,defending_overall__conv_pct,defending_overall__xg_per_shot,defending_overall__shots_in_box_pct,defending_overall__goals_in_box_pct,defending_set_pieces__goals,defending_set_pieces__shots,defending_set_pieces__xg,defending_set_pieces__goal_pct,defending_set_pieces__shot_pct,defending_set_pieces__xg_pct,defending_defensive_actions__avg_poss,defending_defensive_actions__tackles,defending_defensive_actions__interceptions,defending_defensive_actions__recoveries,defending_defensive_actions__blocks,defending_defensive_actions__clearances,defending_defensive_actions__ground_duels_won,defending_defensive_actions__aerial_duels_won,defending_misc__touches_in_box,defending_misc__hit_post,defending_misc__offsides,defending_misc__penalties__total,defending_misc__penalties__goals,defending_misc__free_kicks__total,defending_misc__free_kicks__goals,defending_misc__headers__total,defending_misc__headers__goals,defending_misc__fast_breaks__total,defending_misc__fast_breaks__goals,attacking_set_pieces__goals_vs_xg,attacking_set_pieces__sot,attacking_set_pieces__conv_pct,attacking_set_pieces__xg_per_shot
1,149,2025/26,France,Ligue 1,Paris SG,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=2b3mar72yy8d6uvat1ka6tn3r,34,2.18,2.12,0.06,17.71,6.68,12.29,0.12,0.38,3.85,0.45,17.57,21.76,21.04,35.74,0.65,1.24,0.24,0.15,0.62,0.03,2.26,0.29,1.09,0.18,68.8,91.2,174.56,83.8,24.9,15.5,30.0,29.6,11.09,2.38,21.5,2.76,12.85,9.2,46.2,9.97,2.56,0.44,25.66,26.03,1.41,6.01,16.91,6.41,0.32,2.0,0.21,4.29,0.47,0.79,0.21,8.82,1.03,0.06,0.24,8.65,1.26,0.12,0.12,0.85,0.94,-0.09,8.79,3.21,9.7,0.11,62.21,75.86,0.15,2.47,0.19,17.24,28.09,20.31,68.8,15,7,49,2,14,50.3,52.1,16.12,0.24,2.38,0.12,0.03,0.12,0.0,1.12,0.09,0.59,0.09,,,,
1,142,2025/26,France,Ligue 1,Lens,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3xedluek08t2ka7oypwuullcn,34,1.94,1.99,-0.05,16.44,5.56,11.81,0.12,0.38,4.26,0.38,19.7,25.94,19.09,30.74,0.41,1.97,0.15,0.12,0.29,0.0,3.62,0.32,1.38,0.24,51.1,85.0,97.47,74.8,31.5,15.1,26.5,26.8,15.62,4.06,26.0,1.26,12.53,10.9,43.8,9.5,2.03,0.21,21.36,10.68,1.94,3.68,9.71,2.44,0.06,1.91,0.18,4.35,0.29,0.53,0.21,11.29,1.85,0.15,0.15,11.88,2.09,0.18,0.18,1.03,1.28,-0.25,11.12,3.47,9.26,0.12,65.61,77.14,0.21,3.21,0.27,20.0,28.84,20.91,51.1,19,11,55,4,21,49.9,50.4,20.21,0.24,0.91,0.18,0.09,0.38,0.0,1.91,0.15,0.88,0.15,,,,
1,144,2025/26,France,Ligue 1,Marseille,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=27xvwccz8kpmqsefjv2b2sc0o,34,1.85,1.82,0.03,15.09,5.71,12.28,0.12,0.18,3.88,0.28,9.52,25.73,15.49,25.32,0.29,1.21,0.24,0.18,0.53,0.03,2.41,0.15,1.03,0.15,56.9,88.0,113.82,77.6,29.7,15.9,27.0,27.4,12.26,1.97,16.1,2.06,11.21,11.2,43.9,7.68,2.0,0.32,26.05,16.53,1.8,4.64,12.4,3.53,0.35,2.0,0.15,4.53,0.35,0.65,0.21,10.35,2.32,0.12,0.24,12.44,1.62,0.12,0.18,1.32,1.39,-0.06,10.65,4.0,12.43,0.13,71.82,93.33,0.15,2.56,0.19,11.11,24.03,13.41,56.9,15,8,48,3,19,48.2,51.1,19.76,0.38,2.29,0.18,0.15,0.35,0.0,1.47,0.21,0.97,0.15,,,,
1,146,2025/26,France,Ligue 1,Monaco,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4t4hod56fsj7utpjdor8so5q6,34,1.76,1.71,0.06,12.53,4.44,14.08,0.14,0.12,2.85,0.25,6.67,22.77,14.62,26.26,0.32,2.12,0.21,0.18,0.24,0.0,2.35,0.21,1.0,0.21,53.7,83.9,95.24,72.2,32.5,15.8,26.4,25.3,11.82,2.38,20.1,2.0,12.65,9.4,43.5,8.85,1.44,0.24,16.28,11.5,1.86,3.71,9.83,2.24,0.03,1.56,0.06,4.56,0.5,0.82,0.18,10.21,2.09,0.18,0.21,12.26,1.59,0.15,0.15,1.59,1.47,0.11,13.44,4.5,11.82,0.11,63.68,87.04,0.21,3.41,0.27,12.96,25.38,18.64,53.7,18,10,52,4,21,48.2,50.2,24.85,0.21,1.15,0.15,0.12,0.24,0.0,1.91,0.18,1.12,0.21,,,,
1,429,2025/26,France,Ligue 1,Lille,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=be2k34rut1lz79jxenabttqlc,34,1.53,1.63,-0.1,13.59,4.62,11.26,0.12,0.18,3.79,0.28,11.54,27.92,17.19,29.97,0.53,1.38,0.24,0.21,0.18,0.03,2.06,0.15,0.85,0.09,55.8,85.3,109.21,74.1,30.3,15.3,26.7,27.8,12.62,2.35,18.6,2.09,13.18,10.9,44.8,8.68,1.21,0.21,13.9,12.03,1.8,3.99,11.09,2.74,0.15,1.56,0.09,4.65,0.38,0.62,0.12,12.59,2.26,0.15,0.24,10.09,1.85,0.15,0.12,1.09,1.08,0.0,9.06,3.32,12.01,0.12,62.66,86.49,0.21,2.12,0.22,18.92,23.38,20.08,55.8,15,9,49,3,19,51.6,51.9,16.88,0.15,1.5,0.12,0.06,0.29,0.03,1.06,0.15,0.97,0.0,,,,
1,153,2025/26,France,Ligue 1,Strasbourg,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=71ajatxnuhc5cnm3xvgdky49w,34,1.71,1.59,0.11,11.47,4.65,14.87,0.14,0.24,2.5,0.18,13.79,21.79,11.46,22.59,0.26,1.82,0.21,0.18,0.47,0.0,1.91,0.24,0.65,0.12,53.8,88.0,72.32,71.0,28.2,15.0,28.3,28.5,11.59,2.79,24.1,2.88,9.65,11.7,42.8,7.47,1.29,0.18,17.32,14.68,1.67,4.33,11.88,2.41,0.24,1.65,0.15,4.26,0.29,1.24,0.24,12.32,1.71,0.15,0.21,10.74,1.82,0.09,0.15,1.38,1.36,0.03,12.56,4.56,11.01,0.11,66.74,87.23,0.18,3.15,0.3,12.77,25.06,21.94,53.8,16,8,49,3,20,50.9,50.4,22.21,0.12,1.35,0.15,0.12,0.29,0.0,2.03,0.18,1.24,0.09,,,,
1,150,2025/26,France,Ligue 1,Rennes,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=z1wbqtd0fz5t5eezjvrbld3h,34,1.74,1.59,0.14,14.15,4.97,12.27,0.11,0.26,3.44,0.32,15.25,24.32,20.17,24.47,0.32,2.41,0.18,0.15,0.26,0.0,2.03,0.32,0.79,0.12,53.5,84.7,94.12,74.1,33.6,16.4,25.6,24.4,13.91,2.65,19.0,1.21,11.76,11.5,42.8,7.5,1.44,0.21,19.22,11.47,1.8,3.77,10.09,2.76,0.21,1.44,0.09,4.29,0.26,1.0,0.32,11.44,1.65,0.12,0.18,11.82,2.03,0.15,0.18,1.47,1.56,-0.09,13.5,4.29,10.89,0.12,66.67,88.0,0.12,3.44,0.29,8.0,25.49,18.33,53.5,16,9,50,4,22,49.3,53.5,23.79,0.29,1.94,0.18,0.12,0.18,0.0,2.09,0.21,1.06,0.15,,,,
1,143,2025/26,France,Ligue 1,Lyon,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=121le8unjfzug3iu9pgkqa1c7,34,1.56,1.55,0.01,12.26,4.68,12.71,0.13,0.24,2.97,0.3,15.09,24.22,19.5,25.88,0.29,1.24,0.15,0.09,0.29,0.0,2.06,0.26,0.91,0.18,54.6,85.5,84.85,72.6,30.5,15.3,27.4,26.9,13.35,2.76,20.7,1.94,9.38,11.5,42.6,6.53,1.06,0.15,16.22,11.53,1.74,3.96,10.72,2.35,0.03,1.32,0.24,3.82,0.21,0.88,0.06,12.47,1.71,0.21,0.15,12.35,2.35,0.24,0.15,1.18,1.34,-0.16,11.97,3.91,9.83,0.11,66.09,77.5,0.26,3.12,0.35,22.5,26.04,26.26,54.6,15,7,44,4,23,50.7,48.1,21.62,0.24,1.68,0.15,0.06,0.24,0.0,2.09,0.12,0.97,0.12,,,,
1,694,2025/26,France,Ligue 1,Lorient,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=70nn27vgkt6l48lvv5e66q7ww,34,1.41,1.34,0.07,11.32,3.94,12.47,0.12,0.41,3.44,0.29,29.17,30.39,21.59,19.09,0.32,1.62,0.21,0.09,0.47,0.06,1.44,0.09,0.97,0.06,45.4,84.8,73.71,72.6,32.3,17.0,24.8,25.9,11.85,2.24,18.9,1.12,7.44,17.8,39.7,5.74,1.15,0.12,20.0,10.09,1.76,3.75,10.64,1.76,0.06,1.21,0.03,4.56,0.35,0.65,0.21,12.5,1.65,0.03,0.21,8.82,2.06,0.12,0.18,1.5,1.37,0.13,11.12,3.94,13.49,0.12,66.67,82.35,0.32,2.88,0.26,21.57,25.93,18.95,45.4,14,9,45,3,26,52.4,47.4,22.65,0.35,0.91,0.18,0.12,0.24,0.0,2.44,0.21,1.0,0.15,,,,
1,862,2025/26,France,Ligue 1,Brest,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3adj8hkws0z1al232bg2h6tk0,34,1.26,1.33,-0.06,11.24,3.53,11.26,0.12,0.26,3.59,0.3,20.93,31.94,22.4,18.44,0.24,1.32,0.24,0.18,0.26,0.0,2.41,0.24,0.56,0.06,43.4,78.9,59.85,60.4,34.9,16.7,23.7,24.7,11.15,2.82,25.3,1.41,10.74,12.0,42.7,8.24,1.38,0.21,16.79,6.21,1.78,3.09,8.51,1.03,0.09,0.91,0.03,3.71,0.06,0.76,0.29,10.76,1.74,0.12,0.24,11.88,1.68,0.09,0.15,1.62,1.5,0.12,13.91,4.65,11.63,0.11,65.75,81.82,0.29,3.85,0.28,18.18,27.7,18.36,43.4,18,11,49,4,26,49.6,52.1,25.15,0.21,1.94,0.15,0.12,0.32,0.03,2.68,0.18,0.71,0.15,,,,
