season,league,team,matches,wins,draws,losses,goals,goals_against,pts,xG,xGA,npxG,npxGA,xGD,npxGD,ppda,oppda,deep,deep_allowed,xpts
2024,Premier League,Liverpool,38,25,9,4,86,41,84,93.2396,42.3204,86.3891,40.6615,50.9192,45.7276,8.9364,16.0,442.0,200.0,81.8437
2024,Premier League,Arsenal,38,20,14,4,69,34,74,73.57,39.9797,72.0476,37.6962,33.5903,34.3514,8.7978,14.3111,366.0,156.0,72.9622
2024,Premier League,Manchester City,38,21,8,9,72,44,71,73.1484,52.9034,70.1038,49.8588,20.245,20.245,12.089,17.0786,431.0,198.0,64.6631
2024,Premier League,Chelsea,38,20,9,9,64,43,69,73.117,54.2618,69.3112,49.6948,18.8552,19.6164,10.8403,13.9834,337.0,226.0,62.5617
2024,Premier League,Newcastle United,38,20,6,12,68,47,66,71.4823,53.977,66.9152,52.4546,17.5053,14.4606,10.2764,10.8383,349.0,232.0,62.6107
2024,Premier League,Aston Villa,38,19,9,10,58,51,66,66.3853,54.9984,61.7108,52.7149,11.3869,8.9959,12.3888,9.9557,285.0,248.0,61.5269
2024,Premier League,Nottingham Forest,38,19,8,11,58,46,65,52.7492,55.9176,50.4657,53.6341,-3.1684,-3.1684,14.2153,8.2263,220.0,271.0,50.0071
2024,Premier League,Brighton,38,16,13,9,66,59,61,65.277,59.1238,59.949,52.2733,6.1532,7.6757,9.9331,12.556,322.0,243.0,57.2635
2024,Premier League,Bournemouth,38,15,11,12,58,46,56,72.6207,53.9936,67.2925,50.9489,18.6271,16.3436,8.5309,9.7916,283.0,327.0,65.0254
2024,Premier League,Brentford,38,16,8,14,66,57,56,67.1195,60.865,62.5527,60.1039,6.2545,2.4488,10.8696,12.1449,278.0,394.0,54.9392
2024,Premier League,Fulham,38,15,9,14,54,54,54,58.0034,49.2324,54.9588,46.1878,8.771,8.771,12.1,13.0692,232.0,226.0,57.6028
2024,Premier League,Crystal Palace,38,13,14,11,51,51,53,67.7811,58.8843,64.7363,57.3619,8.8968,7.3744,13.1714,9.025,243.0,270.0,58.1567
2024,Premier League,Everton,38,11,15,12,42,44,48,46.8692,53.6628,45.3468,52.1405,-6.7936,-6.7937,14.2834,8.9832,186.0,267.0,47.6514
2024,Premier League,West Ham,38,11,10,17,46,62,43,50.5893,68.0878,48.3057,65.8042,-17.4985,-17.4985,12.2523,10.1095,224.0,316.0,41.76
2024,Premier League,Wolverhampton Wanderers,38,12,6,20,54,69,42,45.3705,61.5724,45.3705,54.7221,-16.2019,-9.3516,11.5355,9.9233,215.0,284.0,41.4533
2024,Premier League,Manchester United,38,11,9,18,44,54,42,56.9114,60.7274,53.8667,57.6332,-3.816,-3.7665,10.0681,13.2588,309.0,218.0,52.2395
2024,Premier League,Tottenham,38,11,5,22,64,65,38,65.3634,68.231,62.3189,65.9475,-2.8676,-3.6286,9.4313,10.2255,316.0,280.0,50.0654
2024,Premier League,Leicester,38,6,7,25,33,80,25,38.0582,85.8877,35.7746,82.8431,-47.8295,-47.0685,13.2484,10.7608,159.0,381.0,26.4303
2024,Premier League,Ipswich,38,4,10,24,36,82,22,40.4205,83.7327,38.8982,79.1656,-43.3122,-40.2674,14.1976,8.9738,132.0,373.0,28.4466
2024,Premier League,Southampton,38,2,6,30,26,86,12,38.631,98.3478,36.9226,91.3898,-59.7168,-54.4672,12.0412,10.9628,179.0,398.0,22.6856
