Rk,Squad,Comp,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Real Madrid,es La Liga,25,5620769,292280000,43%
2,Bayern Munich,de Bundesliga,30,4714615,245160000,46%
3,Manchester City,eng Premier League,33,4314413,224349474,60%
4,Barcelona,es La Liga,24,4196538,218220000,33%
5,Manchester Utd,eng Premier League,34,3539865,184072961,35%
6,Liverpool,eng Premier League,28,3444757,179127359,48%
7,Arsenal,eng Premier League,27,3324132,172854883,54%
8,Chelsea,eng Premier League,36,3285857,170864578,58%
9,Paris S-G,fr Ligue 1,26,3037308,157940000,42%
10,Inter,it Serie A,29,2686538,139700000,8%
11,Tottenham,eng Premier League,33,2450185,127409613,60%
12,Juventus,it Serie A,29,2426731,126190000,18%
13,Aston Villa,eng Premier League,29,2384073,123971811,85%
14,Napoli,it Serie A,31,2131923,110860000,14%
15,Roma,it Serie A,32,2097885,109090000,17%
16,Atletico Madrid,es La Liga,26,2078173,108065000,67%
17,Dortmund,de Bundesliga,28,2002115,104110000,59%
18,Newcastle Utd,eng Premier League,30,1935791,100661129,70%
19,Milan,it Serie A,28,1821154,94700000,16%
20,Nott'ham Forest,eng Premier League,32,1531003,79612160,87%
21,Lazio,it Serie A,31,1486154,77280000,10%
22,Fulham,eng Premier League,26,1464892,76174360,87%
23,RB Leipzig,de Bundesliga,29,1440962,74930000,79%
24,West Ham,eng Premier League,28,1381962,71862035,79%
25,Everton,eng Premier League,25,1326869,68997203,79%
26,Crystal Palace,eng Premier League,33,1261338,65589561,94%
27,Fiorentina,it Serie A,31,1259038,65470000,19%
28,Marseille,fr Ligue 1,32,1252308,65120000,83%
29,Athletic Club,es La Liga,25,1150962,59850000,83%
30,Atalanta,it Serie A,26,1127692,58640000,4%
31,Brighton,eng Premier League,33,1093159,56844285,94%
32,Betis,es La Liga,26,1042308,54200000,79%
33,Torino,it Serie A,30,976731,50790000,62%
34,Leverkusen,de Bundesliga,28,951731,49490000,92%
35,Bournemouth,eng Premier League,30,951078,49456037,90%
36,Wolves,eng Premier League,32,917442,47706984,96%
37,Monaco,fr Ligue 1,29,867115,45090000,76%
38,Como,it Serie A,31,863269,44890000,88%
39,Bologna,it Serie A,31,860577,44750000,48%
40,Sevilla,es La Liga,27,852115,44310000,75%
41,Brentford,eng Premier League,32,800297,41615446,96%
42,Wolfsburg,de Bundesliga,29,794231,41300000,92%
43,Sassuolo,it Serie A,30,750769,39040000,80%
44,Stuttgart,de Bundesliga,32,709231,36880000,88%
45,Eint Frankfurt,de Bundesliga,29,707308,36780000,85%
46,Leeds United,eng Premier League,27,704609,36639688,92%
47,Hoffenheim,de Bundesliga,30,665769,34620000,100%
48,Villarreal,es La Liga,27,664038,34530000,88%
49,Valencia,es La Liga,23,656538,34140000,82%
50,Real Sociedad,es La Liga,27,654231,34020000,100%
51,Cremonese,it Serie A,30,641154,33340000,78%
52,Burnley,eng Premier League,34,612401,31844864,100%
53,Gladbach,de Bundesliga,29,602308,31320000,92%
54,Genoa,it Serie A,28,569423,29610000,86%
55,Girona,es La Liga,25,557019,28965000,95%
56,Cagliari,it Serie A,28,548077,28500000,77%
57,Hellas Verona,it Serie A,28,528654,27490000,83%
58,Werder Bremen,de Bundesliga,31,528462,27480000,88%
59,Celta Vigo,es La Liga,28,504615,26240000,95%
60,Mallorca,es La Liga,26,503269,26170000,100%
61,Lyon,fr Ligue 1,26,502692,26140000,92%
62,Parma,it Serie A,32,495385,25760000,95%
63,Udinese,it Serie A,31,486346,25290000,89%
64,Mainz 05,de Bundesliga,29,465962,24230000,100%
65,Rennes,fr Ligue 1,25,446154,23200000,91%
66,Nice,fr Ligue 1,30,440962,22930000,86%
67,Hamburger SV,de Bundesliga,31,427308,22220000,93%
68,Freiburg,de Bundesliga,27,414808,21570000,96%
69,Augsburg,de Bundesliga,31,414615,21560000,100%
70,Lille,fr Ligue 1,28,413077,21480000,96%
71,Pisa,it Serie A,30,381538,19840000,88%
72,Lecce,it Serie A,34,375962,19550000,84%
73,Koln,de Bundesliga,29,320192,16650000,100%
74,Union Berlin,de Bundesliga,28,315769,16420000,100%
75,Getafe,es La Liga,22,313846,16320000,95%
76,Heidenheim,de Bundesliga,27,279808,14550000,100%
77,Sunderland,eng Premier League,38,270647,14073627,100%
78,Elche,es La Liga,27,252308,13120000,100%
79,Nantes,fr Ligue 1,27,251346,13070000,94%
80,Rayo Vallecano,es La Liga,24,251154,13060000,95%
81,Osasuna,es La Liga,20,251154,13060000,100%
82,Brest,fr Ligue 1,24,220962,11490000,100%
83,St. Pauli,de Bundesliga,28,201923,10500000,95%
84,Levante,es La Liga,25,200769,10440000,95%
85,Lens,fr Ligue 1,28,196538,10220000,100%
86,Lorient,fr Ligue 1,26,192692,10020000,100%
87,Strasbourg,fr Ligue 1,30,188654,9810000,100%
88,Oviedo,es La Liga,26,187019,9725000,96%
89,Espanyol,es La Liga,24,180769,9400000,94%
90,Alaves,es La Liga,23,173846,9040000,100%
91,Auxerre,fr Ligue 1,20,166346,8650000,95%
92,Toulouse,fr Ligue 1,31,158077,8220000,100%
93,Paris FC,fr Ligue 1,30,148462,7720000,100%
94,Angers,fr Ligue 1,27,137692,7160000,100%
95,Metz,fr Ligue 1,26,123269,6410000,94%
96,Le Havre,fr Ligue 1,27,121538,6320000,100%
