id_season,team_id,season_name,country,championship_name,team_code,team_logo,attacking_overall__played,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_set_pieces__goals,attacking_set_pieces__shots,attacking_set_pieces__xg,attacking_set_pieces__goal_pct,attacking_set_pieces__shot_pct,attacking_set_pieces__xg_pct,attacking_misc__touches_in_box,attacking_misc__hit_post,attacking_misc__offsides,attacking_misc__penalties__total,attacking_misc__penalties__goals,attacking_misc__free_kicks__total,attacking_misc__free_kicks__goals,attacking_misc__headers__total,attacking_misc__headers__goals,attacking_misc__fast_breaks__total,attacking_misc__fast_breaks__goals,passing__avg_poss,passing__all_passes__pct,passing__final_third_passes__successful,passing__final_third_passes__pct,passing__pass_direction__fwd,passing__pass_direction__bwd,passing__pass_direction__left,passing__pass_direction__right,passing__crosses__total,passing__crosses__successful,passing__crosses__pct,passing__through_balls,pressing__pressed_seqs,pressing__ppda,pressing__start_distance_m,pressing__total,pressing__high_turnovers__shot_ending,pressing__high_turnovers__goal_ending,pressing__high_turnovers__pct_end_in_shot,sequences__ten_plus_passes,sequences__direct_speed,sequences__passes_per_seq,sequences__sequence_time,sequences__build_ups__total,sequences__build_ups__goals,sequences__direct_attacks__total,sequences__direct_attacks__goals,misc.__subs_used,misc.__subs_goals,misc.__errors_lead_to_shot,misc.__errors_lead_to_goal,misc.__fouled,misc.__yellows,misc.__reds,misc.__pens_won,misc.__fouls,misc.__opp_yellows,misc.__opp_reds,misc.__pens_conceded,defending_overall__goals,defending_overall__xg,defending_overall__goals_vs_xg,defending_overall__shots,defending_overall__sot,defending_overall__conv_pct,defending_overall__xg_per_shot,defending_overall__shots_in_box_pct,defending_overall__goals_in_box_pct,defending_set_pieces__goals,defending_set_pieces__shots,defending_set_pieces__xg,defending_set_pieces__goal_pct,defending_set_pieces__shot_pct,defending_set_pieces__xg_pct,defending_defensive_actions__avg_poss,defending_defensive_actions__tackles,defending_defensive_actions__interceptions,defending_defensive_actions__recoveries,defending_defensive_actions__blocks,defending_defensive_actions__clearances,defending_defensive_actions__ground_duels_won,defending_defensive_actions__aerial_duels_won,defending_misc__touches_in_box,defending_misc__hit_post,defending_misc__offsides,defending_misc__penalties__total,defending_misc__penalties__goals,defending_misc__free_kicks__total,defending_misc__free_kicks__goals,defending_misc__headers__total,defending_misc__headers__goals,defending_misc__fast_breaks__total,defending_misc__fast_breaks__goals
1,429,2024/25,France,Ligue 1,Lille,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=be2k34rut1lz79jxenabttqlc,4,3.25,2.56,0.69,17.0,5.75,19.12,0.15,0.25,5.25,0.38,7.69,30.88,14.75,29.75,0.25,1.75,0.5,0.25,0.25,0.0,3.0,0.25,1.0,0.25,58.4,84.9,94.75,72.0,30.6,15.7,26.2,27.6,14.75,3.25,22.0,2.0,12.5,8.7,45.1,6.0,0.5,0.25,8.33,13.0,1.82,4.05,11.21,2.5,0.25,1.5,0.0,4.25,1.25,1.0,0.0,11.25,1.75,0.0,0.5,12.0,2.5,0.25,0.25,1.25,1.39,-0.14,9.75,3.0,12.82,0.14,69.23,100.0,0.5,3.25,0.26,40.0,33.33,18.45,58.4,16,11,47,2,21,49.6,60.0,15.25,0.25,1.5,0.25,0.0,0.25,0.0,2.0,0.25,0.5,0.0
1,143,2024/25,France,Ligue 1,Lyon,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=121le8unjfzug3iu9pgkqa1c7,4,1.5,2.06,-0.56,12.5,5.5,12.0,0.17,0.25,3.75,0.39,16.67,30.0,18.95,24.25,0.5,0.75,0.0,0.0,0.5,0.0,3.25,0.25,1.0,0.0,51.7,86.6,82.25,74.3,30.5,15.7,27.5,26.3,11.75,2.75,23.4,1.5,8.25,12.0,37.8,2.5,1.0,0.0,40.0,12.0,1.75,4.25,11.69,3.25,0.0,1.25,0.0,3.75,0.5,1.25,0.0,13.75,1.75,0.25,0.0,14.75,2.0,0.25,0.0,0.75,1.23,-0.47,14.25,3.5,5.26,0.09,59.65,100.0,0.25,2.75,0.29,33.33,19.3,23.85,51.7,15,8,41,6,21,50.5,50.7,26.75,0.0,3.0,0.0,0.0,0.25,0.0,1.25,0.25,0.5,0.0
1,142,2024/25,France,Ligue 1,Lens,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3xedluek08t2ka7oypwuullcn,4,1.25,1.9,-0.65,16.25,5.25,7.69,0.12,0.25,5.5,0.48,20.0,33.85,25.39,33.0,0.0,1.75,0.5,0.5,0.5,0.0,2.5,0.0,0.75,0.0,49.4,84.8,92.25,77.8,30.0,15.4,27.2,27.4,16.0,3.25,20.3,1.0,11.25,13.4,43.8,8.0,1.0,0.0,12.5,9.5,2.04,3.57,8.99,1.5,0.25,1.5,0.0,4.5,0.25,0.5,0.25,13.0,1.5,0.0,0.5,10.75,2.5,0.25,0.0,1.25,1.36,-0.11,13.0,4.25,9.62,0.1,61.54,60.0,0.25,3.5,0.15,20.0,26.92,11.36,49.4,18,11,51,4,22,54.4,44.4,25.0,0.25,0.75,0.0,0.0,0.5,0.0,2.25,0.0,0.25,0.0
1,144,2024/25,France,Ligue 1,Marseille,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=27xvwccz8kpmqsefjv2b2sc0o,4,2.25,1.89,0.36,13.75,4.75,16.36,0.14,0.75,4.0,0.4,33.33,29.09,21.31,26.25,0.75,0.75,0.75,0.5,0.0,0.0,3.25,0.25,0.5,0.0,61.8,90.4,156.25,81.3,26.4,13.9,29.4,30.3,13.25,2.75,20.8,2.5,12.75,11.7,45.8,7.75,2.5,0.5,32.26,20.5,1.51,5.87,16.47,6.25,0.25,3.0,0.0,4.75,0.25,1.0,0.0,10.0,2.25,0.25,0.75,11.25,1.5,0.5,0.0,1.0,1.26,-0.26,10.5,4.0,9.52,0.12,69.05,100.0,0.0,2.0,0.1,0.0,19.05,8.1,61.8,12,4,37,4,17,51.0,57.8,15.5,0.5,1.75,0.0,0.0,0.5,0.0,1.5,0.0,1.0,0.0
1,149,2024/25,France,Ligue 1,PSG,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=2b3mar72yy8d6uvat1ka6tn3r,4,2.5,1.74,0.76,16.5,5.5,15.15,0.11,0.75,3.0,0.28,30.0,18.18,16.25,37.5,0.75,0.5,0.75,0.5,1.0,0.0,1.5,0.0,0.25,0.0,74.5,92.8,262.25,87.6,24.0,16.1,29.6,30.3,10.75,2.0,18.6,0.75,16.0,9.2,48.9,12.75,2.0,0.25,15.69,31.0,1.52,6.91,19.38,7.75,0.0,1.75,0.0,4.75,0.0,0.0,0.0,7.25,0.5,0.0,0.75,6.75,1.0,0.0,0.25,0.75,0.94,-0.19,8.25,2.25,9.09,0.11,57.58,66.67,0.25,3.0,0.28,33.33,36.36,29.42,74.5,15,6,50,2,10,45.7,48.1,13.25,0.0,0.5,0.25,0.0,0.25,0.0,1.0,0.0,0.75,0.0
1,2338,2024/25,France,Ligue 1,Paris,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=8v00fx2zwhiwm05tqqkt122p5,4,1.75,1.69,0.06,14.0,6.0,12.5,0.12,0.0,2.5,0.16,0.0,17.86,9.67,21.5,0.5,1.25,0.25,0.25,0.25,0.0,1.25,0.0,1.0,0.25,53.0,87.3,81.5,73.9,31.4,15.8,26.1,26.7,11.0,1.5,13.6,1.75,10.0,20.4,41.6,4.5,1.75,0.0,38.89,13.5,1.82,4.49,12.07,3.75,0.5,1.75,0.25,5.0,0.0,1.0,1.0,9.75,1.0,0.25,0.25,8.5,1.0,0.5,0.75,2.25,2.05,0.2,14.0,4.75,16.07,0.15,67.86,88.89,0.5,5.5,0.54,22.22,39.29,26.41,53.0,13,8,43,5,27,50.0,42.5,22.75,0.25,1.25,0.75,0.5,0.5,0.0,1.75,0.0,0.0,0.0
1,862,2024/25,France,Ligue 1,Brest,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3adj8hkws0z1al232bg2h6tk0,4,1.25,1.66,-0.41,16.5,4.25,7.58,0.1,0.25,7.25,0.48,20.0,43.94,29.01,22.75,0.25,1.5,0.25,0.25,0.5,0.0,4.25,0.0,0.25,0.0,44.3,77.6,58.75,59.3,34.8,16.4,22.6,26.2,11.25,3.0,26.7,1.0,11.75,11.7,44.7,11.25,1.5,0.25,13.33,6.0,1.58,2.92,8.2,0.75,0.0,0.5,0.0,4.0,0.0,0.75,0.75,10.0,1.5,0.25,0.25,9.75,1.0,0.25,0.25,2.5,2.11,0.39,13.25,5.75,18.87,0.16,83.02,100.0,0.5,4.75,0.42,20.0,35.85,20.1,44.3,20,8,51,6,22,48.4,53.0,26.25,0.25,2.0,0.25,0.25,0.5,0.0,2.25,0.0,0.75,0.0
1,146,2024/25,France,Ligue 1,Monaco,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4t4hod56fsj7utpjdor8so5q6,4,2.0,1.59,0.41,11.0,2.75,18.18,0.14,0.25,3.5,0.28,12.5,31.82,17.92,25.25,0.5,2.5,0.0,0.0,0.5,0.0,3.0,0.75,0.75,0.25,58.4,84.9,98.25,71.7,28.9,16.4,28.1,26.6,14.0,2.75,19.6,1.25,12.5,8.1,45.5,8.75,1.25,0.0,14.29,15.75,1.79,3.92,9.96,2.5,0.0,0.5,0.25,4.75,0.5,0.75,0.0,10.75,2.5,0.0,0.0,12.75,1.0,0.5,0.5,1.25,1.45,-0.2,12.0,2.75,10.42,0.12,60.42,100.0,0.0,4.25,0.31,0.0,35.42,21.11,58.4,16,9,49,3,22,46.5,47.7,20.75,0.0,1.25,0.5,0.25,0.25,0.0,1.5,0.0,0.5,0.0
1,694,2024/25,France,Ligue 1,Lorient,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=70nn27vgkt6l48lvv5e66q7ww,4,1.25,1.51,-0.26,11.5,3.25,10.87,0.13,0.5,4.0,0.3,40.0,34.78,19.79,22.0,0.0,2.25,0.25,0.0,0.5,0.0,1.75,0.25,1.25,0.0,43.9,85.3,81.25,74.7,32.4,16.4,24.8,26.5,10.5,1.75,16.7,1.5,6.75,16.2,40.7,5.5,0.5,0.25,9.09,7.75,1.79,3.66,10.24,2.75,0.0,1.0,0.0,4.75,0.5,0.5,0.25,14.25,3.25,0.25,0.25,12.0,2.25,0.5,0.5,3.0,1.82,1.18,11.5,5.75,26.09,0.16,63.04,66.67,0.5,4.25,0.33,16.67,36.96,17.86,43.9,12,11,43,4,20,48.2,36.2,21.75,0.75,1.25,0.5,0.25,0.0,0.0,2.75,0.5,0.75,0.25
1,141,2024/25,France,Ligue 1,Le Havre,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=23pqcgxu1tip265hbe01kszbt,4,1.25,1.42,-0.17,12.25,4.75,10.2,0.12,0.25,3.75,0.18,20.0,30.61,13.08,19.0,0.25,1.0,0.0,0.0,0.5,0.0,2.75,0.0,1.0,0.25,43.9,81.6,57.5,64.1,32.6,15.1,26.0,26.2,18.5,4.0,21.6,1.0,10.75,12.7,42.6,8.0,1.25,0.25,15.63,9.0,1.93,3.43,9.32,1.75,0.0,1.0,0.25,5.0,0.0,0.75,0.25,10.5,1.75,0.0,0.0,14.25,1.25,0.25,0.5,1.75,1.21,0.55,8.75,4.0,20.0,0.14,68.57,100.0,0.5,1.5,0.16,28.57,17.14,13.25,43.9,17,8,50,3,24,47.6,47.7,18.25,0.25,1.5,0.5,0.5,0.5,0.0,2.0,0.25,0.0,0.0
