id_season,season_name,country,championship_name,team_id,team_name,team_url,1st_best_player,2nd_best_player,3rd_best_player,4th_best_player,5th_best_player,formation_type,1st_player_name,1st_player_position,2nd_player_name,2nd_player_position,3rd_player_name,3rd_player_position,4th_player_name,4th_player_position,5th_player_name,5th_player_position,6th_player_name,6th_player_position,7th_player_name,7th_player_position,8th_player_name,8th_player_position,9th_player_name,9th_player_position,10th_player_name,10th_player_position,11th_player_name,11th_player_position
1,2024/25,France,Ligue 1,607,Lille,https://fr.whoscored.com/teams/607/show/france-lille,Hamza Igamane,Hákon Haraldsson,Olivier Giroud,Alexsandro Ribeiro,Nathan Ngoy,4231,B. Özer,0; 40,T. Meunier,25; 0,R. Perraud,25; 80,B. André,50; 55,N. Ngoy,25; 25,A. Ribeiro,25; 55,M. Broholm,70; 10,A. Bouaddi,50; 25,O. Giroud,90; 40,H. Haraldsson,70; 40,F. Correia,70; 70
1,2024/25,France,Ligue 1,304,Paris Saint-Germain,https://fr.whoscored.com/teams/304/show/france-paris-saint-germain,Marquinhos,João Neves,Bradley Barcola,Vitinha,Ousmane Dembélé,433,L. Chevalier,0; 40,A. Hakimi,25; 0,N. Mendes,25; 80,Vitinha,55; 40,I. Zabarnyi,25; 25,Beraldo,25; 55,J. Neves,55; 10,F. Ruiz,55; 70,O. Dembélé,85; 40,D. Doué,85; 10,B. Barcola,85; 70
1,2024/25,France,Ligue 1,228,Lyon,https://fr.whoscored.com/teams/228/show/france-lyon,Tanner Tessmann,Moussa Niakhaté,Corentin Tolisso,Ainsley Maitland-Niles,Tyler Morton,4231,R. Descamps,0; 40,A. M-Niles,25; 0,A. Vinícius,25; 80,T. Morton,50; 55,C. Mata,25; 25,M. Niakhaté,25; 55,A. Karabec,70; 10,T. Tessmann,50; 25,G. Mikautadze,90; 40,C. Tolisso,70; 40,M. Fofana,70; 70
1,2024/25,France,Ligue 1,249,Marseille,https://fr.whoscored.com/teams/249/show/france-marseille,Nayef Aguerd,Benjamin Pavard,Mason Greenwood,Leonardo Balerdi,Angel Gomes,4231,G. Rulli,0; 40,A. Murillo,25; 0,F. Medina,25; 80,P-E. Højbjerg,50; 55,B. Pavard,25; 25,N. Aguerd,25; 55,M. Greenwood,70; 10,A. Gomes,50; 25,P-E. Aubameyang,90; 40,B. Nadir,70; 40,T. Weah,70; 70
1,2024/25,France,Ligue 1,148,Strasbourg,https://fr.whoscored.com/teams/148/show/france-strasbourg,Karl-Johan Johnsson,Valentín Barco,Sam Amo-Ameyaw,Mamadou Sarr,Joaquín Panichelli,3421,K-J. Johnsson,0; 40,J. Mwanga,50; 0,A. Ouattara,50; 80,I. Doukouré,25; 70,A. Omobamidele,25; 40,M. Sarr,25; 10,F. Lemaréchal,50; 25,S. El Mourabet,50; 55,J. Panichelli,90; 40,K. Páez,75; 25,V. Barco,75; 55
1,2024/25,France,Ligue 1,248,Monaco,https://fr.whoscored.com/teams/248/show/france-monaco,Maghnes Akliouche,Jordan Teze,Lamine Camara,Eric Dier,Thilo Kehrer,4231,L. Hrádecky,0; 40,J. Teze,25; 0,C. Henrique,25; 80,D. Zakaria,50; 55,E. Dier,25; 25,C. Mawissa,25; 55,M. Akliouche,70; 10,L. Camara,50; 25,F. Balogun,90; 40,T. Minamino,70; 40,A. Golovin,70; 70
1,2024/25,France,Ligue 1,309,Lens,https://fr.whoscored.com/teams/309/show/france-lens,Fode Sylla,Adrien Thomasson,Jonathan Gradit,Malang Sarr,Matthieu Udol,3421,R. Risser,0; 40,R. Aguilar,50; 0,D. Machado,50; 80,M. Udol,25; 70,M. Sarr,25; 40,J. Gradit,25; 10,M. Sangaré,50; 25,A. Thomasson,50; 55,R. Fofana,90; 40,F. Thauvin,75; 25,W. Saïd,75; 55
1,2024/25,France,Ligue 1,613,Nice,https://fr.whoscored.com/teams/613/show/france-nice,Charles Vanhoutte,Dante,Kojo Peprah Oppong,Tom Louchet,Jérémie Boga,3421,Y. Diouf,0; 40,T. Louchet,50; 0,M. Bard,50; 80,K.P. Oppong,25; 70,J. Bah,25; 40,A. Mendy,25; 10,H. Boudaoui,50; 25,S.A. Samed,50; 55,K. Carlos,90; 40,I. Jansson,75; 25,J. Boga,75; 55
1,2024/25,France,Ligue 1,246,Toulouse,https://fr.whoscored.com/teams/246/show/france-toulouse,Abu Francis,Frank Magri,Yann Gboho,Dayann Methalie,Charlie Cresswell,343,G. Restes,0; 40,A. Dønnum,55; 0,D. Methalie,55; 80,M. McKenzie,25; 70,C. Cresswell,25; 40,D. Sidibé,25; 10,J. Canvot,55; 25,C. Cásseres,55; 55,F. Magri,85; 40,N. Edjouma,85; 15,Y. Gboho,85; 65
1,2024/25,France,Ligue 1,614,Angers,https://fr.whoscored.com/teams/614/show/france-angers,Hervé Koffi,Jordan Lefort,Ousmane Camara,Yassin Belkhdim,Himad Abdelli,4231,H. Koffi,0; 40,C. Arcus,25; 0,J. Ekomié,25; 80,H. Belkebla,50; 55,O. Camara,25; 25,J. Lefort,25; 55,L. Raolisoa,70; 10,Y. Belkhdim,50; 25,P. Peter,90; 40,L. Mouton,70; 40,S. Cherif,70; 70
