player_id,updatedAt,season,injury,fromDate,untilDate,days,gamesMissed,gamesMissedClubs
85295,2025-10-06T15:09:30.608730,22/23,Adductor injury,2023-07-06,2023-06-30,24,2.0,3561
85295,2025-10-06T15:09:30.608730,21/22,unknown injury,2021-12-10,2021-10-22,11,1.0,367
84435,2025-10-06T15:10:01.579057,25/26,Knee problems,2025-03-10,2025-06-10,4,1.0,80
84435,2025-10-06T15:10:01.579057,24/25,Fitness,2025-04-03,2025-10-03,7,1.0,89
84435,2025-10-06T15:10:01.579057,24/25,Knee problems,2025-01-03,2025-03-03,3,1.0,89
84435,2025-10-06T15:10:01.579057,24/25,Fitness,2025-11-02,2025-01-03,19,2.0,89
84435,2025-10-06T15:10:01.579057,24/25,Knee bruise,2025-01-15,2025-11-02,28,5.0,89
84435,2025-10-06T15:10:01.579057,24/25,Dental surgery,2024-05-12,2024-09-12,5,1.0,89
84435,2025-10-06T15:10:01.579057,23/24,unknown injury,2024-10-05,2024-06-30,52,2.0,89
84435,2025-10-06T15:10:01.579057,22/23,Knee surgery,2023-04-05,2023-06-28,56,4.0,533
84435,2025-10-06T15:10:01.579057,22/23,Knee problems,2023-04-22,2023-03-05,12,2.0,533
84435,2025-10-06T15:10:01.579057,22/23,Knee problems,2023-09-04,2023-04-19,11,2.0,533
84435,2025-10-06T15:10:01.579057,22/23,Adductor injury,2023-11-03,2023-03-17,7,1.0,533
84435,2025-10-06T15:10:01.579057,22/23,unknown injury,2023-01-25,2023-02-16,23,4.0,533
84435,2025-10-06T15:10:01.579057,22/23,unknown injury,2023-12-01,2023-01-23,12,1.0,533
84435,2025-10-06T15:10:01.579057,22/23,Calf problems,2022-10-31,2022-03-11,4,,
84435,2025-10-06T15:10:01.579057,22/23,Calf problems,2022-10-31,2022-03-11,4,,
920946,2025-10-06T15:11:02.279275,25/26,Broken toe,2025-05-09,,32,4.0,33
764859,2025-10-06T15:12:33.153441,24/25,Ill,2024-11-22,2024-11-25,4,1.0,940
764859,2025-10-06T15:12:33.153441,24/25,muscular problems,2024-10-29,2024-08-11,11,2.0,940
764859,2025-10-06T15:12:33.153441,23/24,Foot injury,2024-02-25,2024-04-14,50,10.0,"940, 3557"
764859,2025-10-06T15:12:33.153441,23/24,strain,2024-01-02,2024-02-15,15,2.0,940
330560,2025-10-06T15:13:03.536936,25/26,muscular problems,2025-05-09,2025-12-09,8,1.0,1627
330560,2025-10-06T15:13:03.536936,24/25,Muscle injury,2025-02-25,2025-03-17,21,3.0,1627
330560,2025-10-06T15:13:03.536936,24/25,Muscle fatigue,2024-02-11,2025-03-01,63,8.0,1627
330560,2025-10-06T15:13:03.536936,24/25,Muscle fatigue,2024-10-18,2024-10-28,11,2.0,1627
