season,league,name,team,position,apps,minutes,goals,npg,assists,shots,key_passes,yellow_cards,red_cards,xG,npxG,xA,xGChain,xGBuildup,xG90,npxG90,xA90,xG90_xA90,npxG90_xA90,xGChain90,xGBuildup90
2025,Premier League,Erling Haaland,Manchester City,F S,29,2439,22,19,7,102,21,1,0,23.1369,20.0923,4.7663,26.2386,4.1293,0.8538,0.7414,0.1759,1.0297,0.9173,0.9682,0.1524
2025,Premier League,Thiago,Brentford,F S,31,2662,19,13,1,71,19,6,0,21.1016,15.7734,3.1554,19.4752,3.4934,0.7134,0.5333,0.1067,0.8201,0.64,0.6584,0.1181
2025,Premier League,Antoine Semenyo,"Bournemouth,Manchester City",F M,29,2597,15,14,4,68,32,6,0,11.2017,9.6794,3.091,16.2449,4.9509,0.3882,0.3354,0.1071,0.4953,0.4425,0.563,0.1716
2025,Premier League,João Pedro,Chelsea,F M S,31,2345,14,14,5,63,28,4,0,14.1584,14.1584,3.961,17.6784,4.66,0.5434,0.5434,0.152,0.6954,0.6954,0.6785,0.1788
2025,Premier League,Danny Welbeck,Brighton,F S,30,1832,12,11,0,43,18,5,0,10.8992,8.6157,1.8765,12.2417,3.4543,0.5354,0.4233,0.0922,0.6276,0.5155,0.6014,0.1697
2025,Premier League,Viktor Gyokeres,Arsenal,F S,29,1927,11,9,0,43,16,4,0,9.9961,8.4738,2.0943,12.3242,3.1395,0.4669,0.3958,0.0978,0.5647,0.4936,0.5756,0.1466
2025,Premier League,Hugo Ekitike,Liverpool,F S,28,1835,11,11,4,65,21,0,0,11.9322,11.9322,2.4913,16.323,4.8864,0.5852,0.5852,0.1222,0.7074,0.7074,0.8006,0.2397
2025,Premier League,Dominic Calvert-Lewin,Leeds,F S,28,2121,10,8,1,57,17,1,0,13.041,10.7575,1.4774,13.4901,2.0362,0.5534,0.4565,0.0627,0.6161,0.5192,0.5724,0.0864
2025,Premier League,Harry Wilson,Fulham,M S,29,2332,10,10,6,66,30,6,0,5.0227,5.0227,4.7944,9.2971,2.6838,0.1938,0.1938,0.185,0.3788,0.3788,0.3588,0.1036
2025,Premier League,Raúl Jiménez,Fulham,F S,30,2010,9,5,3,63,22,5,0,11.5498,8.5051,1.8268,9.9708,1.3658,0.5172,0.3808,0.0818,0.599,0.4626,0.4465,0.0612
2025,Premier League,Richarlison,Tottenham,F M S,26,1461,9,9,3,45,15,5,0,7.1953,7.1953,2.2386,8.8561,1.9838,0.4432,0.4432,0.1379,0.5811,0.5811,0.5456,0.1222
2025,Premier League,Bryan Mbeumo,Manchester United,F M,26,2241,9,9,3,60,38,4,0,9.6552,9.6552,4.3227,16.9063,4.8818,0.3878,0.3878,0.1736,0.5614,0.5614,0.679,0.1961
2025,Premier League,Morgan Gibbs-White,Nottingham Forest,F M S,31,2675,9,8,2,65,43,1,0,8.8893,8.1282,3.0897,12.8481,3.912,0.2991,0.2735,0.104,0.4031,0.3775,0.4323,0.1316
