season,league,team,matches,wins,draws,losses,goals,goals_against,pts,xG,xGA,npxG,npxGA,xGD,npxGD,ppda,oppda,deep,deep_allowed
2025,Premier League,Arsenal,31,21,7,3,61,22,70,60.7408,25.0383,58.4573,25.0383,35.7025,33.419,9.377,14.5019,280.0,100.0
2025,Premier League,Manchester City,30,18,7,5,60,28,61,60.5288,35.0688,57.4841,33.3966,25.46,24.0875,10.748,13.345,290.0,133.0
2025,Premier League,Manchester United,31,15,10,6,56,43,55,58.8323,39.9329,54.2653,36.8882,18.8994,17.3771,10.2084,11.3828,228.0,201.0
2025,Premier League,Aston Villa,31,16,6,9,42,37,54,42.7027,47.266,42.7027,45.7438,-4.5633,-3.0411,11.5854,9.7796,260.0,172.0
2025,Premier League,Liverpool,31,14,7,10,50,42,49,56.2138,41.6329,54.6914,38.5882,14.5809,16.1032,9.6759,14.0369,308.0,167.0
2025,Premier League,Chelsea,31,13,9,9,53,38,48,64.6302,45.3384,59.302,44.5772,19.2918,14.7248,9.2165,15.9035,231.0,197.0
2025,Premier League,Everton,31,13,7,11,37,35,46,40.3286,47.118,38.8063,44.8345,-6.7894,-6.0282,13.6413,9.2551,173.0,239.0
2025,Premier League,Brentford,31,13,7,11,46,42,46,54.404,44.9557,48.3145,39.6277,9.4483,8.6868,11.0792,10.898,197.0,210.0
2025,Premier League,Fulham,31,13,5,13,43,44,44,40.9765,48.7592,37.9317,45.7145,-7.7827,-7.7828,13.0233,14.6481,231.0,200.0
2025,Premier League,Sunderland,31,11,10,10,32,36,43,33.4097,49.1364,29.6038,46.853,-15.7267,-17.2492,12.5255,10.013,156.0,265.0
2025,Premier League,Brighton,31,11,10,10,41,37,43,46.6627,44.3593,42.8569,39.7923,2.3034,3.0646,9.3056,13.8393,199.0,220.0
2025,Premier League,Bournemouth,31,9,15,7,46,48,42,53.8136,45.5291,50.0078,41.7235,8.2845,8.2843,9.6233,9.94,223.0,222.0
2025,Premier League,Newcastle United,31,12,6,13,44,45,42,49.7038,44.1447,45.1366,41.1,5.5591,4.0366,9.832,11.6693,217.0,221.0
2025,Premier League,Crystal Palace,30,10,9,11,33,35,39,49.1613,44.8925,44.5944,40.3253,4.2688,4.2691,13.3236,11.058,212.0,169.0
2025,Premier League,Leeds,31,7,12,12,37,48,33,45.3829,45.5895,40.6659,41.0223,-0.2066,-0.3564,12.375,11.4493,163.0,181.0
2025,Premier League,Nottingham Forest,31,8,8,15,31,43,32,37.4242,52.7168,35.9019,48.9108,-15.2926,-13.0089,13.2146,9.5165,168.0,227.0
2025,Premier League,Tottenham,31,7,9,15,40,50,30,36.9849,48.0747,36.9849,46.5524,-11.0898,-9.5675,10.2225,9.6713,174.0,233.0
2025,Premier League,West Ham,31,7,8,16,36,57,29,38.8756,57.9096,36.5922,53.3426,-19.034,-16.7504,14.4493,9.4433,142.0,231.0
2025,Premier League,Burnley,31,4,8,19,33,61,20,30.9273,68.7402,29.4051,63.4118,-37.8129,-34.0067,13.5236,11.2129,127.0,291.0
2025,Premier League,Wolverhampton Wanderers,31,3,8,20,24,54,17,29.7205,55.2212,26.6758,52.9376,-25.5007,-26.2618,12.9907,9.1119,143.0,243.0
2025,La Liga,Barcelona,29,24,1,4,78,28,73,83.5411,41.3551,76.8516,38.3821,42.186,38.4695,6.8735,16.4236,356.0,126.0
2025,La Liga,Real Madrid,29,22,3,4,63,26,69,68.1576,34.6964,57.6389,31.7233,33.4612,25.9156,10.4883,15.6394,284.0,161.0
2025,La Liga,Villarreal,29,18,4,7,54,34,58,53.3,40.3442,51.0702,35.1411,12.9558,15.9291,14.5117,8.9916,229.0,183.0
2025,La Liga,Atletico Madrid,29,17,6,6,49,28,57,52.299,35.9087,50.0692,33.6788,16.3903,16.3904,10.6171,15.0459,286.0,127.0
2025,La Liga,Real Betis,29,11,11,7,44,37,44,48.1299,37.6994,46.6435,34.7263,10.4305,11.9172,12.4911,12.5872,203.0,159.0
2025,La Liga,Celta Vigo,29,10,11,8,41,35,41,40.666,39.9199,35.4631,33.8647,0.7461,1.5984,13.3067,13.43,195.0,163.0
